filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-2833412690603409506	JRC_SS48311_Brain_20200717_44_B2_20x	P{VT042734-p65.AD}	P{VT061919-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS48311|JRC_SS48311	FlyLightSplit:SS48311|FlyLightSplitSlideCode:20200717_44_B2|jrc_slide_code_api:20200717_44_B2|neuronbridge:SS48311	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200717_44_B2', age: 'Day 1-5'
20x-Brain-2833412692792836194	JRC_SS51523_Brain_20200717_44_C2_20x	P{R45G01-p65.AD}	P{VT041692-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS51523|JRC_SS51523	FlyLightSplit:SS51523|FlyLightSplitSlideCode:20200717_44_C2|jrc_slide_code_api:20200717_44_C2|neuronbridge:SS51523	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200717_44_C2', age: 'Day 1-5'
20x-Brain-2833412693514256482	JRC_SS44056_Brain_20200717_44_C4_20x	PBac{R23B05-p65.AD}	P{VT021842-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS44056|JRC_SS44056	FlyLightSplit:SS44056|FlyLightSplitSlideCode:20200717_44_C4|jrc_slide_code_api:20200717_44_C4|neuronbridge:SS44056	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200717_44_C4', age: 'Day 1-5'
20x-Brain-2833412693874966626	JRC_SS44060_Brain_20200717_44_C5_20x	PBac{R23B05-p65.AD}	P{R74D06-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS44060|JRC_SS44060	FlyLightSplit:SS44060|FlyLightSplitSlideCode:20200717_44_C5|jrc_slide_code_api:20200717_44_C5|neuronbridge:SS44060	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200717_44_C5', age: 'Day 1-5'
20x-Brain-2833412695363944546	JRC_SS37253_Brain_20200717_44_D3_20x	P{R25C08-p65.AD}	P{VT021379-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS37253|JRC_SS37253	FlyLightSplit:SS37253|FlyLightSplitSlideCode:20200717_44_D3|jrc_slide_code_api:20200717_44_D3|neuronbridge:SS37253	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200717_44_D3', age: 'Day 1-5'
20x-Brain-2833412695749820514	JRC_SS40989_Brain_20200717_44_D4_20x	P{VT019911-p65.AD}	P{R28E12-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS40989|JRC_SS40989	FlyLightSplit:SS40989|FlyLightSplitSlideCode:20200717_44_D4|jrc_slide_code_api:20200717_44_D4|neuronbridge:SS40989	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200717_44_D4', age: 'Day 1-5'
20x-Brain-2833526443302977634	JRC_SS34781_Brain_20200717_46_B3_20x	P{R74F04-p65.AD}	P{R42H07-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS34781|JRC_SS34781	FlyLightSplit:SS34781|FlyLightSplitSlideCode:20200717_46_B3|jrc_slide_code_api:20200717_46_B3|neuronbridge:SS34781	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200717_46_B3', age: 'Day 1-5'
20x-Brain-2833526443705630818	JRC_SS34778_Brain_20200717_46_B4_20x	P{VT034615-p65.AD}	P{R42H07-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS34778|JRC_SS34778	FlyLightSplit:SS34778|FlyLightSplitSlideCode:20200717_46_B4|jrc_slide_code_api:20200717_46_B4|neuronbridge:SS34778	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200717_46_B4', age: 'Day 1-5'
20x-Brain-2833526444867453026	JRC_SS40772_Brain_20200717_46_C1_20x	P{VT057379-p65.AD}	P{R75F02-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS40772|JRC_SS40772	FlyLightSplit:SS40772|FlyLightSplitSlideCode:20200717_46_C1|jrc_slide_code_api:20200717_46_C1|neuronbridge:SS40772	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200717_46_C1', age: 'Day 1-5'
20x-Brain-2833526445685342306	JRC_SS45778_Brain_20200717_46_C3_20x	P{VT042734-p65.AD}	P{VT045575-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS45778|JRC_SS45778	FlyLightSplit:SS45778|FlyLightSplitSlideCode:20200717_46_C3|jrc_slide_code_api:20200717_46_C3|neuronbridge:SS45778	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200717_46_C3', age: 'Day 1-5'
20x-Brain-2833526447249817698	JRC_SS40765_Brain_20200717_46_D2_20x	P{VT020737-p65.AD}	P{VT057379-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS40765|JRC_SS40765	FlyLightSplit:SS40765|FlyLightSplitSlideCode:20200717_46_D2|jrc_slide_code_api:20200717_46_D2|neuronbridge:SS40765	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200717_46_D2', age: 'Day 1-5'
20x-Brain-2833526449384718434	JRC_SS43980_Brain_20200717_46_E3_20x	P{VT025783-p65.AD}	P{R74D06-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS43980|JRC_SS43980	FlyLightSplit:SS43980|FlyLightSplitSlideCode:20200717_46_E3|jrc_slide_code_api:20200717_46_E3|neuronbridge:SS43980	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200717_46_E3', age: 'Day 1-5'
20x-Brain-2833210616427053154	JRC_SS54474_Brain_20200710_45_E3_20x	P{VT014604-p65.AD}	P{R46C02-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS54474|JRC_SS54474	FlyLightSplit:SS54474|FlyLightSplitSlideCode:20200710_45_E3|jrc_slide_code_api:20200710_45_E3|neuronbridge:SS54474	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200710_45_E3', age: 'Day 1-5'
20x-Brain-2838215331359490146	JRC_SS53378_Brain_20200724_41_E4_20x	P{VT061927-p65.AD}	P{VT045575-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS53378|JRC_SS53378	FlyLightSplit:SS53378|FlyLightSplitSlideCode:20200724_41_E4|jrc_slide_code_api:20200724_41_E4|neuronbridge:SS53378	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200724_41_E4', age: 'Day 1-5'
20x-Brain-2838227299017424994	JRC_SS47161_Brain_20200724_42_E4_20x	P{VT042734-p65.AD}	P{R31D08-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS47161|JRC_SS47161	FlyLightSplit:SS47161|FlyLightSplitSlideCode:20200724_42_E4|jrc_slide_code_api:20200724_42_E4|neuronbridge:SS47161	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200724_42_E4', age: 'Day 1-5'
