filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-VNC-2155261898088513634	JRC_SS02945_VNC_20150519_31_I2_20x	P{VT034612-p65.AD}	P{VT047755-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS02945|BJD_SS02945|JRC_SS02945	FlyLightSplit:SS02945|FlyLightSplitSlideCode:20150519_31_I2|jrc_slide_code_api:20150519_31_I2|neuronbridge:SS02945	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150519_31_I2', age: 'Day 1-5'
20x-VNC-2155262132239728738	JRC_SS02591_VNC_20150519_31_F1_20x	P{VT046248-p65.AD}	P{R72E04-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS02591|GMR_SS02591|JRC_SS02591	FlyLightSplit:SS02591|FlyLightSplitSlideCode:20150519_31_F1|jrc_slide_code_api:20150519_31_F1|neuronbridge:SS02591	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150519_31_F1', age: 'Day 1-5'
20x-VNC-2144383941564432482	JRC_SS02591_VNC_20150519_31_F2_20x	P{VT046248-p65.AD}	P{R72E04-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS02591|GMR_SS02591|JRC_SS02591	FlyLightSplit:SS02591|FlyLightSplitSlideCode:20150519_31_F2|jrc_slide_code_api:20150519_31_F2|neuronbridge:SS02591	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150519_31_F2', age: 'Day 1-5'
20x-VNC-2155262153865560162	JRC_SS02591_VNC_20150519_31_F3_20x	P{VT046248-p65.AD}	P{R72E04-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS02591|GMR_SS02591|JRC_SS02591	FlyLightSplit:SS02591|FlyLightSplitSlideCode:20150519_31_F3|jrc_slide_code_api:20150519_31_F3|neuronbridge:SS02591	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150519_31_F3', age: 'Day 1-5'
20x-VNC-2150684594213486599	JRC_SS03186_VNC_20150519_32_C1_20x	P{R51F11-p65.AD}	P{VT020600-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS03186|JRC_SS03186	FlyLightSplit:SS03186|FlyLightSplitSlideCode:20150519_32_C1|jrc_slide_code_api:20150519_32_C1|neuronbridge:SS03186	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150519_32_C1', age: 'Day 1-5'
20x-VNC-2145879028517568610	JRC_SS03186_VNC_20150519_32_C2_20x	P{R51F11-p65.AD}	P{VT020600-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS03186|JRC_SS03186	FlyLightSplit:SS03186|FlyLightSplitSlideCode:20150519_32_C2|jrc_slide_code_api:20150519_32_C2|neuronbridge:SS03186	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150519_32_C2', age: 'Day 1-5'
20x-VNC-2150684602929250311	JRC_SS03186_VNC_20150519_32_C3_20x	P{R51F11-p65.AD}	P{VT020600-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS03186|JRC_SS03186	FlyLightSplit:SS03186|FlyLightSplitSlideCode:20150519_32_C3|jrc_slide_code_api:20150519_32_C3|neuronbridge:SS03186	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150519_32_C3', age: 'Day 1-5'
20x-VNC-2150684647535673351	JRC_SS03188_VNC_20150519_32_E1_20x	P{R54E05-p65.AD}	P{VT029577-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS03188|JRC_SS03188	FlyLightSplit:SS03188|FlyLightSplitSlideCode:20150519_32_E1|jrc_slide_code_api:20150519_32_E1|neuronbridge:SS03188	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150519_32_E1', age: 'Day 1-5'
20x-VNC-2150684657836883975	JRC_SS03188_VNC_20150519_32_E2_20x	P{R54E05-p65.AD}	P{VT029577-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS03188|JRC_SS03188	FlyLightSplit:SS03188|FlyLightSplitSlideCode:20150519_32_E2|jrc_slide_code_api:20150519_32_E2|neuronbridge:SS03188	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150519_32_E2', age: 'Day 1-5'
20x-VNC-2145879044753719394	JRC_SS03188_VNC_20150519_32_E3_20x	P{R54E05-p65.AD}	P{VT029577-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS03188|JRC_SS03188	FlyLightSplit:SS03188|FlyLightSplitSlideCode:20150519_32_E3|jrc_slide_code_api:20150519_32_E3|neuronbridge:SS03188	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20150519_32_E3', age: 'Day 1-5'
