filename	label	is_a	part_of	overlaps	comment	dbxrefs
611023	"Figure: Kuan, Phelps et al. 2020 Nat Neuro - Extended Data Figure 3i (T1LEG:611023)"		female organism|prothoracic leg			vnc_harvard_catmaid_api:611023
611038	"Figure: Kuan, Phelps et al. 2020 Nat Neuro - Extended Data Figure 3h (T1LEG:611038)"		female organism|prothoracic leg			vnc_harvard_catmaid_api:611038
611051	"Figure: Kuan, Phelps et al. 2020 Nat Neuro - Extended Data Figure 3j (T1LEG:611051)"		female organism|prothoracic leg			vnc_harvard_catmaid_api:611051
611065	"Figure: Kuan, Phelps et al. 2020 Nat Neuro - Extended Data Figure 3k (T1LEG:611065)"		female organism|prothoracic leg			vnc_harvard_catmaid_api:611065
