object_name	relation	subject_id	subject_name
adult prosternal chordotonal organ neuron	is_a	VFB_0010291x	neuron 123056 (FANC:664331)
adult prosternal chordotonal organ neuron	is_a	VFB_001028kd	neck chordotonal neuron - left - R43C10 MCFO D4 (FANC:547806)
adult prosternal chordotonal organ neuron	is_a	VFB_001028ka	neck chordotonal neuron - right - R43C10 MCFO D4 (FANC:547789)
adult prothoracic multinerve neuron	is_a	VFB_001028eb	neuron 9772 (FANC:516721)
adult prothoracic multinerve neuron	is_a	VFB_001028f5	neuron 9873 (FANC:517296)
adult prothoracic multinerve neuron	is_a	VFB_001028zz	neuron 11440 - flipped (FANC:624823)
adult prothoracic multinerve neuron	is_a	VFB_001028zy	neuron 11698 - flipped (FANC:624805)
adult prothoracic multinerve neuron	is_a	VFB_001028ay	neuron 11440 (FANC:515119)
adult prothoracic multinerve neuron	is_a	VFB_001028d0	neuron 11698 (FANC:516098)
adult sensory neuron	is_a	VFB_0010288t	neuron 23504 (FANC:514242)
adult sensory neuron	is_a	VFB_001027k7	neuron 81155 (FANC:492351)
adult sensory neuron	is_a	VFB_001028b7	neuron 81116 (FANC:515243)
adult sensory neuron	is_a	VFB_001028c1	neuron 81212 (FANC:515643)
adult sensory neuron	is_a	VFB_001028fs	neuron 71422 (FANC:517595)
adult sensory neuron	is_a	VFB_001028gn	neuron 71596 (FANC:517983)
adult sensory neuron	is_a	VFB_001028gf	neuron 42903 (FANC:517892)
adult sensory neuron	is_a	VFB_001028gg	neuron 42907 (FANC:517903)
adult sensory neuron	is_a	VFB_001028gi	neuron 42911 (FANC:517926)
adult sensory neuron	is_a	VFB_001028gk	neuron 42915 (FANC:517949)
adult sensory neuron	is_a	VFB_001028gl	neuron 42919 (FANC:517960)
adult sensory neuron	is_a	VFB_001028go	neuron 42929 (FANC:517994)
adult sensory neuron	is_a	VFB_0010282l	neuron 70059 (FANC:512029)
adult sensory neuron	is_a	VFB_001027zk	neuron 14562 (FANC:510920)
adult sensory neuron	is_a	VFB_0010281w	neuron 14721 (FANC:511825)
adult sensory neuron	is_a	VFB_0010283i	neuron 14821 (FANC:512356)
adult sensory neuron	is_a	VFB_0010284p	neuron 14906 (FANC:512810)
adult sensory neuron	is_a	VFB_0010286p	neuron 15099 (FANC:513517)
adult sensory neuron	is_a	VFB_0010286v	neuron 15126 (FANC:513594)
adult sensory neuron	is_a	VFB_0010287e	neuron 15164 (FANC:513715)
adult sensory neuron	is_a	VFB_001028dy	neuron 28163 (FANC:516554)
adult sensory neuron	is_a	VFB_001028fw	neuron 26383 (FANC:517650)
adult sensory neuron	is_a	VFB_0010284e	neuron 544 (FANC:512658)
adult sensory neuron	is_a	VFB_0010283z	neuron 524 (FANC:512588)
adult sensory neuron	is_a	VFB_0010282z	neuron 22990 (FANC:512235)
adult sensory neuron	is_a	VFB_001027yc	neuron 22541 (FANC:510306)
adult sensory neuron	is_a	VFB_001028bi	neuron 23799 (FANC:515380)
adult sensory neuron	is_a	VFB_001028aw	neuron 25767 (FANC:515093)
adult sensory neuron	is_a	VFB_0010287b	neuron 74549 (FANC:513675)
adult sensory neuron	is_a	VFB_001027yh	neuron 69684 (FANC:510380)
adult sensory neuron	is_a	VFB_001027yj	neuron 69710 (FANC:510430)
adult sensory neuron	is_a	VFB_001028av	neuron 72869 (FANC:515081)
adult sensory neuron	is_a	VFB_001028fy	neuron 75546 (FANC:517678)
adult sensory neuron	is_a	VFB_001028g2	neuron 75578 (FANC:517728)
adult sensory neuron	is_a	VFB_001028g3	neuron 75595 (FANC:517740)
adult sensory neuron	is_a	VFB_001028ga	neuron 75630 (FANC:517831)
adult sensory neuron	is_a	VFB_001028gc	neuron 75640 (FANC:517856)
adult sensory neuron	is_a	VFB_001028gd	neuron 75658 (FANC:517868)
adult sensory neuron	is_a	VFB_001028ge	neuron 75669 (FANC:517880)
adult sensory neuron	is_a	VFB_001028gj	neuron 75679 (FANC:517937)
adult sensory neuron	is_a	VFB_001028gm	neuron 75688 (FANC:517971)
adult sensory neuron	is_a	VFB_001028gr	neuron 75721 (FANC:518029)
adult sensory neuron	is_a	VFB_0010285c	neuron 74386 (FANC:512979)
adult sensory neuron	is_a	VFB_0010292h	neuron 74570 (FANC:664462)
adult sensory neuron	is_a	VFB_001027zb	neuron 12473 (FANC:510790)
adult sensory neuron	is_a	VFB_0010286x	neuron 23322 (FANC:513620)
adult sensory neuron	is_a	VFB_0010286t	neuron 70407 (FANC:513567)
adult sensory neuron	is_a	VFB_0010285d	neuron 101011 (FANC:512991)
adult sensory neuron	is_a	VFB_001028e3	neuron 22035 (FANC:516617)
adult sensory neuron	is_a	VFB_0010291t	neuron 22569 (FANC:664276)
adult sensory neuron	is_a	VFB_001028ci	neuron 23933 (FANC:515860)
adult sensory neuron	is_a	VFB_0010291e	neuron 23962 (FANC:664074)
adult sensory neuron	is_a	VFB_0010281y	neuron 20867 (FANC:511851)
adult sensory neuron	is_a	VFB_0010284r	neuron 585 (FANC:512837)
adult sensory neuron	is_a	VFB_001027zw	neuron 22797 (FANC:511084)
adult sensory neuron	is_a	VFB_001028aq	neuron 23701 (FANC:515018)
adult sensory neuron	is_a	VFB_0010291g	neuron 24476 (FANC:664101)
adult sensory neuron	is_a	VFB_001027z3	neuron 24739 (FANC:510688)
adult sensory neuron	is_a	VFB_0010283h	neuron 78301 (FANC:512345)
adult sensory neuron	is_a	VFB_0010284x	neuron 14970 (FANC:512920)
adult sensory neuron	is_a	VFB_0010285p	neuron 15048 (FANC:513142)
adult sensory neuron	is_a	VFB_001028al	neuron 38013 (FANC:514941)
adult sensory neuron	is_a	VFB_001028cj	neuron 77182 (FANC:515874)
adult sensory neuron	is_a	VFB_0010292o	neuron 77275 (FANC:664552)
adult sensory neuron	is_a	VFB_001028ff	neuron 16050 (FANC:517431)
adult sensory neuron	is_a	VFB_001028b9	neuron 11488 (FANC:515268)
adult sensory neuron	is_a	VFB_001028bc	neuron 11493 (FANC:515306)
adult sensory neuron	is_a	VFB_001028be	neuron 11498 (FANC:515329)
adult sensory neuron	is_a	VFB_001028dh	neuron 11740 (FANC:516334)
