subject_external_id	subject_id	subject_name	DataSet	subject_external_db	relation	object	Curator
9867541	VFB_00100714	Griddle-1 t3l (L1EM:9867541)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
4049878	VFB_00100616	Basin4_a1 (L1EM:4049878)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
3282869	VFB_00100615	Basin1_a1 (L1EM:3282869)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
8031834	VFB_00100685	chos_lch5-3_a1 (L1EM:8031834)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
7732444	VFB_00100676	chos_lch5-1_a1 (L1EM:7732444)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
471705	VFB_00100702	Ladder-d_a1 (L1EM:471705)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
7686464	VFB_00100675	chos_lch5-3_a1 (L1EM:7686464)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
162293	VFB_00100594	chos_lch5-24-1_a1 (L1EM:162293)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
7195651	VFB_00100708	Griddle-1 a1l (L1EM:7195651)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
3074106	VFB_00100617	Basin2_a1 (L1EM:3074106)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
7694722	VFB_00100677	chos_lch5-5_a1 (L1EM:7694722)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
7790597	VFB_00100592	chos_vchAB1_a1 (L1EM:7790597)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
159280	VFB_00100593	chos_lch5-24-2_a1 (L1EM:159280)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
7763691	VFB_00100680	chos_lch5-5_a1 (L1EM:7763691)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
10804041	VFB_00100715	Griddle-2 a1l (L1EM:10804041)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
7764785	VFB_00100681	chos_lch5-1_a1 (L1EM:7764785)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
471720	VFB_00100701	Ladder-c a1 (L1EM:471720)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
8045800	VFB_00100710	Griddle-1 t3r (L1EM:8045800)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
3034133	VFB_00100612	Basin1_a1 (L1EM:3034133)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
6207232	VFB_00100707	Drunken-1 a1l (L1EM:6207232)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
7683401	VFB_00100709	Griddle-2 a1r (L1EM:7683401)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
11995	VFB_00100700	Ladder-a a1 (L1EM:11995)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
3040481	VFB_00100613	Basin4_a1 (L1EM:3040481)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
7746883	VFB_00100679	chos_vchAB1_a1 (L1EM:7746883)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
3041612	VFB_00100614	Basin2_a1 (L1EM:3041612)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
3091943	VFB_00100618	Basin3_a1 (L1EM:3091943)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
471755	VFB_00100703	Ladder-b a1 (L1EM:471755)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
7628068	VFB_00100678	chos_v'ch_a1 (L1EM:7628068)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
7657358	VFB_00100699	Ladder-f a2 (L1EM:7657358)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
8577316	VFB_00100711	Ladder-f a1 (L1EM:8577316)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
10179501	VFB_00100694	Basin3_a1 (L1EM:10179501)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
16310625	VFB_00100716	Griddle-2 t3l (L1EM:16310625)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
4824878	VFB_00100706	Griddle-1 a1r (L1EM:4824878)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
4321712	VFB_00100636	Handle-B a1 (L1EM:4321712)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
6276557	VFB_00100674	chos_lch5-24-2_a1 (L1EM:6276557)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
4022794	VFB_00100628	Handle-A a1 (L1EM:4022794)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
8614658	VFB_00100712	Ladder-a_t3l (L1EM:8614658)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
4096366	VFB_00100704	Drunken-1 a1r (L1EM:4096366)	Jovanic2016	catmaid_l1em	part_of	larval nervous system	cp390
