Tbars	downstream	relation	upstream	subject_external_id	subject_external_db	object
1922	16776	has_presynaptic_terminal_in		1324365879	neuprint_JRC_Hemibrain_1point1	ventrolateral neuropils
		has_postsynaptic_terminal_in	3699	1324365879	neuprint_JRC_Hemibrain_1point1	ventrolateral neuropils
1411	12829	has_presynaptic_terminal_in		1324365879	neuprint_JRC_Hemibrain_1point1	anterior ventrolateral protocerebrum
		has_postsynaptic_terminal_in	2785	1324365879	neuprint_JRC_Hemibrain_1point1	anterior ventrolateral protocerebrum
479	3698	has_presynaptic_terminal_in		1324365879	neuprint_JRC_Hemibrain_1point1	posterior ventrolateral protocerebrum
		has_postsynaptic_terminal_in	809	1324365879	neuprint_JRC_Hemibrain_1point1	posterior ventrolateral protocerebrum
94	757	has_presynaptic_terminal_in		1324365879	neuprint_JRC_Hemibrain_1point1	inferior neuropils
		has_postsynaptic_terminal_in	255	1324365879	neuprint_JRC_Hemibrain_1point1	inferior neuropils
94	757	has_presynaptic_terminal_in		1324365879	neuprint_JRC_Hemibrain_1point1	inferior clamp
		has_postsynaptic_terminal_in	255	1324365879	neuprint_JRC_Hemibrain_1point1	inferior clamp
23	194	has_presynaptic_terminal_in		1324365879	neuprint_JRC_Hemibrain_1point1	posterior lateral protocerebrum
		has_postsynaptic_terminal_in	58	1324365879	neuprint_JRC_Hemibrain_1point1	posterior lateral protocerebrum
7	53	has_presynaptic_terminal_in		1324365879	neuprint_JRC_Hemibrain_1point1	ventromedial neuropils
		has_postsynaptic_terminal_in	33	1324365879	neuprint_JRC_Hemibrain_1point1	ventromedial neuropils
5	39	has_presynaptic_terminal_in		1324365879	neuprint_JRC_Hemibrain_1point1	gorget
		has_postsynaptic_terminal_in	22	1324365879	neuprint_JRC_Hemibrain_1point1	gorget
3	20	has_presynaptic_terminal_in		1324365879	neuprint_JRC_Hemibrain_1point1	lateral complex
		has_postsynaptic_terminal_in	1	1324365879	neuprint_JRC_Hemibrain_1point1	lateral complex
3	20	has_presynaptic_terminal_in		1324365879	neuprint_JRC_Hemibrain_1point1	adult lateral accessory lobe
		has_postsynaptic_terminal_in	1	1324365879	neuprint_JRC_Hemibrain_1point1	adult lateral accessory lobe
3	20	has_presynaptic_terminal_in		1324365879	neuprint_JRC_Hemibrain_1point1	adult lateral accessory lobe
		has_postsynaptic_terminal_in	1	1324365879	neuprint_JRC_Hemibrain_1point1	adult lateral accessory lobe
2	14	has_presynaptic_terminal_in		1324365879	neuprint_JRC_Hemibrain_1point1	epaulette
		has_postsynaptic_terminal_in	11	1324365879	neuprint_JRC_Hemibrain_1point1	epaulette
9	55	has_presynaptic_terminal_in		1324365879	neuprint_JRC_Hemibrain_1point1	wedge
		has_postsynaptic_terminal_in	47	1324365879	neuprint_JRC_Hemibrain_1point1	wedge
1093	3945	has_presynaptic_terminal_in		297908801	neuprint_JRC_Hemibrain_1point1	superior neuropils
		has_postsynaptic_terminal_in	973	297908801	neuprint_JRC_Hemibrain_1point1	superior neuropils
336	1157	has_presynaptic_terminal_in		297908801	neuprint_JRC_Hemibrain_1point1	superior medial protocerebrum
		has_postsynaptic_terminal_in	289	297908801	neuprint_JRC_Hemibrain_1point1	superior medial protocerebrum
261	974	has_presynaptic_terminal_in		297908801	neuprint_JRC_Hemibrain_1point1	superior lateral protocerebrum
		has_postsynaptic_terminal_in	277	297908801	neuprint_JRC_Hemibrain_1point1	superior lateral protocerebrum
496	1814	has_presynaptic_terminal_in		297908801	neuprint_JRC_Hemibrain_1point1	superior intermediate protocerebrum
		has_postsynaptic_terminal_in	407	297908801	neuprint_JRC_Hemibrain_1point1	superior intermediate protocerebrum
135	433	has_presynaptic_terminal_in		297908801	neuprint_JRC_Hemibrain_1point1	superior neuropils
		has_postsynaptic_terminal_in	111	297908801	neuprint_JRC_Hemibrain_1point1	superior neuropils
133	426	has_presynaptic_terminal_in		297908801	neuprint_JRC_Hemibrain_1point1	superior medial protocerebrum
		has_postsynaptic_terminal_in	103	297908801	neuprint_JRC_Hemibrain_1point1	superior medial protocerebrum
2	7	has_presynaptic_terminal_in		297908801	neuprint_JRC_Hemibrain_1point1	superior intermediate protocerebrum
		has_postsynaptic_terminal_in	8	297908801	neuprint_JRC_Hemibrain_1point1	superior intermediate protocerebrum
2	6	has_presynaptic_terminal_in		297908801	neuprint_JRC_Hemibrain_1point1	adult mushroom body
		has_postsynaptic_terminal_in	2	297908801	neuprint_JRC_Hemibrain_1point1	adult mushroom body
2	6	has_presynaptic_terminal_in		297908801	neuprint_JRC_Hemibrain_1point1	adult mushroom body alpha\'-lobe
		has_postsynaptic_terminal_in	2	297908801	neuprint_JRC_Hemibrain_1point1	adult mushroom body alpha\'-lobe
2	6	has_presynaptic_terminal_in		297908801	neuprint_JRC_Hemibrain_1point1	mushroom body alpha\' lobe slice 3
		has_postsynaptic_terminal_in	2	297908801	neuprint_JRC_Hemibrain_1point1	mushroom body alpha\' lobe slice 3
