subject_external_id	subject_id	subject_name	DataSet	subject_external_db	relation	object	Curator
7808341	VFB_00100919	crescent_a1l (L1EM:7808341)	Fushiki2016	catmaid_l1em	part_of	larval nervous system	cp390
12834795	VFB_00100944	A14b a1r (L1EM:12834795)	Fushiki2016	catmaid_l1em	part_of	larval nervous system	cp390
12809152	VFB_00100941	A31d_a1l (L1EM:12809152)	Fushiki2016	catmaid_l1em	part_of	larval nervous system	cp390
13525684	VFB_00101448	A03a4_a2r (L1EM:13525684)	Fushiki2016	catmaid_l1em	part_of	larval nervous system	cp390
5458046	VFB_00100915	Saaghi-1_a2l (AAZ1 (A06l)) (L1EM:5458046)	Fushiki2016	catmaid_l1em	part_of	larval nervous system	cp390
7987962	VFB_00102183	A03g2_t3r (T03g2) (L1EM:7987962)	Fushiki2016	catmaid_l1em	part_of	larval nervous system	cp390
12809874	VFB_00100942	feagment (L1EM:12809874)	Fushiki2016	catmaid_l1em	part_of	larval nervous system	cp390
10053304	VFB_00100929	A05k_a1r (L1EM:10053304)	Fushiki2016	catmaid_l1em	part_of	larval nervous system	cp390
10089445	VFB_00100931	Saaghi-1_a2r (AAZ1 (A06l)) (L1EM:10089445)	Fushiki2016	catmaid_l1em	part_of	larval nervous system	cp390
4990880	VFB_00100913	A05k_a1l (L1EM:4990880)	Fushiki2016	catmaid_l1em	part_of	larval nervous system	cp390
10017073	VFB_00100928	A27k_up_a1r (L1EM:10017073)	Fushiki2016	catmaid_l1em	part_of	larval nervous system	cp390
17077342	VFB_00100968	A27e_a1r (L1EM:17077342)	Fushiki2016	catmaid_l1em	part_of	larval nervous system	cp390
10492631	VFB_00100937	A05a_t3r (L1EM:10492631)	Fushiki2016	catmaid_l1em	part_of	larval nervous system	cp390
14046294	VFB_00100959	A02d_a1r (L1EM:14046294)	Fushiki2016	catmaid_l1em	part_of	larval nervous system	cp390
4732074	VFB_00102157	T01d4_t3r (L1EM:4732074)	Fushiki2016	catmaid_l1em	part_of	larval nervous system	cp390
