subject_external_id	subject_name	subject_external_db	relation	object	pub
665470094	None (MaleCNS:665470094)	male-cns_v1_0	is_a	adult endocrine corazonin neuron of brain	
66550	SMP279_c_L (MaleCNS:66550)	male-cns_v1_0	is_a	adult superior medial protocerebrum neuron 279	
66551	L4_R (MaleCNS:66551)	male-cns_v1_0	is_a	lamina monopolar neuron L4	FlyBase:FBrf0262545
66552	CB4242_R (MaleCNS:66552)	male-cns_v1_0	is_a	adult superior medial protocerebrum neuron 259	
66553	Tm3_R (MaleCNS:66553)	male-cns_v1_0	is_a	transmedullary neuron Tm3	FlyBase:FBrf0262545
66554	PLP173_R (MaleCNS:66554)	male-cns_v1_0	is_a	adult posterior lateral protocerebrum neuron 173	
66555	Dm11_R (MaleCNS:66555)	male-cns_v1_0	is_a	distal medullary amacrine neuron Dm11	FlyBase:FBrf0262545
66556	C3_R (MaleCNS:66556)	male-cns_v1_0	is_a	centrifugal neuron C3	FlyBase:FBrf0262545
66557	T4d_L (MaleCNS:66557)	male-cns_v1_0	is_a	T4d neuron	FlyBase:FBrf0262545
66558	PLP155_L (MaleCNS:66558)	male-cns_v1_0	is_a	adult posterior lateral protocerebrum neuron 155	
66559	MeTu3a_L (MaleCNS:66559)	male-cns_v1_0	is_a	adult medulla-tubercle neuron 3	
66561	vDeltaI_b_C0 (MaleCNS:66561)	male-cns_v1_0	is_a	adult fan-shaped body vertical delta neuron	
66562	C3_R (MaleCNS:66562)	male-cns_v1_0	is_a	centrifugal neuron C3	FlyBase:FBrf0262545
66563	Mi4_L (MaleCNS:66563)	male-cns_v1_0	is_a	medulla intrinsic neuron Mi4	FlyBase:FBrf0262545
66564	MeVP1_L (MaleCNS:66564)	male-cns_v1_0	is_a	adult medulla visual projection neuron MeVP1	FlyBase:FBrf0262545
66565	Tm4_R (MaleCNS:66565)	male-cns_v1_0	is_a	transmedullary neuron Tm4	FlyBase:FBrf0262545
66566	TmY5a_R (MaleCNS:66566)	male-cns_v1_0	is_a	transmedullary Y neuron TmY5a	FlyBase:FBrf0262545
66568	Tm1_R (MaleCNS:66568)	male-cns_v1_0	is_a	transmedullary neuron Tm1	FlyBase:FBrf0262545
66570	Dm-DRA1_R (MaleCNS:66570)	male-cns_v1_0	is_a	distal medullary amacrine neuron Dm-DRA1	FlyBase:FBrf0262545
66571	CB0266_R (MaleCNS:66571)	male-cns_v1_0	is_a	adult CB0266 neuron	
