subject_external_id	object	pub	comment	subject_external_db	relation
5812994744	adult antennal lobe projection neuron D adPN			neuprint_JRC_Hemibrain_1point2point1	is_a
5813013185	adult superior medial protocerebrum neuron 271			neuprint_JRC_Hemibrain_1point2point1	is_a
5813013547	adult superior medial protocerebrum neuron 316			neuprint_JRC_Hemibrain_1point2point1	is_a
5813041161	adult superior medial protocerebrum neuron 311			neuprint_JRC_Hemibrain_1point2point1	is_a
5813048244	adult crepine neuron 075			neuprint_JRC_Hemibrain_1point2point1	is_a
579428619	adult superior medial protocerebrum neuron 010			neuprint_JRC_Hemibrain_1point2point1	is_a
5813049472	adult antennal lobe projection neuron DC4 adPN			neuprint_JRC_Hemibrain_1point2point1	is_a
5813050013	adult antennal lobe projection neuron DM2 lPN			neuprint_JRC_Hemibrain_1point2point1	is_a
5813054061	adult antennal lobe projection neuron DM2 lPN			neuprint_JRC_Hemibrain_1point2point1	is_a
5813056932	adult superior medial protocerebrum neuron 389			neuprint_JRC_Hemibrain_1point2point1	is_a
5813057542	adult antennal lobe projection neuron VM7d adPN	FlyBase:FBrf0246460		neuprint_JRC_Hemibrain_1point2point1	is_a
5813058452	adult crepine neuron 106			neuprint_JRC_Hemibrain_1point2point1	is_a
5813061392	adult antennal lobe projection neuron DM1 lPN			neuprint_JRC_Hemibrain_1point2point1	is_a
581790318	adult superior medial protocerebrum neuron 507			neuprint_JRC_Hemibrain_1point2point1	is_a
5901195610	adult antennal lobe projection neuron DM5 lPN			neuprint_JRC_Hemibrain_1point2point1	is_a
608715651	adult superior medial protocerebrum neuron 579			neuprint_JRC_Hemibrain_1point2point1	is_a
5901197274	adult superior medial protocerebrum neuron 528			neuprint_JRC_Hemibrain_1point2point1	is_a
605662705	adult superior medial protocerebrum neuron 044			neuprint_JRC_Hemibrain_1point2point1	is_a
609052312	adult superior medial protocerebrum neuron 036			neuprint_JRC_Hemibrain_1point2point1	is_a
609384093	adult superior medial protocerebrum neuron 317			neuprint_JRC_Hemibrain_1point2point1	is_a
613191512	adult clamp neuron 129			neuprint_JRC_Hemibrain_1point2point1	is_a
643156727	adult superior medial protocerebrum neuron 176			neuprint_JRC_Hemibrain_1point2point1	is_a
669075559	adult superior medial protocerebrum neuron 339			neuprint_JRC_Hemibrain_1point2point1	is_a
671449467	adult superior medial protocerebrum neuron 317			neuprint_JRC_Hemibrain_1point2point1	is_a
701470006	adult superior medial protocerebrum neuron 425			neuprint_JRC_Hemibrain_1point2point1	is_a
702493502	adult clamp neuron 029			neuprint_JRC_Hemibrain_1point2point1	is_a
705229969	adult superior medial protocerebrum neuron 359			neuprint_JRC_Hemibrain_1point2point1	is_a
704898746	adult superior medial protocerebrum neuron 326			neuprint_JRC_Hemibrain_1point2point1	is_a
731145160	adult superior medial protocerebrum neuron 201			neuprint_JRC_Hemibrain_1point2point1	is_a
729790291	adult superior medial protocerebrum neuron 313			neuprint_JRC_Hemibrain_1point2point1	is_a
734901302	adult superior medial protocerebrum neuron 326			neuprint_JRC_Hemibrain_1point2point1	is_a
733873446	adult superior medial protocerebrum neuron 506			neuprint_JRC_Hemibrain_1point2point1	is_a
761144013	adult clamp neuron 030			neuprint_JRC_Hemibrain_1point2point1	is_a
762857726	adult superior medial protocerebrum neuron 316			neuprint_JRC_Hemibrain_1point2point1	is_a
766653529	adult lateral horn AD2b1 neuron			neuprint_JRC_Hemibrain_1point2point1	is_a
765590602	adult superior medial protocerebrum neuron 312			neuprint_JRC_Hemibrain_1point2point1	is_a
769022355	adult superior medial protocerebrum neuron 040			neuprint_JRC_Hemibrain_1point2point1	is_a
791505612	adult clamp neuron 030			neuprint_JRC_Hemibrain_1point2point1	is_a
792908892	adult posterior lateral protocerebrum neuron 246			neuprint_JRC_Hemibrain_1point2point1	is_a
820545761	adult antennal lobe projection neuron VM7v adPN			neuprint_JRC_Hemibrain_1point2point1	is_a
850898421	adult antennal lobe projection neuron DM3 adPN			neuprint_JRC_Hemibrain_1point2point1	is_a
851235543	adult antennal lobe projection neuron DM4 adPN			neuprint_JRC_Hemibrain_1point2point1	is_a
853251409	adult inferior bridge neuron 110			neuprint_JRC_Hemibrain_1point2point1	is_a
855630800	adult superior medial protocerebrum neuron 316			neuprint_JRC_Hemibrain_1point2point1	is_a
882615309	adult antennal lobe projection neuron DM6 adPN			neuprint_JRC_Hemibrain_1point2point1	is_a
880780647	ocellar ganglion interneuron	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point2point1	is_a
881933350	adult antennal lobe projection neuron DM6 adPN			neuprint_JRC_Hemibrain_1point2point1	is_a
885685726	adult anterior ventrolateral protocerebrum neuron 590			neuprint_JRC_Hemibrain_1point2point1	is_a
911815444	ocellar ganglion interneuron	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point2point1	is_a
913649999	adult antennal lobe projection neuron DM6 adPN			neuprint_JRC_Hemibrain_1point2point1	is_a
913650065	adult antennal lobe projection neuron VM7d adPN	FlyBase:FBrf0246460		neuprint_JRC_Hemibrain_1point2point1	is_a
913650068	adult antennal lobe projection neuron VM7d adPN	FlyBase:FBrf0246460		neuprint_JRC_Hemibrain_1point2point1	is_a
913650164	adult antennal lobe projection neuron VM7v adPN			neuprint_JRC_Hemibrain_1point2point1	is_a
916029180	adult clamp neuron 175			neuprint_JRC_Hemibrain_1point2point1	is_a
915632613	adult vest neuron 053			neuprint_JRC_Hemibrain_1point2point1	is_a
916560513	adult clamp neuron 159			neuprint_JRC_Hemibrain_1point2point1	is_a
946722969	adult clamp neuron 273			neuprint_JRC_Hemibrain_1point2point1	is_a
948778197	adult clamp neuron 184			neuprint_JRC_Hemibrain_1point2point1	is_a
947751030	adult clamp neuron 185			neuprint_JRC_Hemibrain_1point2point1	is_a
972603320	ocellar ganglion interneuron	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point2point1	is_a
977727797	adult clamp neuron 098			neuprint_JRC_Hemibrain_1point2point1	is_a
978432050	adult posterior slope neuron 111			neuprint_JRC_Hemibrain_1point2point1	is_a
986918760	adult crepine neuron 106			neuprint_JRC_Hemibrain_1point2point1	is_a
