subject_id	object	pub	relation	comment	subject_name
VFB_fw000030	primary neuron	FlyBase:FBrf0260535	is_a	Dorkenwald2023 260821	SMP.2040 (FlyWire:720575940614623455)
VFB_fw000032	primary neuron	FlyBase:FBrf0260535	is_a	Dorkenwald2023 260821	SMP.1246 (FlyWire:720575940603765280)
VFB_fw000083	primary neuron	FlyBase:FBrf0260535	is_a	Dorkenwald2023 260821	LAL.GNG.6 (FlyWire:720575940631082808)
VFB_fw000107	primary neuron	FlyBase:FBrf0260535	is_a	Dorkenwald2023 260821	PRW.149 (FlyWire:720575940616153371)
VFB_fw000124	primary neuron	FlyBase:FBrf0260535	is_a	Dorkenwald2023 260821	LH.13 (FlyWire:720575940624911548)
VFB_fw000136	primary neuron	FlyBase:FBrf0260535	is_a	Dorkenwald2023 260821	GNG.1375 (FlyWire:720575940628372613)
VFB_fw000137	primary neuron	FlyBase:FBrf0260535	is_a	Dorkenwald2023 260821	AVLP.73 (FlyWire:720575940637656974)
VFB_fw000138	primary neuron	FlyBase:FBrf0260535	is_a	Dorkenwald2023 260821	GNG.595 (FlyWire:720575940629543409)
VFB_fw000139	primary neuron	FlyBase:FBrf0260535	is_a	Dorkenwald2023 260821	GNG.1743 (FlyWire:720575940618666142)
VFB_fw000140	primary neuron	FlyBase:FBrf0260535	is_a	Dorkenwald2023 260821	SCL.12 (FlyWire:720575940626051514)
VFB_fw000155	primary neuron	FlyBase:FBrf0260535	is_a	Dorkenwald2023 260821	FLA.GNG.4 (FlyWire:720575940610610841)
VFB_fw000156	primary neuron	FlyBase:FBrf0260535	is_a	Dorkenwald2023 260821	LH.AL.1 (FlyWire:720575940631942341)
VFB_fw000157	primary neuron	FlyBase:FBrf0260535	is_a	Dorkenwald2023 260821	SMP.1273 (FlyWire:720575940635690391)
VFB_fw000159	primary neuron	FlyBase:FBrf0260535	is_a	Dorkenwald2023 260821	PLP.13 (FlyWire:720575940613635737)
VFB_fw000168	primary neuron	FlyBase:FBrf0260535	is_a	Dorkenwald2023 260821	LH.114 (FlyWire:720575940659400577)
VFB_fw000251	primary neuron	FlyBase:FBrf0260535	is_a	Dorkenwald2023 260821	SAD.8 (FlyWire:720575940622579967)
VFB_fw000265	primary neuron	FlyBase:FBrf0260535	is_a	Dorkenwald2023 260821	AL.MB_CA.25 (FlyWire:720575940622368792)
