subject_external_id	subject_name	subject_external_db	relation	object
100120	Dm8b_R (JRC_OpticLobe:100120)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8b
100449	Dm8b_R (JRC_OpticLobe:100449)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8b
100547	Dm8b_R (JRC_OpticLobe:100547)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8b
100616	Dm8a_R (JRC_OpticLobe:100616)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8a
100668	Dm8b_R (JRC_OpticLobe:100668)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8b
100713	Dm8a_R (JRC_OpticLobe:100713)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8a
100784	Dm8b_R (JRC_OpticLobe:100784)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8b
100880	Dm8a_R (JRC_OpticLobe:100880)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8a
100966	Dm8b_R (JRC_OpticLobe:100966)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8b
101315	Dm8a_R (JRC_OpticLobe:101315)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8a
101386	Dm8b_R (JRC_OpticLobe:101386)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8b
101506	Dm8a_R (JRC_OpticLobe:101506)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8a
101578	Dm8a_R (JRC_OpticLobe:101578)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8a
101876	Dm8a_R (JRC_OpticLobe:101876)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8a
102043	Dm8a_R (JRC_OpticLobe:102043)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8a
102137	Dm8b_R (JRC_OpticLobe:102137)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8b
102166	Dm8a_R (JRC_OpticLobe:102166)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8a
102286	Dm8a_R (JRC_OpticLobe:102286)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8a
102322	Dm8a_R (JRC_OpticLobe:102322)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8a
102333	Dm8a_R (JRC_OpticLobe:102333)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8a
102623	Dm8b_R (JRC_OpticLobe:102623)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8b
102667	Dm8b_R (JRC_OpticLobe:102667)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8b
102723	Dm8a_R (JRC_OpticLobe:102723)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8a
103477	Dm8a_R (JRC_OpticLobe:103477)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8a
103866	Dm8a_R (JRC_OpticLobe:103866)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8a
103873	Dm8a_R (JRC_OpticLobe:103873)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8a
104063	Dm8a_R (JRC_OpticLobe:104063)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8a
104092	Dm8a_R (JRC_OpticLobe:104092)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8a
104145	Dm8b_R (JRC_OpticLobe:104145)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8b
104221	Dm8a_R (JRC_OpticLobe:104221)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8a
104243	Dm8a_R (JRC_OpticLobe:104243)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8a
104278	Dm8b_R (JRC_OpticLobe:104278)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8b
104430	Dm8a_R (JRC_OpticLobe:104430)	neuprint_JRC_OpticLobe_v1_0_1	is_a	distal medullary amacrine neuron Dm8a
