	object	relation	subject_external_db	subject_external_id	subject_name
37	fan-shaped neuron	is_a	neuprint_JRC	203598499	FB8H^FB08a_L
38	alpha/beta Kenyon cell	is_a	neuprint_JRC	331999156	KCab-c
39	alpha/beta Kenyon cell	is_a	neuprint_JRC	848287126	KCab-c
40	alpha/beta Kenyon cell	is_a	neuprint_JRC	5813056234	KCab-s
41	alpha/beta Kenyon cell	is_a	neuprint_JRC	333039671	KCab-s
42	alpha/beta Kenyon cell	is_a	neuprint_JRC	5813091211	KCab-s
43	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812982374	KCab-s
44	alpha/beta Kenyon cell	is_a	neuprint_JRC	456121649	KCab-s
45	fan-shaped neuron	is_a	neuprint_JRC	5813069498	FB8F_b^FB08j_R
46	alpha/beta Kenyon cell	is_a	neuprint_JRC	1261989183	KCab-s
47	alpha/beta Kenyon cell	is_a	neuprint_JRC	908353540	KCab-a
48	alpha/beta Kenyon cell	is_a	neuprint_JRC	1420651734	KCab-s
49	alpha/beta Kenyon cell	is_a	neuprint_JRC	332349327	KCab-a
50	alpha/beta Kenyon cell	is_a	neuprint_JRC	755234235	KCab-a
51	alpha/beta Kenyon cell	is_a	neuprint_JRC	878337317	KCab-s
52	alpha/beta Kenyon cell	is_a	neuprint_JRC	940079170	KCab-s
53	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812980410	KCab-c
54	alpha/beta Kenyon cell	is_a	neuprint_JRC	5812980369	KCab-s
55	dopaminergic PAM neuron 10	is_a	neuprint_JRC	1110972158	PAM10(B1)_R
56	alpha/beta Kenyon cell	is_a	neuprint_JRC	849707224	KCab-s
57	alpha/beta Kenyon cell	is_a	neuprint_JRC	5813106497	KCab-s
58	fan-shaped neuron	is_a	neuprint_JRC	1168387674	FB1B^FB01b_L
59	fan-shaped neuron	is_a	neuprint_JRC	886635309	FB9A^FB09a_L
60	fan-shaped neuron	is_a	neuprint_JRC	299083134	(PDM05)_L
61	fan-shaped neuron	is_a	neuprint_JRC	948346519	FB8H^FB08a_L
62	fan-shaped neuron	is_a	neuprint_JRC	204962646	FB7L^FB07c_L
63	fan-shaped neuron	is_a	neuprint_JRC	885940052	FB8H^FB08a_L
64	fan-shaped neuron	is_a	neuprint_JRC	5813002500	FB1D^FB01D_L
65	fan-shaped neuron	is_a	neuprint_JRC	328744210	FB5G^FB05g_L
66	alpha/beta posterior Kenyon cell	is_a	neuprint_JRC	5812982782	KCab-p
67	alpha/beta Kenyon cell	is_a	neuprint_JRC	425104113	KCab-s
68	fan-shaped neuron	is_a	neuprint_JRC	327203386	FB7A^FB07b_R
69	fan-shaped neuron	is_a	neuprint_JRC	360466268	FB8F_a^FB07f_L
