subject_external_id	subject_id	subject_name	DataSet	subject_external_db	relation	object	Curator
19219935	VFB_001015ds	neuron 19219936 (L1EM:19219935)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19297596	VFB_001015ea	neuron 19297597 (L1EM:19297596)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
3925724	VFB_0010159y	ITP candidate 1 left (L1EM:3925724)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
2765056	VFB_0010158x	vdaD or v\'pda a7l class III md (L1EM:2765056)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19537785	VFB_001015gl	neuron 19537786 (L1EM:19537785)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19297678	VFB_001015el	neuron 19297679 (L1EM:19297678)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
9372642	VFB_001015bk	PTTH 1 left (L1EM:9372642)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
4874953	VFB_001015ad	Capa right (L1EM:4874953)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
19299708	VFB_001015f5	neuron 19299709 (L1EM:19299708)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
367864	VFB_0010157q	v\'pda a2r class III md (L1EM:367864)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
2822183	VFB_0010158z	vdaB?_a7l (L1EM:2822183)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
15217212	VFB_001015cl	vdaB_a2l (L1EM:15217212)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
881861	VFB_0010157w	desC_a5r (L1EM:881861)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
738095	VFB_0010157s	ddaC_a5l (L1EM:738095)	Hueckesfeld2020	catmaid_l1em	part_of	larval nervous system	cp390
