subject_external_id	object	subject_external_db	relation	pub
9641919	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
5783868	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
9753530	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
10339991	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
8318813	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
19786464	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
14495367	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
8184598	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
4214582	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
17813006	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
13953546	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
17330632	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
5669107	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
16405545	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
15618614	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
13836327	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
9057998	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
14214039	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
4398543	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
16799939	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
11029359	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
17557290	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
15519213	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
11216417	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
10400440	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
18500915	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
11329998	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
19088042	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
11871574	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
12928099	larval mushroom body-lateral horn convergence neuron	catmaid_l1em	is_a	FBrf0255988
