subject_external_id	subject_name	subject_id	subject_external_db	relation	object	pub
720575940604157361	FlyWire:720575940604157361	VFB_fw013987	flywire783	is_a	protocerebral bridge 1 glomerulus-fan-shaped body-nodulus 3 medial domain neuron	
720575940604195360	FlyWire:720575940604195360	VFB_fw012089	flywire783	is_a	fan-shaped body extrinsic columnar neuron	
720575940604201830	FlyWire:720575940604201830	VFB_fw003788	flywire783	is_a	unpaired neuron	
720575940604265440	FlyWire:720575940604265440	VFB_fw075128	flywire783	is_a	distal medullary amacrine neuron Dm3c	FlyBase:FBrf0262545
720575940604284128	FlyWire:720575940604284128	VFB_fw001319	flywire783	is_a	descending neuron of the posterior brain	
720575940604304742	FlyWire:720575940604304742	VFB_fw008155	flywire783	is_a	adult medulla-tubercle neuron 3	
720575940604318129	FlyWire:720575940604318129	VFB_fw022745	flywire783	is_a	alpha/beta Kenyon cell	
720575940604345632	FlyWire:720575940604345632	VFB_fw045052	flywire783	is_a	adult medulla-tubercle neuron of dorsal rim area	
720575940604383008	FlyWire:720575940604383008	VFB_fw025178	flywire783	is_a	small central-projecting DN3 neuron	
720575940604403628	FlyWire:720575940604403628	VFB_fw033429	flywire783	is_a	adult antennal lobe projection neuron VP5 l2PN	
720575940604414636	FlyWire:720575940604414636	VFB_fw001544	flywire783	is_a	adult antennal lobe projection neuron VP5 l2PN	
720575940604425696	FlyWire:720575940604425696	VFB_fw058403	flywire783	is_a	Y neuron Y11	
720575940604435814	FlyWire:720575940604435814	VFB_fw066278	flywire783	is_a	distal medullary amacrine neuron Dm3a	FlyBase:FBrf0262545
720575940604480870	FlyWire:720575940604480870	VFB_fw058737	flywire783	is_a	adult central medulla intrinsic neuron Cm15	FlyBase:FBrf0262545
720575940604481760	FlyWire:720575940604481760	VFB_fw000998	flywire783	is_a	adult fan-shaped body layer 4 tangential neuron	
720575940604485222	FlyWire:720575940604485222	VFB_fw068590	flywire783	is_a	adult central medulla intrinsic neuron Cm2	FlyBase:FBrf0262545
720575940604487456	FlyWire:720575940604487456	VFB_fw068877	flywire783	is_a	T3 neuron	
720575940604488672	FlyWire:720575940604488672	VFB_fw009551	flywire783	is_a	small central-projecting DN3 neuron	
720575940604498208	FlyWire:720575940604498208	VFB_fw014081	flywire783	is_a	protocerebral bridge 1 glomerulus-fan-shaped body-nodulus 3 medial domain neuron	
720575940604500448	FlyWire:720575940604500448	VFB_fw026737	flywire783	is_a	alpha/beta Kenyon cell	
720575940604509374	FlyWire:720575940604509374	VFB_fw003678	flywire783	is_a	alpha/beta Kenyon cell	
720575940604516710	FlyWire:720575940604516710	VFB_fw068564	flywire783	is_a	adult central medulla intrinsic neuron Cm10	FlyBase:FBrf0262545
720575940604518944	FlyWire:720575940604518944	VFB_fw000303	flywire783	is_a	protocerebral bridge 1 glomerulus-fan-shaped body-nodulus 3 medial domain neuron	
720575940604527038	FlyWire:720575940604527038	VFB_fw099577	flywire783	is_a	adult transmedullary Y neuron TmY21	FlyBase:FBrf0262545
720575940604553504	FlyWire:720575940604553504	VFB_fw054596	flywire783	is_a	adult transmedullary Y neuron TmY19a	FlyBase:FBrf0262545
720575940604561766	FlyWire:720575940604561766	VFB_fw017417	flywire783	is_a	protocerebral bridge 1 glomerulus-fan-shaped body-nodulus 3 medial domain neuron	
720575940604576689	FlyWire:720575940604576689	VFB_fw018488	flywire783	is_a	alpha/beta Kenyon cell	
720575940604578732	FlyWire:720575940604578732	VFB_fw073851	flywire783	is_a	adult transmedullary Y neuron TmY17	FlyBase:FBrf0262545
720575940604579500	FlyWire:720575940604579500	VFB_fw073850	flywire783	is_a	adult transmedullary Y neuron TmY17	FlyBase:FBrf0262545
720575940604585760	FlyWire:720575940604585760	VFB_fw057277	flywire783	is_a	transmedullary Y neuron TmY13	FlyBase:FBrf0262545
720575940604614060	FlyWire:720575940604614060	VFB_fw052245	flywire783	is_a	distal medullary amacrine neuron Dm3b	FlyBase:FBrf0262545
720575940604620512	FlyWire:720575940604620512	VFB_fw022441	flywire783	is_a	alpha/beta Kenyon cell	
