subject_external_id	subject_name	object	subject_external_db	relation	pub
192989	Cm1_R (JRC_OpticLobe:192989)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
156502	Cm1_R (JRC_OpticLobe:156502)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
155149	Cm1_R (JRC_OpticLobe:155149)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
183306	Cm1_R (JRC_OpticLobe:183306)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
126772	Cm1_R (JRC_OpticLobe:126772)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
136566	Cm1_R (JRC_OpticLobe:136566)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
195385	Cm1_R (JRC_OpticLobe:195385)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
128918	Cm1_R (JRC_OpticLobe:128918)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
145516	Cm1_R (JRC_OpticLobe:145516)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
575566	Cm1_R (JRC_OpticLobe:575566)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
184915	Cm1_R (JRC_OpticLobe:184915)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
170613	Cm1_R (JRC_OpticLobe:170613)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
121765	Cm1_R (JRC_OpticLobe:121765)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
135841	Cm1_R (JRC_OpticLobe:135841)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
130441	Cm1_R (JRC_OpticLobe:130441)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
575256	Cm1_R (JRC_OpticLobe:575256)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
148824	Cm1_R (JRC_OpticLobe:148824)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
150972	Cm1_R (JRC_OpticLobe:150972)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
153353	Cm1_R (JRC_OpticLobe:153353)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
119451	Cm1_R (JRC_OpticLobe:119451)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
148674	Cm1_R (JRC_OpticLobe:148674)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
564809	Cm1_R (JRC_OpticLobe:564809)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
132388	Cm1_R (JRC_OpticLobe:132388)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
139827	Cm1_R (JRC_OpticLobe:139827)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
130982	Cm1_R (JRC_OpticLobe:130982)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
143546	Cm1_R (JRC_OpticLobe:143546)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
139683	Cm1_R (JRC_OpticLobe:139683)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
145620	Cm1_R (JRC_OpticLobe:145620)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
142772	Cm1_R (JRC_OpticLobe:142772)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
121989	Cm1_R (JRC_OpticLobe:121989)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
137859	Cm1_R (JRC_OpticLobe:137859)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
136313	Cm1_R (JRC_OpticLobe:136313)	central medulla intrinsic neuron	neuprint_JRC_OpticLobe_v1_0	is_a	doi_10_1101__2024_04_16_589741
