filename	synonyms	is_a	part_of	label
PLP(R)	PLP(R)	posterior lateral protocerebrum	male organism|adult brain|right side of organism	PLP(R) on JRC2018Unisex
PRW	PRW	prow	male organism|adult brain	PRW on JRC2018Unisex
PVLP(L)	PVLP(L)	posterior ventrolateral protocerebrum	male organism|adult brain|left side of organism	PVLP(L) on JRC2018Unisex
PVLP(R)	PVLP(R)	posterior ventrolateral protocerebrum	male organism|adult brain|right side of organism	PVLP(R) on JRC2018Unisex
ROB(R)	ROB(R)	adult round body	male organism|adult brain|right side of organism	ROB(R) on JRC2018Unisex
RUB(R)	RUB(R)	rubus	male organism|adult brain|right side of organism	RUB(R) on JRC2018Unisex
SAD	SAD	saddle	male organism|adult brain	SAD on JRC2018Unisex
SCL(L)	SCL(L)	superior clamp	male organism|adult brain|left side of organism	SCL(L) on JRC2018Unisex
SCL(R)	SCL(R)	superior clamp	male organism|adult brain|right side of organism	SCL(R) on JRC2018Unisex
SIP(L)	SIP(L)	superior intermediate protocerebrum	male organism|adult brain|left side of organism	SIP(L) on JRC2018Unisex
SIP(R)	SIP(R)	superior intermediate protocerebrum	male organism|adult brain|right side of organism	SIP(R) on JRC2018Unisex
SLP(L)	SLP(L)	superior lateral protocerebrum	male organism|adult brain|left side of organism	SLP(L) on JRC2018Unisex
SLP(R)	SLP(R)	superior lateral protocerebrum	male organism|adult brain|right side of organism	SLP(R) on JRC2018Unisex
SMP(L)	SMP(L)	superior medial protocerebrum	male organism|adult brain|left side of organism	SMP(L) on JRC2018Unisex
SMP(R)	SMP(R)	superior medial protocerebrum	male organism|adult brain|right side of organism	SMP(R) on JRC2018Unisex
SPS(L)	SPS(L)	superior posterior slope	male organism|adult brain|left side of organism	SPS(L) on JRC2018Unisex
SPS(R)	SPS(R)	superior posterior slope	male organism|adult brain|right side of organism	SPS(R) on JRC2018Unisex
VES(L)	VES(L)	vest	male organism|adult brain|left side of organism	VES(L) on JRC2018Unisex
VES(R)	VES(R)	vest	male organism|adult brain|right side of organism	VES(R) on JRC2018Unisex
WED(L)	WED(L)	wedge	male organism|adult brain|left side of organism	WED(L) on JRC2018Unisex
WED(R)	WED(R)	wedge	male organism|adult brain|right side of organism	WED(R) on JRC2018Unisex
a'L(L)	a'L(L)	adult mushroom body alpha'-lobe	male organism|adult brain|left side of organism	a'L(L) on JRC2018Unisex
a'L(R)	a'L(R)	adult mushroom body alpha'-lobe	male organism|adult brain|right side of organism	a'L(R) on JRC2018Unisex
aL(L)	aL(L)	adult mushroom body alpha-lobe	male organism|adult brain|left side of organism	aL(L) on JRC2018Unisex
aL(R)	aL(R)	adult mushroom body alpha-lobe	male organism|adult brain|right side of organism	aL(R) on JRC2018Unisex
b'L(L)	b'L(L)	adult mushroom body beta'-lobe	male organism|adult brain|left side of organism	b'L(L) on JRC2018Unisex
b'L(R)	b'L(R)	adult mushroom body beta'-lobe	male organism|adult brain|right side of organism	b'L(R) on JRC2018Unisex
bL(L)	bL(L)	adult mushroom body beta-lobe	male organism|adult brain|left side of organism	bL(L) on JRC2018Unisex
bL(R)	bL(R)	adult mushroom body beta-lobe	male organism|adult brain|right side of organism	bL(R) on JRC2018Unisex
gL(L)	gL(L)	adult mushroom body gamma-lobe	male organism|adult brain|left side of organism	gL(L) on JRC2018Unisex
gL(R)	gL(R)	adult mushroom body gamma-lobe	male organism|adult brain|right side of organism	gL(R) on JRC2018Unisex
vnc-shell	vnc-shell	adult ventral nerve cord	male organism|adult brain	vnc-shell on JRC2018Unisex
