subject_id	object	relation	pub	comment	subject_name
VFB_fw044573	Ir94e neuron of large labellar taste bristle	is_a	FlyBase:FBrf0260565	FlyWire_783 250204	FlyWire:720575940614211295
VFB_fw043493	Ir94e neuron of large labellar taste bristle	is_a	FlyBase:FBrf0260565	FlyWire_783 250204	FlyWire:720575940624079544
VFB_fw044513	Ir94e neuron of large labellar taste bristle	is_a	FlyBase:FBrf0260565	FlyWire_783 250204	FlyWire:720575940612920386
VFB_fw047699	Ir94e neuron of large labellar taste bristle	is_a	FlyBase:FBrf0260565	FlyWire_783 250204	FlyWire:720575940627265265
VFB_fw044233	Ir94e neuron of large labellar taste bristle	is_a	FlyBase:FBrf0260565	FlyWire_783 250204	FlyWire:720575940619387814
VFB_fw045247	Ir94e neuron of large labellar taste bristle	is_a	FlyBase:FBrf0260565	FlyWire_783 250204	FlyWire:720575940615089369
VFB_fw045617	Ir94e neuron of large labellar taste bristle	is_a	FlyBase:FBrf0260565	FlyWire_783 250204	FlyWire:720575940629211607
VFB_fw044535	Ir94e neuron of large labellar taste bristle	is_a	FlyBase:FBrf0260565	FlyWire_783 250204	FlyWire:720575940624604560
VFB_fw044521	Ir94e neuron of large labellar taste bristle	is_a	FlyBase:FBrf0260565	FlyWire_783 250204	FlyWire:720575940628832256
VFB_fw043508	Ir94e neuron of large labellar taste bristle	is_a	FlyBase:FBrf0260565	FlyWire_783 250204	FlyWire:720575940614273292
VFB_fw043489	Ir94e neuron of large labellar taste bristle	is_a	FlyBase:FBrf0260565	FlyWire_783 250204	FlyWire:720575940615274425
VFB_fw044520	Ir94e neuron of large labellar taste bristle	is_a	FlyBase:FBrf0260565	FlyWire_783 250204	FlyWire:720575940626241636
VFB_fw043484	Ir94e neuron of large labellar taste bristle	is_a	FlyBase:FBrf0260565	FlyWire_783 250204	FlyWire:720575940621375231
VFB_fw043501	Ir94e neuron of large labellar taste bristle	is_a	FlyBase:FBrf0260565	FlyWire_783 250204	FlyWire:720575940626016017
VFB_fw044506	Ir94e neuron of large labellar taste bristle	is_a	FlyBase:FBrf0260565	FlyWire_783 250204	FlyWire:720575940638218173
VFB_fw045246	Ir94e neuron of large labellar taste bristle	is_a	FlyBase:FBrf0260565	FlyWire_783 250204	FlyWire:720575940628198503
VFB_fw043521	Ir94e neuron of large labellar taste bristle	is_a	FlyBase:FBrf0260565	FlyWire_783 250204	FlyWire:720575940610683315
VFB_fw045296	Ir94e neuron of large labellar taste bristle	is_a	FlyBase:FBrf0260565	FlyWire_783 250204	FlyWire:720575940631082124
VFB_fw036792	adult trident subesophageal neuron	is_a	FlyBase:FBrf0260565	FlyWire_783 250204	FlyWire:720575940624163303
