subject_external_id	subject_external_db	relation	object
266187342	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
266187383	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
266187477	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
266187480	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
266187532	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
266187559	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
266191395	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
266191407	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
266200011	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
266276935	neuprint_JRC_Hemibrain_1point1	has_soma_location	left side of organism
266527996	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
266528044	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
266528078	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
266528086	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
266536576	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
266847236	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
266873389	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
266873401	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
266873591	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
267214250	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
267223027	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
267223104	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
267227062	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
267304783	neuprint_JRC_Hemibrain_1point1	has_soma_location	left side of organism
267551639	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
267559575	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
267559665	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
267564140	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
267572587	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
267896359	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
267896360	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
267900632	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
268237554	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
268725517	neuprint_JRC_Hemibrain_1point1	has_soma_location	left side of organism
268731005	neuprint_JRC_Hemibrain_1point1	has_soma_location	left side of organism
270322941	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294161385	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294424196	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294428266	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294432626	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294432760	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294436967	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294437328	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294437347	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294441510	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294445804	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294445931	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294450004	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294450495	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294756576	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294760680	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294760699	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294760723	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294760837	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294773987	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294774719	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294774792	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294778999	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294782432	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294782488	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294783216	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294783423	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294786630	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294786785	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294787849	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294791509	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294791642	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294792184	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294792311	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294792344	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294795822	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294799968	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
294800293	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295063181	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295103172	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295106899	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295107514	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295111672	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295111734	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295115222	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295115429	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295115628	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295115794	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295116165	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295116205	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295119694	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295120601	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295120620	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295124412	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295127956	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295132077	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295132487	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295132551	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295132845	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295133015	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295133452	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295133743	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295133778	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295133927	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295136450	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295136668	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295136778	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295136965	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295137019	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295137392	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295137515	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295141570	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295141618	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295434457	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295439322	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295443136	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295443724	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295456248	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295456869	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295461302	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295461534	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295461570	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295461707	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295461871	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295466276	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295470623	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295470816	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
295473400	neuprint_JRC_Hemibrain_1point1	has_soma_location	right side of organism
