filename	is_a	part_of	dbxrefs	label
35329	neuron	adult nervous system	male-cns_v0_9:35329	T1_R (MaleCNS:35329)
64818	neuron	adult nervous system	male-cns_v0_9:64818	T1_R (MaleCNS:64818)
65344	neuron	adult nervous system	male-cns_v0_9:65344	T1_R (MaleCNS:65344)
49412	neuron	adult nervous system	male-cns_v0_9:49412	T1_L (MaleCNS:49412)
122536	neuron	adult nervous system	male-cns_v0_9:122536	T1_L (MaleCNS:122536)
175433	neuron	adult nervous system	male-cns_v0_9:175433	T1_L (MaleCNS:175433)
50874	neuron	adult nervous system	male-cns_v0_9:50874	T1_L (MaleCNS:50874)
164830	neuron	adult nervous system	male-cns_v0_9:164830	T1_L (MaleCNS:164830)
43529	neuron	adult nervous system	male-cns_v0_9:43529	T1_R (MaleCNS:43529)
131276	neuron	adult nervous system	male-cns_v0_9:131276	T1_L (MaleCNS:131276)
117718	neuron	adult nervous system	male-cns_v0_9:117718	T1_L (MaleCNS:117718)
43502	neuron	adult nervous system	male-cns_v0_9:43502	T1_R (MaleCNS:43502)
46377	neuron	adult nervous system	male-cns_v0_9:46377	T1_R (MaleCNS:46377)
31479	neuron	adult nervous system	male-cns_v0_9:31479	T1_L (MaleCNS:31479)
44985	neuron	adult nervous system	male-cns_v0_9:44985	T1_L (MaleCNS:44985)
59996	neuron	adult nervous system	male-cns_v0_9:59996	T1_R (MaleCNS:59996)
41507	neuron	adult nervous system	male-cns_v0_9:41507	T1_R (MaleCNS:41507)
48543	neuron	adult nervous system	male-cns_v0_9:48543	T1_R (MaleCNS:48543)
116794	neuron	adult nervous system	male-cns_v0_9:116794	T1_R (MaleCNS:116794)
115884	neuron	adult nervous system	male-cns_v0_9:115884	T1_L (MaleCNS:115884)
37816	neuron	adult nervous system	male-cns_v0_9:37816	T1_R (MaleCNS:37816)
40384	neuron	adult nervous system	male-cns_v0_9:40384	T1_R (MaleCNS:40384)
47702	neuron	adult nervous system	male-cns_v0_9:47702	T1_R (MaleCNS:47702)
48875	neuron	adult nervous system	male-cns_v0_9:48875	T1_R (MaleCNS:48875)
49602	neuron	adult nervous system	male-cns_v0_9:49602	T1_L (MaleCNS:49602)
59395	neuron	adult nervous system	male-cns_v0_9:59395	T1_R (MaleCNS:59395)
29455	neuron	adult nervous system	male-cns_v0_9:29455	T1_L (MaleCNS:29455)
54690	neuron	adult nervous system	male-cns_v0_9:54690	T1_R (MaleCNS:54690)
38125	neuron	adult nervous system	male-cns_v0_9:38125	T1_R (MaleCNS:38125)
36803	neuron	adult nervous system	male-cns_v0_9:36803	T1_R (MaleCNS:36803)
43219	neuron	adult nervous system	male-cns_v0_9:43219	T1_R (MaleCNS:43219)
44017	neuron	adult nervous system	male-cns_v0_9:44017	T1_R (MaleCNS:44017)
40605	neuron	adult nervous system	male-cns_v0_9:40605	T1_R (MaleCNS:40605)
36668	neuron	adult nervous system	male-cns_v0_9:36668	T1_R (MaleCNS:36668)
73682	neuron	adult nervous system	male-cns_v0_9:73682	T1_L (MaleCNS:73682)
42354	neuron	adult nervous system	male-cns_v0_9:42354	T1_R (MaleCNS:42354)
132625	neuron	adult nervous system	male-cns_v0_9:132625	T1_L (MaleCNS:132625)
70339	neuron	adult nervous system	male-cns_v0_9:70339	T1_L (MaleCNS:70339)
110120	neuron	adult nervous system	male-cns_v0_9:110120	T1_L (MaleCNS:110120)
61064	neuron	adult nervous system	male-cns_v0_9:61064	T1_R (MaleCNS:61064)
39759	neuron	adult nervous system	male-cns_v0_9:39759	T1_R (MaleCNS:39759)
45959	neuron	adult nervous system	male-cns_v0_9:45959	T1_L (MaleCNS:45959)
39255	neuron	adult nervous system	male-cns_v0_9:39255	T1_L (MaleCNS:39255)
103755	neuron	adult nervous system	male-cns_v0_9:103755	T1_L (MaleCNS:103755)
41777	neuron	adult nervous system	male-cns_v0_9:41777	T1_R (MaleCNS:41777)
96321	neuron	adult nervous system	male-cns_v0_9:96321	T1_L (MaleCNS:96321)
43871	neuron	adult nervous system	male-cns_v0_9:43871	T1_L (MaleCNS:43871)
76671	neuron	adult nervous system	male-cns_v0_9:76671	T1_R (MaleCNS:76671)
40152	neuron	adult nervous system	male-cns_v0_9:40152	T1_L (MaleCNS:40152)
26603	neuron	adult nervous system	male-cns_v0_9:26603	T1_L (MaleCNS:26603)
42940	neuron	adult nervous system	male-cns_v0_9:42940	T1_R (MaleCNS:42940)
68216	neuron	adult nervous system	male-cns_v0_9:68216	T1_L (MaleCNS:68216)
42743	neuron	adult nervous system	male-cns_v0_9:42743	T1_R (MaleCNS:42743)
38076	neuron	adult nervous system	male-cns_v0_9:38076	T1_R (MaleCNS:38076)
44108	neuron	adult nervous system	male-cns_v0_9:44108	T1_R (MaleCNS:44108)
