filename	is_a	part_of	label	comment	dbxrefs
96318	adult neuron	male organism	Mi13_R (JRC_OpticLobe:96318)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:96318
87384	adult neuron	male organism	Mi13_R (JRC_OpticLobe:87384)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:87384
86544	adult neuron	male organism	Mi13_R (JRC_OpticLobe:86544)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:86544
110460	adult neuron	male organism	Mi13_R (JRC_OpticLobe:110460)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:110460
94440	adult neuron	male organism	Mi13_R (JRC_OpticLobe:94440)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:94440
89358	adult neuron	male organism	Mi13_R (JRC_OpticLobe:89358)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:89358
72443	adult neuron	male organism	Mi13_R (JRC_OpticLobe:72443)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:72443
113222	adult neuron	male organism	Mi13_R (JRC_OpticLobe:113222)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:113222
87058	adult neuron	male organism	Mi13_R (JRC_OpticLobe:87058)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:87058
103746	adult neuron	male organism	Mi13_R (JRC_OpticLobe:103746)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:103746
103183	adult neuron	male organism	Mi13_R (JRC_OpticLobe:103183)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:103183
79887	adult neuron	male organism	Mi13_R (JRC_OpticLobe:79887)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:79887
137263	adult neuron	male organism	Mi13_R (JRC_OpticLobe:137263)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:137263
98454	adult neuron	male organism	Mi13_R (JRC_OpticLobe:98454)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:98454
100343	adult neuron	male organism	Mi13_R (JRC_OpticLobe:100343)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:100343
86489	adult neuron	male organism	Mi13_R (JRC_OpticLobe:86489)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:86489
101059	adult neuron	male organism	Mi13_R (JRC_OpticLobe:101059)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:101059
94961	adult neuron	male organism	Mi13_R (JRC_OpticLobe:94961)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:94961
102838	adult neuron	male organism	Mi13_R (JRC_OpticLobe:102838)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:102838
76447	adult neuron	male organism	Mi13_R (JRC_OpticLobe:76447)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:76447
87748	adult neuron	male organism	Mi13_R (JRC_OpticLobe:87748)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:87748
79612	adult neuron	male organism	Mi13_R (JRC_OpticLobe:79612)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:79612
84881	adult neuron	male organism	Mi13_R (JRC_OpticLobe:84881)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:84881
99263	adult neuron	male organism	Mi13_R (JRC_OpticLobe:99263)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:99263
73730	adult neuron	male organism	Mi13_R (JRC_OpticLobe:73730)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:73730
116078	adult neuron	male organism	Mi13_R (JRC_OpticLobe:116078)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:116078
131024	adult neuron	male organism	Mi13_R (JRC_OpticLobe:131024)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:131024
103088	adult neuron	male organism	Mi13_R (JRC_OpticLobe:103088)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:103088
102501	adult neuron	male organism	Mi13_R (JRC_OpticLobe:102501)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:102501
96605	adult neuron	male organism	Mi13_R (JRC_OpticLobe:96605)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:96605
84524	adult neuron	male organism	Mi13_R (JRC_OpticLobe:84524)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:84524
93201	adult neuron	male organism	Mi13_R (JRC_OpticLobe:93201)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:93201
57263	adult neuron	male organism	Mi13_R (JRC_OpticLobe:57263)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:57263
93880	adult neuron	male organism	Mi13_R (JRC_OpticLobe:93880)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:93880
92737	adult neuron	male organism	Mi13_R (JRC_OpticLobe:92737)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:92737
89829	adult neuron	male organism	Mi13_R (JRC_OpticLobe:89829)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:89829
92371	adult neuron	male organism	Mi13_R (JRC_OpticLobe:92371)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:92371
135677	adult neuron	male organism	Mi13_R (JRC_OpticLobe:135677)	status-Traced, status label-Roughly traced, Optic Lobe classification: type-Mi13	neuprint_JRC_OpticLobe_v1_0:135677
