filename	is_a	part_of	dbxrefs	label
421193662	neuron	adult nervous system	male-cns:v0.9:421193662	LB2b_R (MaleCNS:421193662)
136276	neuron	adult nervous system	male-cns:v0.9:136276	LB2c_R (MaleCNS:136276)
223836	neuron	adult nervous system	male-cns:v0.9:223836	LB2c_L (MaleCNS:223836)
253648	neuron	adult nervous system	male-cns:v0.9:253648	LB2c_R (MaleCNS:253648)
517916	neuron	adult nervous system	male-cns:v0.9:517916	LB2c_L (MaleCNS:517916)
456631823	neuron	adult nervous system	male-cns:v0.9:456631823	LB2c_R (MaleCNS:456631823)
821826349	neuron	adult nervous system	male-cns:v0.9:821826349	LB2c_L (MaleCNS:821826349)
285495498	neuron	adult nervous system	male-cns:v0.9:285495498	LB2d_L (MaleCNS:285495498)
918869	neuron	adult nervous system	male-cns:v0.9:918869	LB2d_L (MaleCNS:918869)
850920533	neuron	adult nervous system	male-cns:v0.9:850920533	LB2d_R (MaleCNS:850920533)
338530985	neuron	adult nervous system	male-cns:v0.9:338530985	LB2d_R (MaleCNS:338530985)
824721257	neuron	adult nervous system	male-cns:v0.9:824721257	LB2d_L (MaleCNS:824721257)
1026733570	neuron	adult nervous system	male-cns:v0.9:1026733570	LB3_L (MaleCNS:1026733570)
553738738	neuron	adult nervous system	male-cns:v0.9:553738738	LB3a_L (MaleCNS:553738738)
136183	neuron	adult nervous system	male-cns:v0.9:136183	LB3a_L (MaleCNS:136183)
140619	neuron	adult nervous system	male-cns:v0.9:140619	LB3a_R (MaleCNS:140619)
141663	neuron	adult nervous system	male-cns:v0.9:141663	LB3a_R (MaleCNS:141663)
160435	neuron	adult nervous system	male-cns:v0.9:160435	LB3a_L (MaleCNS:160435)
166190	neuron	adult nervous system	male-cns:v0.9:166190	LB3a_R (MaleCNS:166190)
167663	neuron	adult nervous system	male-cns:v0.9:167663	LB3a_L (MaleCNS:167663)
178913	neuron	adult nervous system	male-cns:v0.9:178913	LB3a_L (MaleCNS:178913)
183061	neuron	adult nervous system	male-cns:v0.9:183061	LB3a_R (MaleCNS:183061)
187776	neuron	adult nervous system	male-cns:v0.9:187776	LB3a_L (MaleCNS:187776)
199308	neuron	adult nervous system	male-cns:v0.9:199308	LB3a_R (MaleCNS:199308)
203234	neuron	adult nervous system	male-cns:v0.9:203234	LB3a_L (MaleCNS:203234)
374701	neuron	adult nervous system	male-cns:v0.9:374701	LB3a_R (MaleCNS:374701)
518542	neuron	adult nervous system	male-cns:v0.9:518542	LB3a_R (MaleCNS:518542)
456838775	neuron	adult nervous system	male-cns:v0.9:456838775	LB3a_L (MaleCNS:456838775)
388541892	neuron	adult nervous system	male-cns:v0.9:388541892	LB3a_R (MaleCNS:388541892)
786482749	neuron	adult nervous system	male-cns:v0.9:786482749	LB3a_L (MaleCNS:786482749)
71254	neuron	adult nervous system	male-cns:v0.9:71254	LB3b_L (MaleCNS:71254)
159772	neuron	adult nervous system	male-cns:v0.9:159772	LB3b_L (MaleCNS:159772)
163597	neuron	adult nervous system	male-cns:v0.9:163597	LB3b_R (MaleCNS:163597)
183084	neuron	adult nervous system	male-cns:v0.9:183084	LB3b_R (MaleCNS:183084)
187492	neuron	adult nervous system	male-cns:v0.9:187492	LB3b_R (MaleCNS:187492)
209155	neuron	adult nervous system	male-cns:v0.9:209155	LB3b_R (MaleCNS:209155)
272263	neuron	adult nervous system	male-cns:v0.9:272263	LB3b_L (MaleCNS:272263)
557646	neuron	adult nervous system	male-cns:v0.9:557646	LB3b_R (MaleCNS:557646)
174444965	neuron	adult nervous system	male-cns:v0.9:174444965	LB3b_L (MaleCNS:174444965)
213650853	neuron	adult nervous system	male-cns:v0.9:213650853	LB3b_R (MaleCNS:213650853)
766547228	neuron	adult nervous system	male-cns:v0.9:766547228	LB3b_L (MaleCNS:766547228)
349137284	neuron	adult nervous system	male-cns:v0.9:349137284	LB3c_L (MaleCNS:349137284)
475202322	neuron	adult nervous system	male-cns:v0.9:475202322	LB3c_L (MaleCNS:475202322)
72059	neuron	adult nervous system	male-cns:v0.9:72059	LB3c_R (MaleCNS:72059)
92440	neuron	adult nervous system	male-cns:v0.9:92440	LB3c_R (MaleCNS:92440)
120303	neuron	adult nervous system	male-cns:v0.9:120303	LB3c_R (MaleCNS:120303)
142827	neuron	adult nervous system	male-cns:v0.9:142827	LB3c_R (MaleCNS:142827)
261450	neuron	adult nervous system	male-cns:v0.9:261450	LB3c_L (MaleCNS:261450)
262567	neuron	adult nervous system	male-cns:v0.9:262567	LB3c_L (MaleCNS:262567)
512551	neuron	adult nervous system	male-cns:v0.9:512551	LB3c_L (MaleCNS:512551)
531237	neuron	adult nervous system	male-cns:v0.9:531237	LB3c_L (MaleCNS:531237)
933317	neuron	adult nervous system	male-cns:v0.9:933317	LB3c_L (MaleCNS:933317)
942168	neuron	adult nervous system	male-cns:v0.9:942168	LB3c_R (MaleCNS:942168)
957530	neuron	adult nervous system	male-cns:v0.9:957530	LB3c_R (MaleCNS:957530)
158893964	neuron	adult nervous system	male-cns:v0.9:158893964	LB3c_L (MaleCNS:158893964)
78240	neuron	adult nervous system	male-cns:v0.9:78240	LB3c_L (MaleCNS:78240)
85806	neuron	adult nervous system	male-cns:v0.9:85806	LB3c_L (MaleCNS:85806)
101087	neuron	adult nervous system	male-cns:v0.9:101087	LB3c_R (MaleCNS:101087)
140015	neuron	adult nervous system	male-cns:v0.9:140015	LB3c_R (MaleCNS:140015)
180314	neuron	adult nervous system	male-cns:v0.9:180314	LB3c_L (MaleCNS:180314)
190769	neuron	adult nervous system	male-cns:v0.9:190769	LB3c_L (MaleCNS:190769)
202888	neuron	adult nervous system	male-cns:v0.9:202888	LB3c_R (MaleCNS:202888)
215556	neuron	adult nervous system	male-cns:v0.9:215556	LB3c_R (MaleCNS:215556)
516217	neuron	adult nervous system	male-cns:v0.9:516217	LB3c_R (MaleCNS:516217)
129171	neuron	adult nervous system	male-cns:v0.9:129171	LB3d_R (MaleCNS:129171)
422510463	neuron	adult nervous system	male-cns:v0.9:422510463	LB3d_R (MaleCNS:422510463)
33339	neuron	adult nervous system	male-cns:v0.9:33339	LB3d_R (MaleCNS:33339)
93290	neuron	adult nervous system	male-cns:v0.9:93290	LB3d_L (MaleCNS:93290)
125405	neuron	adult nervous system	male-cns:v0.9:125405	LB3d_R (MaleCNS:125405)
130693	neuron	adult nervous system	male-cns:v0.9:130693	LB3d_L (MaleCNS:130693)
