filename	is_a	part_of	dbxrefs	label
155959	neuron	adult nervous system	male-cns:v0.9:155959	Mi13_L (MaleCNS:155959)
142315	neuron	adult nervous system	male-cns:v0.9:142315	Mi13_R (MaleCNS:142315)
543880	neuron	adult nervous system	male-cns:v0.9:543880	Mi13_L (MaleCNS:543880)
547542	neuron	adult nervous system	male-cns:v0.9:547542	Mi13_L (MaleCNS:547542)
95619	neuron	adult nervous system	male-cns:v0.9:95619	Mi13_R (MaleCNS:95619)
87032	neuron	adult nervous system	male-cns:v0.9:87032	Mi13_R (MaleCNS:87032)
141891	neuron	adult nervous system	male-cns:v0.9:141891	Mi13_L (MaleCNS:141891)
63446	neuron	adult nervous system	male-cns:v0.9:63446	Mi13_R (MaleCNS:63446)
81331	neuron	adult nervous system	male-cns:v0.9:81331	Mi13_R (MaleCNS:81331)
98903	neuron	adult nervous system	male-cns:v0.9:98903	Mi13_R (MaleCNS:98903)
143031	neuron	adult nervous system	male-cns:v0.9:143031	Mi13_L (MaleCNS:143031)
79256	neuron	adult nervous system	male-cns:v0.9:79256	Mi13_R (MaleCNS:79256)
128960	neuron	adult nervous system	male-cns:v0.9:128960	Mi13_R (MaleCNS:128960)
162995	neuron	adult nervous system	male-cns:v0.9:162995	Mi13_L (MaleCNS:162995)
88586	neuron	adult nervous system	male-cns:v0.9:88586	Mi13_R (MaleCNS:88586)
145686	neuron	adult nervous system	male-cns:v0.9:145686	Mi13_L (MaleCNS:145686)
105592	neuron	adult nervous system	male-cns:v0.9:105592	Mi13_L (MaleCNS:105592)
134657	neuron	adult nervous system	male-cns:v0.9:134657	Mi13_L (MaleCNS:134657)
135086	neuron	adult nervous system	male-cns:v0.9:135086	Mi13_L (MaleCNS:135086)
133350	neuron	adult nervous system	male-cns:v0.9:133350	Mi13_L (MaleCNS:133350)
78518	neuron	adult nervous system	male-cns:v0.9:78518	Mi13_R (MaleCNS:78518)
137658	neuron	adult nervous system	male-cns:v0.9:137658	Mi13_L (MaleCNS:137658)
163713	neuron	adult nervous system	male-cns:v0.9:163713	Mi13_L (MaleCNS:163713)
