filename	is_a	part_of	dbxrefs	label
140182	neuron	adult nervous system	male-cns:v0.9:140182	KCg-m_R (MaleCNS:140182)
44940	neuron	adult nervous system	male-cns:v0.9:44940	KCg-m_R (MaleCNS:44940)
45563	neuron	adult nervous system	male-cns:v0.9:45563	KCg-m_R (MaleCNS:45563)
49987	neuron	adult nervous system	male-cns:v0.9:49987	KCg-m_R (MaleCNS:49987)
51883	neuron	adult nervous system	male-cns:v0.9:51883	KCg-m_R (MaleCNS:51883)
53144	neuron	adult nervous system	male-cns:v0.9:53144	KCg-m_R (MaleCNS:53144)
53655	neuron	adult nervous system	male-cns:v0.9:53655	KCg-m_R (MaleCNS:53655)
53688	neuron	adult nervous system	male-cns:v0.9:53688	KCg-m_R (MaleCNS:53688)
57179	neuron	adult nervous system	male-cns:v0.9:57179	KCg-m_R (MaleCNS:57179)
57314	neuron	adult nervous system	male-cns:v0.9:57314	KCg-m_R (MaleCNS:57314)
57355	neuron	adult nervous system	male-cns:v0.9:57355	KCg-m_R (MaleCNS:57355)
66583	neuron	adult nervous system	male-cns:v0.9:66583	KCg-m_R (MaleCNS:66583)
67337	neuron	adult nervous system	male-cns:v0.9:67337	KCg-m_R (MaleCNS:67337)
68635	neuron	adult nervous system	male-cns:v0.9:68635	KCg-m_R (MaleCNS:68635)
69716	neuron	adult nervous system	male-cns:v0.9:69716	KCg-m_R (MaleCNS:69716)
72387	neuron	adult nervous system	male-cns:v0.9:72387	KCg-m_R (MaleCNS:72387)
72939	neuron	adult nervous system	male-cns:v0.9:72939	KCg-m_R (MaleCNS:72939)
77479	neuron	adult nervous system	male-cns:v0.9:77479	KCg-m_R (MaleCNS:77479)
83921	neuron	adult nervous system	male-cns:v0.9:83921	KCg-m_R (MaleCNS:83921)
87155	neuron	adult nervous system	male-cns:v0.9:87155	KCg-m_R (MaleCNS:87155)
109873	neuron	adult nervous system	male-cns:v0.9:109873	KCg-m_R (MaleCNS:109873)
146122	neuron	adult nervous system	male-cns:v0.9:146122	KCg-m_R (MaleCNS:146122)
165036	neuron	adult nervous system	male-cns:v0.9:165036	KCg-m_R (MaleCNS:165036)
533201	neuron	adult nervous system	male-cns:v0.9:533201	KCg-m_R (MaleCNS:533201)
45950	neuron	adult nervous system	male-cns:v0.9:45950	KCg-m_L (MaleCNS:45950)
50411	neuron	adult nervous system	male-cns:v0.9:50411	KCg-m_L (MaleCNS:50411)
52856	neuron	adult nervous system	male-cns:v0.9:52856	KCg-m_L (MaleCNS:52856)
67356	neuron	adult nervous system	male-cns:v0.9:67356	KCg-m_L (MaleCNS:67356)
80094	neuron	adult nervous system	male-cns:v0.9:80094	KCg-m_L (MaleCNS:80094)
80708	neuron	adult nervous system	male-cns:v0.9:80708	KCg-m_L (MaleCNS:80708)
82904	neuron	adult nervous system	male-cns:v0.9:82904	KCg-m_L (MaleCNS:82904)
93065	neuron	adult nervous system	male-cns:v0.9:93065	KCg-m_L (MaleCNS:93065)
93216	neuron	adult nervous system	male-cns:v0.9:93216	KCg-m_L (MaleCNS:93216)
93803	neuron	adult nervous system	male-cns:v0.9:93803	KCg-m_L (MaleCNS:93803)
109275	neuron	adult nervous system	male-cns:v0.9:109275	KCg-m_L (MaleCNS:109275)
118000	neuron	adult nervous system	male-cns:v0.9:118000	KCg-m_L (MaleCNS:118000)
122285	neuron	adult nervous system	male-cns:v0.9:122285	KCg-m_L (MaleCNS:122285)
130972	neuron	adult nervous system	male-cns:v0.9:130972	KCg-m_L (MaleCNS:130972)
