filename	label	AD	DBD	part_of	Template
20x-Brain-2237375082517233701	JRC_SS04778_Brain_2018_20160202_32_E3	P{R47G08-p65.AD}	P{VT012791-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-VNC-2237375082517233701	JRC_SS04778_VNC_2018_20160202_32_E3	P{R47G08-p65.AD}	P{VT012791-GAL4.DBD}	female organism|adult ventral nervous system	JRC2018UnisexVNC_c
20x-Brain-2237378323623706722	JRC_SS00081_Brain_2018_20160122_43_C5	P{R16D01-p65.AD}	P{R21H11-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2237378331437695074	JRC_SS00190_Brain_2018_20160122_43_H2	P{R38G07-p65.AD}	P{R30E10-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-VNC-2237378331437695074	JRC_SS00190_VNC_2018_20160122_43_H2	P{R38G07-p65.AD}	P{R30E10-GAL4.DBD}	female organism|adult ventral nervous system	JRC2018UnisexVNC_c
20x-Brain-2244284421903482978	JRC_SS25983_Brain_2018_20160212_44_C4	P{R47G08-p65.AD}	P{R26F04-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-VNC-2244284421903482978	JRC_SS25983_VNC_2018_20160212_44_C4	P{R47G08-p65.AD}	P{R26F04-GAL4.DBD}	female organism|adult ventral nervous system	JRC2018UnisexVNC_c
20x-Brain-2482724465448845410	JRC_SS47384_Brain_2018_20171206_36_D1	P{VT048946-p65.AD}	P{VT008882-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-VNC-2482724465448845410	JRC_SS47384_VNC_2018_20171206_36_D1	P{VT048946-p65.AD}	P{VT008882-GAL4.DBD}	female organism|adult ventral nervous system	JRC2018UnisexVNC_c
20x-Brain-2482724465771806818	JRC_SS47392_Brain_2018_20171206_36_E3	P{VT003229-p65.AD}	P{VT008882-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-VNC-2482724465771806818	JRC_SS47392_VNC_2018_20171206_36_E3	P{VT003229-p65.AD}	P{VT008882-GAL4.DBD}	female organism|adult ventral nervous system	JRC2018UnisexVNC_c
20x-Brain-2483027150324629602	JRC_SS47449_Brain_2018_20171213_31_E2	P{R38D03-p65.AD}	P{VT024603-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-VNC-2483027150324629602	JRC_SS47449_VNC_2018_20171213_31_E2	P{R38D03-p65.AD}	P{VT024603-GAL4.DBD}	female organism|adult ventral nervous system	JRC2018UnisexVNC_c
20x-Brain-2483027150765031522	JRC_SS47436_Brain_2018_20171213_31_F4	P{R12G04-p65.AD}	P{VT046049-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-VNC-2483027150765031522	JRC_SS47436_VNC_2018_20171213_31_F4	P{R12G04-p65.AD}	P{VT046049-GAL4.DBD}	female organism|adult ventral nervous system	JRC2018UnisexVNC_c
20x-Brain-2483057097999122530	JRC_SS47398_Brain_2018_20171213_32_E1	P{VT020742-p65.AD}	P{VT017270-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-VNC-2483057097999122530	JRC_SS47398_VNC_2018_20171213_32_E1	P{VT020742-p65.AD}	P{VT017270-GAL4.DBD}	female organism|adult ventral nervous system	JRC2018UnisexVNC_c
20x-Brain-2483057098376609890	JRC_SS47467_Brain_2018_20171213_32_F2	P{R48H02-p65.AD}	P{VT038448-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-VNC-2483057098376609890	JRC_SS47467_VNC_2018_20171213_32_F2	P{R48H02-p65.AD}	P{VT038448-GAL4.DBD}	female organism|adult ventral nervous system	JRC2018UnisexVNC_c
20x-Brain-2488158089967042658	JRC_SS47356_Brain_2018_20171206_35_E3	P{VT038448-p65.AD}	P{VT045508-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-VNC-2488158089967042658	JRC_SS47356_VNC_2018_20171206_35_E3	P{VT038448-p65.AD}	P{VT045508-GAL4.DBD}	female organism|adult ventral nervous system	JRC2018UnisexVNC_c
20x-Brain-2493957424612900962	JRC_SS46525_Brain_2018_20180109_31_C4	P{VT000605-p65.AD}	P{VT006199-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-VNC-2493957424612900962	JRC_SS46525_VNC_2018_20180109_31_C4	P{VT000605-p65.AD}	P{VT006199-GAL4.DBD}	female organism|adult ventral nervous system	JRC2018UnisexVNC_c
20x-Brain-2493957990516785250	JRC_SS47406_Brain_2018_20180109_32_C3	P{VT006486-p65.AD}	P{VT024603-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-VNC-2493957990516785250	JRC_SS47406_VNC_2018_20180109_32_C3	P{VT006486-p65.AD}	P{VT024603-GAL4.DBD}	female organism|adult ventral nervous system	JRC2018UnisexVNC_c
20x-Brain-2493957991368228962	JRC_SS47432_Brain_2018_20180109_32_F1	P{VT046049-p65.AD}	P{VT024603-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-VNC-2493957991368228962	JRC_SS47432_VNC_2018_20180109_32_F1	P{VT046049-p65.AD}	P{VT024603-GAL4.DBD}	female organism|adult ventral nervous system	JRC2018UnisexVNC_c
20x-Brain-2508837413095211106	JRC_SS52628_Brain_2018_20180209_42_B3	P{R22G07-p65.AD}	P{VT063307-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-VNC-2508837413095211106	JRC_SS52628_VNC_2018_20180209_42_B3	P{R22G07-p65.AD}	P{VT063307-GAL4.DBD}	female organism|adult ventral nervous system	JRC2018UnisexVNC_c
20x-Brain-2509158785600192610	JRC_SS02195_Brain_2018_20180222_34_A1	P{VT000355-p65.AD}	P{R47A08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-VNC-2509158785600192610	JRC_SS02195_VNC_2018_20180222_34_A1	P{VT000355-p65.AD}	P{R47A08-GAL4.DBD}	female organism|adult ventral nervous system	JRC2018UnisexVNC_c
20x-Brain-2509158785793130594	JRC_SS02195_Brain_2018_20180222_34_A4	P{VT000355-p65.AD}	P{R47A08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-VNC-2509158785793130594	JRC_SS02195_VNC_2018_20180222_34_A4	P{VT000355-p65.AD}	P{R47A08-GAL4.DBD}	female organism|adult ventral nervous system	JRC2018UnisexVNC_c
20x-Brain-2509158786011234402	JRC_SS02215_Brain_2018_20180222_34_B2	P{VT001979-p65.AD}	P{R13D09-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-VNC-2509158786011234402	JRC_SS02215_VNC_2018_20180222_34_B2	P{VT001979-p65.AD}	P{R13D09-GAL4.DBD}	female organism|adult ventral nervous system	JRC2018UnisexVNC_c
20x-Brain-2509158786355167330	JRC_SS02303_Brain_2018_20180222_34_C2	P{R65B12-p65.AD}	P{R15E12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-VNC-2509158786355167330	JRC_SS02303_VNC_2018_20180222_34_C2	P{R65B12-p65.AD}	P{R15E12-GAL4.DBD}	female organism|adult ventral nervous system	JRC2018UnisexVNC_c
20x-Brain-2509158787206611042	JRC_SS02718_Brain_2018_20180222_34_F4	P{VT005529-p65.AD}	P{R83D12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-VNC-2509158787206611042	JRC_SS02718_VNC_2018_20180222_34_F4	P{VT005529-p65.AD}	P{R83D12-GAL4.DBD}	female organism|adult ventral nervous system	JRC2018UnisexVNC_c
20x-Brain-2509444913368662114	JRC_SS02254_Brain_2018_20180222_33_A3	P{R15E01-p65.AD}	P{VT016114-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-VNC-2509444913368662114	JRC_SS02254_VNC_2018_20180222_33_A3	P{R15E01-p65.AD}	P{VT016114-GAL4.DBD}	female organism|adult ventral nervous system	JRC2018UnisexVNC_c
20x-Brain-2509444913578377314	JRC_SS02191_Brain_2018_20180222_33_B1	P{VT000355-p65.AD}	P{VT040589-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
