filename	label	AD	DBD	part_of
Janelia-1814592531820707938-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_886_882_2624158986663886882_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG	JRC_MB042B_Brain_2020__1	P{R58E02-p65.AD}	P{R22E04-GAL4.DBD}	female organism|adult brain
Janelia-1841433275831156834-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_789_608_2625324102679789608_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG	JRC_MB310C_Brain_2020__1	PBac{R52G04-p65.AD}	P{R17C11-GAL4.DBD}	female organism|adult brain
Janelia-1841433275831156834-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_861_860_2624207253430861860_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG	JRC_MB310C_Brain_2020__2	PBac{R52G04-p65.AD}	P{R17C11-GAL4.DBD}	female organism|adult brain
Janelia-1841433281300529250-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_106_918_2624892093994106918_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_MB296B_Brain_2020__1	P{R15B01-p65.AD}	P{R26F01-GAL4.DBD}	female organism|adult brain
Janelia-1841433281300529250-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_490_470_2624944195273490470_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG	JRC_MB296B_Brain_2020__2	P{R15B01-p65.AD}	P{R26F01-GAL4.DBD}	female organism|adult brain
Janelia-1841433281535410274-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_981_986_1898149870082981986_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_MB296B_Brain_2020__3	P{R15B01-p65.AD}	P{R26F01-GAL4.DBD}	female organism|adult brain
Janelia-1841433281535410274-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_446_498_2624118566592446498_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG	JRC_MB296B_Brain_2020__4	P{R15B01-p65.AD}	P{R26F01-GAL4.DBD}	female organism|adult brain
Janelia-1841433281900314722-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_378_854_2624890805017378854_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_MB296B_Brain_2020__5	P{R15B01-p65.AD}	P{R26F01-GAL4.DBD}	female organism|adult brain
Janelia-1841433281900314722-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_387_750_2624942395686387750_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG	JRC_MB296B_Brain_2020__6	P{R15B01-p65.AD}	P{R26F01-GAL4.DBD}	female organism|adult brain
Janelia-1841433282508488802-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_273_634_1898149893726273634_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_MB058B_Brain_2020__1	P{R82C10-p65.AD}	P{R50B03-GAL4.DBD}	female organism|adult brain
Janelia-1841433282902753378-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_416_738_2624153864009416738_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_MB058B_Brain_2020__2	P{R82C10-p65.AD}	P{R50B03-GAL4.DBD}	female organism|adult brain
Janelia-1841433283431235682-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_555_874_1898149906036555874_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_MB308B_Brain_2020__1	P{ple-p65.AD}	P{R26F01-GAL4.DBD}	female organism|adult brain
Janelia-1841433283431235682-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_697_762_2624118566554697762_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG	JRC_MB308B_Brain_2020__2	P{ple-p65.AD}	P{R26F01-GAL4.DBD}	female organism|adult brain
Janelia-1841433298702696546-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_212_386_1900444665971212386_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_MB313B_Brain_2020__1	P{R58E02-p65.AD}	P{R17C11-GAL4.DBD}	female organism|adult brain
Janelia-1841433298702696546-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_310_498_2624110179557310498_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG	JRC_MB313B_Brain_2020__2	P{R58E02-p65.AD}	P{R17C11-GAL4.DBD}	female organism|adult brain
Janelia-1841433301160558690-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_380_130_1900447327198380130_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_MB315C_Brain_2020__1	PBac{R58E02-p65.AD}	P{R48H11-GAL4.DBD}	female organism|adult brain
Janelia-1841433301160558690-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_431_524_2624110234842431524_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG	JRC_MB315C_Brain_2020__2	PBac{R58E02-p65.AD}	P{R48H11-GAL4.DBD}	female organism|adult brain
Janelia-1841433301361885282-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_365_925_2334977217043365925_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_MB315C_Brain_2020__3	PBac{R58E02-p65.AD}	P{R48H11-GAL4.DBD}	female organism|adult brain
Janelia-1841433301361885282-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_232_164_2624111938925232164_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG	JRC_MB315C_Brain_2020__4	PBac{R58E02-p65.AD}	P{R48H11-GAL4.DBD}	female organism|adult brain
Janelia-1841433301584183394-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_147_170_1900444665430147170_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_MB315C_Brain_2020__5	PBac{R58E02-p65.AD}	P{R48H11-GAL4.DBD}	female organism|adult brain
Janelia-1841433301584183394-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_706_212_2624110234934706212_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG	JRC_MB315C_Brain_2020__6	PBac{R58E02-p65.AD}	P{R48H11-GAL4.DBD}	female organism|adult brain
Janelia-1841433301710012514-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_725_794_1900445284429725794_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_MB315C_Brain_2020__7	PBac{R58E02-p65.AD}	P{R48H11-GAL4.DBD}	female organism|adult brain
Janelia-1841433301710012514-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_203_044_2624111139260203044_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG	JRC_MB315C_Brain_2020__8	PBac{R58E02-p65.AD}	P{R48H11-GAL4.DBD}	female organism|adult brain
Janelia-1841433301848424546-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_260_962_1900444977268260962_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_MB315C_Brain_2020__9	PBac{R58E02-p65.AD}	P{R48H11-GAL4.DBD}	female organism|adult brain
Janelia-1841433301848424546-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_277_218_2624111390893277218_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG	JRC_MB315C_Brain_2020__10	PBac{R58E02-p65.AD}	P{R48H11-GAL4.DBD}	female organism|adult brain
Janelia-1842888951174529122-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_234_658_1903179341559234658_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_MB594B_Brain_2020__1	P{R13F02-p65.AD}	P{R58F02-GAL4.DBD}	female organism|adult brain
Janelia-1842888951174529122-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_406_821_2624125084876406821_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG	JRC_MB594B_Brain_2020__2	P{R13F02-p65.AD}	P{R58F02-GAL4.DBD}	female organism|adult brain
Janelia-1842888951661068386-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_682_022_2624927046496682022_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG	JRC_MB594B_Brain_2020__3	P{R13F02-p65.AD}	P{R58F02-GAL4.DBD}	female organism|adult brain
Janelia-1844663949644005474-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_279_335_2624160704596279335_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG	JRC_MB027B_Brain_2020__1	P{R24H08-p65.AD}	P{R53F03-GAL4.DBD}	female organism|adult brain
Janelia-1844663949644005474-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_619_751_2624247144709619751_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG	JRC_MB027B_Brain_2020__2	P{R24H08-p65.AD}	P{R53F03-GAL4.DBD}	female organism|adult brain
Janelia-1844663949878886498-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_710_950_2624159423676710950_align_REG_JRC2018_FEMALE_40x_8bitc_J18U_SG	JRC_MB027B_Brain_2020__3	P{R24H08-p65.AD}	P{R53F03-GAL4.DBD}	female organism|adult brain
Janelia-1844663949878886498-Brain-63x_nrs_jacs_jacsData_filestore_asoy_Alignment_243_110_2624221191258243110_align_REG_JRC2018_FEMALE_63x_DS_8bitc_J18U_SG	JRC_MB027B_Brain_2020__4	P{R24H08-p65.AD}	P{R53F03-GAL4.DBD}	female organism|adult brain
