filename	is_a	part_of	Imaging_type	Template	dbxrefs	label	comment
234630133	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:234630133	SMP184(PDL05)_L (FlyEM-HB:234630133)	Newly typed in 1.2.1
1670079387	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:1670079387	DL1_adPN_L (FlyEM-HB:1670079387)	Newly typed in 1.2.1
544931723	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:544931723	SMP527(PDM24)_L (FlyEM-HB:544931723)	Newly typed in 1.2.1
947751030	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:947751030	CL185(PDM11)_L (FlyEM-HB:947751030)	Newly typed in 1.2.1
915632613	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:915632613	VES053(PDM27)_L (FlyEM-HB:915632613)	Newly typed in 1.2.1
702493502	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:702493502	CL029(ADL25)_L (FlyEM-HB:702493502)	Newly typed in 1.2.1
516625009	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:516625009	SMP042(ADL25)_L (FlyEM-HB:516625009)	Newly typed in 1.2.1
1578658131	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:1578658131	VA6_adPN_L (FlyEM-HB:1578658131)	Newly typed in 1.2.1
5813061392	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:5813061392	DM1_lPN_L (FlyEM-HB:5813061392)	Newly typed in 1.2.1
548722538	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:548722538	SMP237(PDL11)_L (FlyEM-HB:548722538)	Newly typed in 1.2.1
1318114681	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:1318114681	PVLP119(PVL05)_L (FlyEM-HB:1318114681)	Newly typed in 1.2.1
705229969	neuron	adult nervous system	FIB-SEM	JRC_FlyEM_Hemibrain_c	neuprint_JRC_Hemibrain_1point2point1:705229969	SMP359(PDM07)_L (FlyEM-HB:705229969)	Newly typed in 1.2.1
