filename	synonyms	is_a	part_of	label	Template
8	CX	adult central complex	female organism|adult brain	CX on JRC2018Unisex	JRC2018Unisex_c
7	MB	adult mushroom body	female organism|adult brain	MB on JRC2018Unisex	JRC2018Unisex_c
3	brain_neuropil	adult brain	female organism|adult brain	brain_neuropil on JRC2018Unisex	JRC2018Unisex_c
6	optic	adult optic lobe	female organism|adult brain	optic on JRC2018Unisex	JRC2018Unisex_c
4	vnc_neuropil	adult ventral nerve cord	female organism|adult ventral nerve cord	vnc_neuropil on JRC2018UnisexVNC	JRC2018UnisexVNC_c
201	ABDNM	adult abdominal neuromere	female organism|adult ventral nerve cord	ABDNM on JRC2018UnisexVNC	JRC2018UnisexVNC_c
202	AMNP	adult accessory mesothoracic neuropil	female organism|adult ventral nerve cord	AMNP on JRC2018UnisexVNC	JRC2018UnisexVNC_c
301	DLT_L	dorsal lateral tract of dorsal cervical fasciculus	female organism|adult ventral nerve cord|left side of organism	DLT_L (COURT) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
302	DLT_R	dorsal lateral tract of dorsal cervical fasciculus	female organism|adult ventral nerve cord|right side of organism	DLT_R (COURT) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
303	DLV_L	dorsal lateral tract of ventral cervical fasciculus	female organism|adult ventral nerve cord|left side of organism	DLV_L (COURT) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
304	DLV_R	dorsal lateral tract of ventral cervical fasciculus	female organism|adult ventral nerve cord|right side of organism	DLV_R (COURT) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
305	DMT	adult dorsal median tract	female organism|adult ventral nerve cord	DMT on JRC2018UnisexVNC	JRC2018UnisexVNC_c
203	HTct	haltere neuropil	female organism|adult ventral nerve cord	HTct on JRC2018UnisexVNC	JRC2018UnisexVNC_c
308	ITD-CFF_L	commissure of fine fibers of the ITD	female organism|adult ventral nerve cord|left side of organism	ITD-CFF_L on JRC2018UnisexVNC	JRC2018UnisexVNC_c
309	ITD-CFF_R	commissure of fine fibers of the ITD	female organism|adult ventral nerve cord|right side of organism	ITD-CFF_R on JRC2018UnisexVNC	JRC2018UnisexVNC_c
310	ITD-HC_L	intermediate tract of dorsal cervical fasciculus - haltere commissure	female organism|adult ventral nerve cord|left side of organism	ITD-HC_L on JRC2018UnisexVNC	JRC2018UnisexVNC_c
311	ITD-HC_R	intermediate tract of dorsal cervical fasciculus - haltere commissure	female organism|adult ventral nerve cord|right side of organism	ITD-HC_R on JRC2018UnisexVNC	JRC2018UnisexVNC_c
312	ITD-HT_L	haltere tract	female organism|adult ventral nerve cord|left side of organism	ITD-HT_L on JRC2018UnisexVNC	JRC2018UnisexVNC_c
313	ITD-HT_R	haltere tract	female organism|adult ventral nerve cord|right side of organism	ITD-HT_R on JRC2018UnisexVNC	JRC2018UnisexVNC_c
306	ITD_L	intermediate tract of dorsal cervical fasciculus	female organism|adult ventral nerve cord|left side of organism	ITD_L (COURT) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
307	ITD_R	intermediate tract of dorsal cervical fasciculus	female organism|adult ventral nerve cord|right side of organism	ITD_R (COURT) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
204	IntTct	intermediate tectulum	female organism|adult ventral nerve cord	IntTct (COURT) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
205	LTct	lower tectulum	female organism|adult ventral nerve cord	LTct (COURT) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
314	MDT	median dorsal abdominal tract	female organism|adult ventral nerve cord	MDT on JRC2018UnisexVNC	JRC2018UnisexVNC_c
206	MesoNM-T2	adult mesothoracic neuromere	female organism|adult ventral nerve cord	MesoNM-T2 on JRC2018UnisexVNC	JRC2018UnisexVNC_c
207	MetaNM-T3	adult metathoracic neuromere	female organism|adult ventral nerve cord	MetaNM-T3 on JRC2018UnisexVNC	JRC2018UnisexVNC_c
209	NTct	neck neuropil	female organism|adult ventral nerve cord	NTct on JRC2018UnisexVNC	JRC2018UnisexVNC_c
210	ProNM-T1	adult prothoracic neuromere	female organism|adult ventral nerve cord	ProNM-T1 on JRC2018UnisexVNC	JRC2018UnisexVNC_c
315	VLT_L	ventral lateral tract of ventral cervical fasciculus	female organism|adult ventral nerve cord|left side of organism	VLT_L (COURT) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
316	VLT_R	ventral lateral tract of ventral cervical fasciculus	female organism|adult ventral nerve cord|right side of organism	VLT_R (COURT) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
317	VTV	ventral median tract of ventral cervical fasciculus	female organism|adult ventral nerve cord	VTV on JRC2018UnisexVNC	JRC2018UnisexVNC_c
211	WTct	wing neuropil	female organism|adult ventral nerve cord	WTct on JRC2018UnisexVNC	JRC2018UnisexVNC_c
208	mVAC	medial ventral association center	female organism|adult ventral nerve cord	mVAC on JRC2018UnisexVNC	JRC2018UnisexVNC_c
101	AL_L	adult antennal lobe	female organism|adult brain|left side of organism	AL_L on JRC2018Unisex	JRC2018Unisex_c
102	AL_R	adult antennal lobe	female organism|adult brain|right side of organism	AL_R on JRC2018Unisex	JRC2018Unisex_c
