filename	label	part_of	Template	synonyms	dbxrefs	AD	DBD	comment
100A02_101B01_SS04248_A	JRC_SS04248_L3CNS_A	larval central nervous system	L3 CNS template - Wood2018_c	SS04248|JRC_SS04248	FlyLightLarvalCNS:SS04248	P{VT000355-p65.AD}	P{VT021420-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
100A02_101B01_SS04248_B	JRC_SS04248_L3CNS_B	larval central nervous system	L3 CNS template - Wood2018_c	SS04248|JRC_SS04248	FlyLightLarvalCNS:SS04248	P{VT000355-p65.AD}	P{VT021420-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
100A02_21F05_SS04249_A	JRC_SS04249_L3CNS_A	larval central nervous system	L3 CNS template - Wood2018_c	SS04249|JRC_SS04249	FlyLightLarvalCNS:SS04249	P{VT000355-p65.AD}	P{R21F05-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
100A02_21F05_SS04249_B	JRC_SS04249_L3CNS_B	larval central nervous system	L3 CNS template - Wood2018_c	SS04249|JRC_SS04249	FlyLightLarvalCNS:SS04249	P{VT000355-p65.AD}	P{R21F05-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
100A02_53G11_SS04250_A	JRC_SS04250_L3CNS_A	larval central nervous system	L3 CNS template - Wood2018_c	SS04250|JRC_SS04250	FlyLightLarvalCNS:SS04250	P{VT000355-p65.AD}	P{R53G11-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
100A02_53G11_SS04250_B	JRC_SS04250_L3CNS_B	larval central nervous system	L3 CNS template - Wood2018_c	SS04250|JRC_SS04250	FlyLightLarvalCNS:SS04250	P{VT000355-p65.AD}	P{R53G11-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
100A02_74B12_SS04251_A	JRC_SS04251_L3CNS_A	larval central nervous system	L3 CNS template - Wood2018_c	SS04251|JRC_SS04251	FlyLightLarvalCNS:SS04251	P{VT000355-p65.AD}	P{R74B12-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
100A02_74B12_SS04251_B	JRC_SS04251_L3CNS_B	larval central nervous system	L3 CNS template - Wood2018_c	SS04251|JRC_SS04251	FlyLightLarvalCNS:SS04251	P{VT000355-p65.AD}	P{R74B12-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
100D02_125G11_SS04253_A	JRC_SS04253_L3CNS_A	larval central nervous system	L3 CNS template - Wood2018_c	SS04253|JRC_SS04253	FlyLightLarvalCNS:SS04253	P{VT007847-p65.AD}	P{VT014250-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
100D02_125G11_SS04253_B	JRC_SS04253_L3CNS_B	larval central nervous system	L3 CNS template - Wood2018_c	SS04253|JRC_SS04253	FlyLightLarvalCNS:SS04253	P{VT007847-p65.AD}	P{VT014250-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
100E07_105A11_SS04046_A	JRC_SS04046_L3CNS_A	larval central nervous system	L3 CNS template - Wood2018_c	SS04046|JRC_SS04046	FlyLightLarvalCNS:SS04046	P{VT009668-p65.AD}	P{VT044854-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
100E07_105A11_SS04046_B	JRC_SS04046_L3CNS_B	larval central nervous system	L3 CNS template - Wood2018_c	SS04046|JRC_SS04046	FlyLightLarvalCNS:SS04046	P{VT009668-p65.AD}	P{VT044854-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
102A02_118E07_SS01965_A	JRC_SS01965_L3CNS_A	larval central nervous system	L3 CNS template - Wood2018_c	SS01965|JRC_SS01965	FlyLightLarvalCNS:SS01965	P{VT043086-p65.AD}	P{VT047755-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
102A02_118E07_SS01965_B	JRC_SS01965_L3CNS_B	larval central nervous system	L3 CNS template - Wood2018_c	SS01965|JRC_SS01965	FlyLightLarvalCNS:SS01965	P{VT043086-p65.AD}	P{VT047755-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
102A02_21B06_SS04255_A	JRC_SS04255_L3CNS_A	larval central nervous system	L3 CNS template - Wood2018_c	SS04255|JRC_SS04255	FlyLightLarvalCNS:SS04255	P{VT043086-p65.AD}	P{R21B06-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
102A02_21B06_SS04255_B	JRC_SS04255_L3CNS_B	larval central nervous system	L3 CNS template - Wood2018_c	SS04255|JRC_SS04255	FlyLightLarvalCNS:SS04255	P{VT043086-p65.AD}	P{R21B06-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
102A02_29F12_SS01966_A	JRC_SS01966_L3CNS_A	larval central nervous system	L3 CNS template - Wood2018_c	SS01966|JRC_SS01966	FlyLightLarvalCNS:SS01966	P{VT043086-p65.AD}	P{R29F12-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
102A02_29F12_SS01966_B	JRC_SS01966_L3CNS_B	larval central nervous system	L3 CNS template - Wood2018_c	SS01966|JRC_SS01966	FlyLightLarvalCNS:SS01966	P{VT043086-p65.AD}	P{R29F12-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
102A02_29F12_SS01966_C	JRC_SS01966_L3CNS_C	larval central nervous system	L3 CNS template - Wood2018_c	SS01966|JRC_SS01966	FlyLightLarvalCNS:SS01966	P{VT043086-p65.AD}	P{R29F12-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
102A05_49D11_022114A	JRC_SS01930_L3CNS_022114A	larval central nervous system	L3 CNS template - Wood2018_c	SS01930|JRC_SS01930	FlyLightLarvalCNS:SS01930	P{VT043152-p65.AD}	P{R49D11-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
