filename	is_a	part_of	dbxrefs	label
428871	neuron	adult nervous system	male-cns_v0_9:428871	R8p_R (MaleCNS:428871)
284030	neuron	adult nervous system	male-cns_v0_9:284030	R8p_L (MaleCNS:284030)
199181	neuron	adult nervous system	male-cns_v0_9:199181	R8p_L (MaleCNS:199181)
191677	neuron	adult nervous system	male-cns_v0_9:191677	R8p_R (MaleCNS:191677)
206335	neuron	adult nervous system	male-cns_v0_9:206335	R8p_R (MaleCNS:206335)
243103	neuron	adult nervous system	male-cns_v0_9:243103	R8p_L (MaleCNS:243103)
167438	neuron	adult nervous system	male-cns_v0_9:167438	R8p_R (MaleCNS:167438)
243760	neuron	adult nervous system	male-cns_v0_9:243760	R8p_L (MaleCNS:243760)
210852	neuron	adult nervous system	male-cns_v0_9:210852	R8p_R (MaleCNS:210852)
552314	neuron	adult nervous system	male-cns_v0_9:552314	R8p_L (MaleCNS:552314)
322799	neuron	adult nervous system	male-cns_v0_9:322799	R8p_L (MaleCNS:322799)
186297	neuron	adult nervous system	male-cns_v0_9:186297	R8p_R (MaleCNS:186297)
327734	neuron	adult nervous system	male-cns_v0_9:327734	R8p_R (MaleCNS:327734)
205328	neuron	adult nervous system	male-cns_v0_9:205328	R8p_R (MaleCNS:205328)
259241	neuron	adult nervous system	male-cns_v0_9:259241	R8p_L (MaleCNS:259241)
265205	neuron	adult nervous system	male-cns_v0_9:265205	R8p_L (MaleCNS:265205)
170184	neuron	adult nervous system	male-cns_v0_9:170184	R8p_L (MaleCNS:170184)
236273	neuron	adult nervous system	male-cns_v0_9:236273	R8p_L (MaleCNS:236273)
227168	neuron	adult nervous system	male-cns_v0_9:227168	R8p_L (MaleCNS:227168)
220269	neuron	adult nervous system	male-cns_v0_9:220269	R8p_L (MaleCNS:220269)
187999	neuron	adult nervous system	male-cns_v0_9:187999	R8p_L (MaleCNS:187999)
190138	neuron	adult nervous system	male-cns_v0_9:190138	R8p_R (MaleCNS:190138)
553237	neuron	adult nervous system	male-cns_v0_9:553237	R8p_R (MaleCNS:553237)
239301	neuron	adult nervous system	male-cns_v0_9:239301	R8p_L (MaleCNS:239301)
221457	neuron	adult nervous system	male-cns_v0_9:221457	R8p_L (MaleCNS:221457)
232415	neuron	adult nervous system	male-cns_v0_9:232415	R8p_R (MaleCNS:232415)
135310853	neuron	adult nervous system	male-cns_v0_9:135310853	R8p_L (MaleCNS:135310853)
235359	neuron	adult nervous system	male-cns_v0_9:235359	R8p_L (MaleCNS:235359)
199480	neuron	adult nervous system	male-cns_v0_9:199480	R8p_L (MaleCNS:199480)
105398229	neuron	adult nervous system	male-cns_v0_9:105398229	R8p_L (MaleCNS:105398229)
199524	neuron	adult nervous system	male-cns_v0_9:199524	R8p_R (MaleCNS:199524)
193308	neuron	adult nervous system	male-cns_v0_9:193308	R8p_L (MaleCNS:193308)
170581	neuron	adult nervous system	male-cns_v0_9:170581	R8p_R (MaleCNS:170581)
563493	neuron	adult nervous system	male-cns_v0_9:563493	R8p_L (MaleCNS:563493)
303535	neuron	adult nervous system	male-cns_v0_9:303535	R8p_R (MaleCNS:303535)
591900	neuron	adult nervous system	male-cns_v0_9:591900	R8p_L (MaleCNS:591900)
124821	neuron	adult nervous system	male-cns_v0_9:124821	R8p_L (MaleCNS:124821)
166788	neuron	adult nervous system	male-cns_v0_9:166788	R8p_L (MaleCNS:166788)
228277	neuron	adult nervous system	male-cns_v0_9:228277	R8p_L (MaleCNS:228277)
124853	neuron	adult nervous system	male-cns_v0_9:124853	R8p_R (MaleCNS:124853)
188862	neuron	adult nervous system	male-cns_v0_9:188862	R8p_R (MaleCNS:188862)
1035284341	neuron	adult nervous system	male-cns_v0_9:1035284341	R8p_L (MaleCNS:1035284341)
188018	neuron	adult nervous system	male-cns_v0_9:188018	R8p_R (MaleCNS:188018)
549954	neuron	adult nervous system	male-cns_v0_9:549954	R8p_L (MaleCNS:549954)
191686	neuron	adult nervous system	male-cns_v0_9:191686	R8p_L (MaleCNS:191686)
229138	neuron	adult nervous system	male-cns_v0_9:229138	R8p_L (MaleCNS:229138)
182204	neuron	adult nervous system	male-cns_v0_9:182204	R8p_L (MaleCNS:182204)
179884	neuron	adult nervous system	male-cns_v0_9:179884	R8p_L (MaleCNS:179884)
185821	neuron	adult nervous system	male-cns_v0_9:185821	R8p_R (MaleCNS:185821)
310742	neuron	adult nervous system	male-cns_v0_9:310742	R8p_L (MaleCNS:310742)
364207	neuron	adult nervous system	male-cns_v0_9:364207	R8p_L (MaleCNS:364207)
220217	neuron	adult nervous system	male-cns_v0_9:220217	R8p_L (MaleCNS:220217)
203973	neuron	adult nervous system	male-cns_v0_9:203973	R8p_R (MaleCNS:203973)
331954	neuron	adult nervous system	male-cns_v0_9:331954	R8p_R (MaleCNS:331954)
500113	neuron	adult nervous system	male-cns_v0_9:500113	R8p_R (MaleCNS:500113)
191675	neuron	adult nervous system	male-cns_v0_9:191675	R8p_R (MaleCNS:191675)
204956	neuron	adult nervous system	male-cns_v0_9:204956	R8p_L (MaleCNS:204956)
190355	neuron	adult nervous system	male-cns_v0_9:190355	R8p_L (MaleCNS:190355)
174482	neuron	adult nervous system	male-cns_v0_9:174482	R8p_L (MaleCNS:174482)
191642	neuron	adult nervous system	male-cns_v0_9:191642	R8p_L (MaleCNS:191642)
197773	neuron	adult nervous system	male-cns_v0_9:197773	R8p_L (MaleCNS:197773)
229653	neuron	adult nervous system	male-cns_v0_9:229653	R8p_R (MaleCNS:229653)
197063	neuron	adult nervous system	male-cns_v0_9:197063	R8p_L (MaleCNS:197063)
122037	neuron	adult nervous system	male-cns_v0_9:122037	R8p_R (MaleCNS:122037)
173953	neuron	adult nervous system	male-cns_v0_9:173953	R8p_R (MaleCNS:173953)
228492	neuron	adult nervous system	male-cns_v0_9:228492	R8p_L (MaleCNS:228492)
188826	neuron	adult nervous system	male-cns_v0_9:188826	R8p_L (MaleCNS:188826)
217050	neuron	adult nervous system	male-cns_v0_9:217050	R8p_R (MaleCNS:217050)
181599	neuron	adult nervous system	male-cns_v0_9:181599	R8p_L (MaleCNS:181599)
374816	neuron	adult nervous system	male-cns_v0_9:374816	R8p_R (MaleCNS:374816)
198333	neuron	adult nervous system	male-cns_v0_9:198333	R8p_L (MaleCNS:198333)
218502	neuron	adult nervous system	male-cns_v0_9:218502	R8p_R (MaleCNS:218502)
248000	neuron	adult nervous system	male-cns_v0_9:248000	R8p_L (MaleCNS:248000)
145505	neuron	adult nervous system	male-cns_v0_9:145505	R8p_R (MaleCNS:145505)
171685	neuron	adult nervous system	male-cns_v0_9:171685	R8p_R (MaleCNS:171685)
940023	neuron	adult nervous system	male-cns_v0_9:940023	R8p_L (MaleCNS:940023)
456570	neuron	adult nervous system	male-cns_v0_9:456570	R8p_L (MaleCNS:456570)
213204317	neuron	adult nervous system	male-cns_v0_9:213204317	R8p_L (MaleCNS:213204317)
204088	neuron	adult nervous system	male-cns_v0_9:204088	R8p_R (MaleCNS:204088)
172943	neuron	adult nervous system	male-cns_v0_9:172943	R8p_R (MaleCNS:172943)
185994	neuron	adult nervous system	male-cns_v0_9:185994	R8p_R (MaleCNS:185994)
244412	neuron	adult nervous system	male-cns_v0_9:244412	R8p_L (MaleCNS:244412)
208510	neuron	adult nervous system	male-cns_v0_9:208510	R8p_L (MaleCNS:208510)
191865	neuron	adult nervous system	male-cns_v0_9:191865	R8p_R (MaleCNS:191865)
216001	neuron	adult nervous system	male-cns_v0_9:216001	R8p_L (MaleCNS:216001)
222656	neuron	adult nervous system	male-cns_v0_9:222656	R8p_R (MaleCNS:222656)
267808	neuron	adult nervous system	male-cns_v0_9:267808	R8p_L (MaleCNS:267808)
187096	neuron	adult nervous system	male-cns_v0_9:187096	R8p_R (MaleCNS:187096)
170836	neuron	adult nervous system	male-cns_v0_9:170836	R8p_R (MaleCNS:170836)
178159	neuron	adult nervous system	male-cns_v0_9:178159	R8p_R (MaleCNS:178159)
186817	neuron	adult nervous system	male-cns_v0_9:186817	R8p_R (MaleCNS:186817)
195042	neuron	adult nervous system	male-cns_v0_9:195042	R8p_R (MaleCNS:195042)
15479	neuron	adult nervous system	male-cns_v0_9:15479	R8p_L (MaleCNS:15479)
192213	neuron	adult nervous system	male-cns_v0_9:192213	R8p_L (MaleCNS:192213)
