filename	label	is_a	part_of	Curator	DataSet	Template	Imaging_type	synonyms
AL-DL5(L)	AL-DL5(L)	antennal lobe glomerulus DL5	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-DL5(L) on JRC_FlyEM_Hemibrain
AL-DL5(R)	AL-DL5(R)	antennal lobe glomerulus DL5	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-DL5(R) on JRC_FlyEM_Hemibrain
AL-DM1(L)	AL-DM1(L)	antennal lobe glomerulus DM1	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-DM1(L) on JRC_FlyEM_Hemibrain
AL-DM1(R)	AL-DM1(R)	antennal lobe glomerulus DM1	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-DM1(R) on JRC_FlyEM_Hemibrain
AL-DM2(L)	AL-DM2(L)	antennal lobe glomerulus DM2	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-DM2(L) on JRC_FlyEM_Hemibrain
AL-DM2(R)	AL-DM2(R)	antennal lobe glomerulus DM2	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-DM2(R) on JRC_FlyEM_Hemibrain
AL-DM3(L)	AL-DM3(L)	antennal lobe glomerulus DM3	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-DM3(L) on JRC_FlyEM_Hemibrain
AL-DM3(R)	AL-DM3(R)	antennal lobe glomerulus DM3	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-DM3(R) on JRC_FlyEM_Hemibrain
AL-DM4(L)	AL-DM4(L)	antennal lobe glomerulus DM4	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-DM4(L) on JRC_FlyEM_Hemibrain
AL-DM4(R)	AL-DM4(R)	antennal lobe glomerulus DM4	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-DM4(R) on JRC_FlyEM_Hemibrain
AL-DM5(L)	AL-DM5(L)	antennal lobe glomerulus DM5	adult brain	adm71	Xu2020roi	JRC_FlyEM_Hemibrain_c	computer graphic	AL-DM5(L) on JRC_FlyEM_Hemibrain
