filename	is_a	part_of	dbxrefs	label
144361	neuron	adult nervous system	male-cns:v0.9:144361	Tm40_L (MaleCNS:144361)
105603	neuron	adult nervous system	male-cns:v0.9:105603	Tm40_R (MaleCNS:105603)
40576	neuron	adult nervous system	male-cns:v0.9:40576	Tm40_L (MaleCNS:40576)
119503	neuron	adult nervous system	male-cns:v0.9:119503	Tm40_R (MaleCNS:119503)
84964	neuron	adult nervous system	male-cns:v0.9:84964	Tm40_R (MaleCNS:84964)
119236	neuron	adult nervous system	male-cns:v0.9:119236	Tm40_R (MaleCNS:119236)
151589	neuron	adult nervous system	male-cns:v0.9:151589	Tm40_R (MaleCNS:151589)
79319	neuron	adult nervous system	male-cns:v0.9:79319	Tm40_R (MaleCNS:79319)
98293	neuron	adult nervous system	male-cns:v0.9:98293	Tm40_R (MaleCNS:98293)
94681	neuron	adult nervous system	male-cns:v0.9:94681	Tm40_L (MaleCNS:94681)
89466	neuron	adult nervous system	male-cns:v0.9:89466	Tm40_R (MaleCNS:89466)
138411	neuron	adult nervous system	male-cns:v0.9:138411	Tm40_L (MaleCNS:138411)
21395	neuron	adult nervous system	male-cns:v0.9:21395	Tm40_L (MaleCNS:21395)
76935	neuron	adult nervous system	male-cns:v0.9:76935	Tm40_L (MaleCNS:76935)
69511	neuron	adult nervous system	male-cns:v0.9:69511	Tm40_R (MaleCNS:69511)
17127	neuron	adult nervous system	male-cns:v0.9:17127	Tm40_L (MaleCNS:17127)
126761	neuron	adult nervous system	male-cns:v0.9:126761	Tm40_R (MaleCNS:126761)
70083	neuron	adult nervous system	male-cns:v0.9:70083	Tm40_R (MaleCNS:70083)
118336	neuron	adult nervous system	male-cns:v0.9:118336	Tm40_R (MaleCNS:118336)
518896	neuron	adult nervous system	male-cns:v0.9:518896	Tm40_L (MaleCNS:518896)
60473	neuron	adult nervous system	male-cns:v0.9:60473	Tm40_R (MaleCNS:60473)
181396	neuron	adult nervous system	male-cns:v0.9:181396	Tm40_L (MaleCNS:181396)
90660	neuron	adult nervous system	male-cns:v0.9:90660	Tm40_L (MaleCNS:90660)
74184	neuron	adult nervous system	male-cns:v0.9:74184	Tm40_R (MaleCNS:74184)
166992	neuron	adult nervous system	male-cns:v0.9:166992	Tm40_L (MaleCNS:166992)
84700	neuron	adult nervous system	male-cns:v0.9:84700	Tm40_L (MaleCNS:84700)
108282	neuron	adult nervous system	male-cns:v0.9:108282	Tm40_R (MaleCNS:108282)
67600	neuron	adult nervous system	male-cns:v0.9:67600	Tm40_L (MaleCNS:67600)
66818	neuron	adult nervous system	male-cns:v0.9:66818	Tm40_L (MaleCNS:66818)
106775	neuron	adult nervous system	male-cns:v0.9:106775	Tm40_L (MaleCNS:106775)
141844	neuron	adult nervous system	male-cns:v0.9:141844	Tm40_L (MaleCNS:141844)
98913	neuron	adult nervous system	male-cns:v0.9:98913	Tm40_L (MaleCNS:98913)
193071	neuron	adult nervous system	male-cns:v0.9:193071	Tm40_L (MaleCNS:193071)
118394	neuron	adult nervous system	male-cns:v0.9:118394	Tm40_L (MaleCNS:118394)
