filename	label	AD	DBD	part_of
Janelia-2237378331437695074-VNC-20x_nrs_jacs_jacsData_filestore_wolfft_Alignment_162_596_2586746117748162596_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS00190_VNC_2020__1	P{R38G07-p65.AD}	P{R30E10-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2244284421903482978-VNC-20x_nrs_jacs_jacsData_filestore_wolfft_Alignment_208_740_2586743114987208740_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS25983_VNC_2020__1	P{R47G08-p65.AD}	P{R26F04-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2515959150760951906-VNC-20x_nrs_jacs_jacsData_filestore_wolfft_Alignment_106_785_2586233309340106785_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS52338_VNC_2020__1	P{R75H10-p65.AD}	P{R83D12-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2520709012752695394-VNC-20x_nrs_jacs_jacsData_filestore_wolfft_Alignment_518_625_2630182153425518625_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS54295_VNC_2020__1	P{VT026664-p65.AD}	P{VT032907-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2520774950327943266-VNC-20x_nrs_jacs_jacsData_filestore_wolfft_Alignment_307_873_2630188091142307873_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS50417_VNC_2020__1	P{VT019728-p65.AD}	P{VT000926-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2520774950827065442-VNC-20x_nrs_jacs_jacsData_filestore_wolfft_Alignment_429_410_2630166607468429410_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS50417_VNC_2020__2	P{VT019728-p65.AD}	P{VT000926-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2520774951170998370-VNC-20x_nrs_jacs_jacsData_filestore_wolfft_Alignment_154_593_2630187013961154593_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS52266_VNC_2020__1	P{VT019012-p65.AD}	P{R38G02-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2520774951556874338-VNC-20x_nrs_jacs_jacsData_filestore_wolfft_Alignment_420_962_2630182672336420962_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS52267_VNC_2020__1	P{VT019012-p65.AD}	P{R72C10-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2520774952508981346-VNC-20x_nrs_jacs_jacsData_filestore_wolfft_Alignment_197_857_2630186769605197857_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS52347_VNC_2020__1	P{R92B02-p65.AD}	P{R48H01-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2520774952924217442-VNC-20x_nrs_jacs_jacsData_filestore_wolfft_Alignment_056_289_2630180220233056289_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS52577_VNC_2020__1	P{VT063307-p65.AD}	P{VT019742-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2524036018579964002-VNC-20x_nrs_jacs_jacsData_filestore_wolfft_Alignment_104_162_2586342161398104162_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS52669_VNC_2020__1	P{R68A10-p65.AD}	P{R75H10-GAL4.DBD}	female organism|thoracico-abdominal ganglion
Janelia-2525754323980255330-VNC-20x_nrs_jacs_jacsData_filestore_wolfft_Alignment_056_354_2586320776521056354_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	JRC_SS00098_VNC_2020__1	P{R19G02-p65.AD}	P{R93G12-GAL4.DBD}	female organism|thoracico-abdominal ganglion
