filename	label	AD	DBD	part_of	Template
20x-Brain-2214518414641201189	JRC_LH1396_Brain_2019_20151106_52_I1	P{R94B04-p65.AD}	P{R55C09-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2214518416981622821	JRC_LH629_Brain_2019_20151106_52_I5	P{R30A10-p65.AD}	P{R10H02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2214518418202165285	JRC_LH1000_Brain_2019_20151106_52_J3	P{R94B04-p65.AD}	P{R38F08-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2216619384422531170	JRC_LH1925_Brain_2019_20151120_52_G3	P{VT017375-p65.AD}	P{R75C05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2214518420110573605	JRC_LH1899_Brain_2019_20151113_53_A2	P{VT007394-p65.AD}	P{R75C05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2214518431422611493	JRC_LH1989_Brain_2019_20151113_53_F4	P{R22D02-p65.AD}	P{VT008671-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2214518440650080293	JRC_LH1893_Brain_2019_20151113_52_D2	P{R18B06-p65.AD}	P{VT024617-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2262796568010686538	JRC_LH1850_Brain_2019_20151113_52_F4	P{R49B08-p65.AD}	P{VT024617-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2262796569642270794	JRC_LH1900_Brain_2019_20151113_52_G3	P{R17A04-p65.AD}	P{VT041432-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2214518449202266149	JRC_LH1990_Brain_2019_20151113_52_G4	P{R25G10-p65.AD}	P{VT008671-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2214518454323511333	JRC_LH1983_Brain_2019_20151113_52_I3	P{R76E07-p65.AD}	P{VT008671-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2262796573857546314	JRC_LH1943_Brain_2019_20151113_52_I4	P{R22A12-p65.AD}	P{VT020714-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2244772300840763466	JRC_LH2316_Brain_2019_20160212_52_G1	P{VT023823-p65.AD}	P{R34E09-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2206700927358861410	JRC_LH1727_Brain_2019_20151030_51_E4	P{R16C09-p65.AD}	P{R85F05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2206700925093937250	JRC_LH1740_Brain_2019_20151030_51_D4	P{R12H12-p65.AD}	P{R92A07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-Brain-2262796577259126858	JRC_LH2233_Brain_2019_20151120_52_B1	P{R37A11-p65.AD}	P{VT050273-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
