subject_external_id	object	pub	comment	subject_external_db	relation
1039335355	descending neuron of the posterior brain DNp49			neuprint_JRC_Hemibrain_1point2point1	is_a
1349240911	adult lobula columnar neuron LC29			neuprint_JRC_Hemibrain_1point2point1	is_a
1374767239	adult lobula columnar neuron LC29			neuprint_JRC_Hemibrain_1point2point1	is_a
1408966145	adult lobula columnar neuron LC29			neuprint_JRC_Hemibrain_1point2point1	is_a
1440670548	adult lobula columnar neuron LC29			neuprint_JRC_Hemibrain_1point2point1	is_a
1440670595	adult lobula columnar neuron LC29			neuprint_JRC_Hemibrain_1point2point1	is_a
1471705177	adult lobula columnar neuron LC29			neuprint_JRC_Hemibrain_1point2point1	is_a
1502748318	adult lobula columnar neuron LC29			neuprint_JRC_Hemibrain_1point2point1	is_a
1813727537	adult lobula columnar neuron LC29			neuprint_JRC_Hemibrain_1point2point1	is_a
2219867226	adult lobula columnar neuron LC29			neuprint_JRC_Hemibrain_1point2point1	is_a
5813031566	adult lobula columnar neuron LC29			neuprint_JRC_Hemibrain_1point2point1	is_a
5813033809	adult lobula columnar neuron LC29			neuprint_JRC_Hemibrain_1point2point1	is_a
5812990678	adult lobula columnar neuron LC29			neuprint_JRC_Hemibrain_1point2point1	is_a
5812992013	adult lobula columnar neuron LC29			neuprint_JRC_Hemibrain_1point2point1	is_a
5813085201	adult lobula columnar neuron LC29			neuprint_JRC_Hemibrain_1point2point1	is_a
5813016911	adult lobula columnar neuron LC29			neuprint_JRC_Hemibrain_1point2point1	is_a
1566799785	adult lobula columnar neuron LC34			neuprint_JRC_Hemibrain_1point2point1	is_a
1690602927	adult lobula columnar neuron LC34			neuprint_JRC_Hemibrain_1point2point1	is_a
1782321284	adult lobula columnar neuron LC34			neuprint_JRC_Hemibrain_1point2point1	is_a
5901217539	adult lobula columnar neuron LC34			neuprint_JRC_Hemibrain_1point2point1	is_a
1005857954	adult lobula columnar neuron LC36			neuprint_JRC_Hemibrain_1point2point1	is_a
1005858013	adult lobula columnar neuron LC36			neuprint_JRC_Hemibrain_1point2point1	is_a
1375482740	adult lobula columnar neuron LC36			neuprint_JRC_Hemibrain_1point2point1	is_a
1469278367	adult lobula columnar neuron LC36			neuprint_JRC_Hemibrain_1point2point1	is_a
1533063011	adult lobula columnar neuron LC36			neuprint_JRC_Hemibrain_1point2point1	is_a
1564097399	adult lobula columnar neuron LC36			neuprint_JRC_Hemibrain_1point2point1	is_a
1564097484	adult lobula columnar neuron LC36			neuprint_JRC_Hemibrain_1point2point1	is_a
5812990956	adult lobula columnar neuron LC36			neuprint_JRC_Hemibrain_1point2point1	is_a
5813054534	adult lobula columnar neuron LC36			neuprint_JRC_Hemibrain_1point2point1	is_a
974839595	adult lobula columnar neuron LC36			neuprint_JRC_Hemibrain_1point2point1	is_a
974839704	adult lobula columnar neuron LC36			neuprint_JRC_Hemibrain_1point2point1	is_a
974839706	adult lobula columnar neuron LC36			neuprint_JRC_Hemibrain_1point2point1	is_a
974839708	adult lobula columnar neuron LC36			neuprint_JRC_Hemibrain_1point2point1	is_a
974843876	adult lobula columnar neuron LC36			neuprint_JRC_Hemibrain_1point2point1	is_a
1011293310	adult lobula columnar neuron LC41			neuprint_JRC_Hemibrain_1point2point1	is_a
1070638675	adult lobula columnar neuron LC41			neuprint_JRC_Hemibrain_1point2point1	is_a
