subject_id	subject_name	DataSet	relation	object	Curator
VFB_001001e2	BLP34 b s 2 Right (L1EM:4127987)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001sh	DALcl12 d s 8 Left (L1EM:17102148)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001s7	BLAv12 pos s 1 right (L1EM:16698830)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001iy	DPMm1 ppFB s 4 Right (L1EM:12532127)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001eg	BAmas12 dor s 2 Right (L1EM:5593689)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001li	DAMd23 s 3 Right (L1EM:13950952)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001jn	BAmd2 v s 3 Left (L1EM:12927136)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001oz	CM13 med s 6 Right (L1EM:14547416)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001tx	BLVp2 s 3 Right (L1EM:17380192)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001ta	BLP12 b s 4 Right (L1EM:17371213)	Andrade2019	part_of	larval nervous system	cp390
VFB_0010020c	DPMpm1 ppFB 6 - Left (L1EM:19376559)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001lc	BAmd2 v s 6 Right (L1EM:13760579)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001iv	CM4 s ppFB 7 Left (L1EM:12494383)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001vz	BAla34 s 5 Left (L1EM:17728556)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001kq	DPMm1 s longit 2 (L1EM:13411388)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001l1	BAmv12 dor s 3 Right (L1EM:13733768)	Andrade2019	part_of	larval nervous system	cp390
VFB_0010020n	BAmd2 v s 7 Left (L1EM:19393720)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001nr	CM4 s ven 1 Right (L1EM:14546879)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001y2	BLP34 b s 5 Left (L1EM:17729381)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001n5	DALcm12 m s 1 Right (L1EM:14546516)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001rg	BAmv12 dor s 5 Left (L1EM:15140015)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001z5	TR Balv s 8 Left (L1EM:17733190)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001zm	DPLc post lat s 3 Left (L1EM:19352399)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001rl	BAmd1 d s 1 Left (L1EM:15541956)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001vh	BLAd dor med nb 1 (L1EM:17562172)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001mn	CPf s 2 Left (L1EM:14423404)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001t7	BLAv12 ant s 1 Right (L1EM:17361570)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001k2	DPMl12 pos s 7 Right (L1EM:13216296)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001ke	DPMm1 upp comm s 4 Right (L1EM:13239550)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001f8	DPMm1 ppFB s 6 Right (L1EM:8573240)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001fe	BLP34 a s 2 Right (L1EM:8893368)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001eq	DPMpm2 s loSM 2 Right (L1EM:6047538)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001p5	CM4 s dor pos MEF 2 Right (L1EM:14630189)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001si	DALcl12 d s 7 Left (L1EM:17102418)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001jh	DPLl i s 2 Right (L1EM:12755280)	Andrade2019	part_of	larval nervous system	cp390
VFB_0010020u	BAmv12 dor s 9 Left (L1EM:19395656)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001xc	BLAv12 pos s 2 Left (L1EM:17729078)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001ig	CM4 s ppFB 2 Right  (L1EM:12346676)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001tu	BLAv12 ant s 2 Right (L1EM:17379121)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001jk	DPLc post lat s 3 Right (L1EM:12847167)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001tr	BLVa34 b s 1 Right (L1EM:17378530)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001pn	DALcl12 d s 7 Right (L1EM:14788579)	Andrade2019	part_of	larval nervous system	cp390
VFB_0010020r	BAmd2 v s 5 Left (L1EM:19393756)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001t3	BAla34 s 4 Right (L1EM:17355884)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001mr	CPf s 7 Left (L1EM:14448530)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001pj	DALl1 10 d SU  (L1EM:14761692)	Andrade2019	part_of	larval nervous system	cp390
VFB_0010020s	BAmd2 d s 1 Left (L1EM:19395562)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001n4	DAMd23 s 1 Right (L1EM:14546463)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001kl	DPMpm1 s 3 Right (L1EM:13364562)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001uz	BAlc post s 4 Right (L1EM:17545795)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001tt	DPLc ant lat s 1 Right (L1EM:17378746)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001ze	BLAv12 lat s 1 Left (L1EM:18059690)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001rc	BLDd s 5 Left (L1EM:15130939)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001s1	BAmv12 int s 2 Left (L1EM:16544695)	Andrade2019	part_of	larval nervous system	cp390
VFB_001001gr	CM4 s GC 3 Left (L1EM:10381874)	Andrade2019	part_of	larval nervous system	cp390
