subject_external_db	subject_external_id	relation	pub	object
catmaid_fafb	4624362	is_a	FlyBase:FBrf0246460	mediolateral antennal lobe tract projection neuron 2
catmaid_fafb	4624378	is_a	FlyBase:FBrf0246460	mediolateral antennal lobe tract projection neuron 2
catmaid_fafb	4631791	is_a	FlyBase:FBrf0246460	mediolateral antennal lobe tract projection neuron 2
catmaid_fafb	4632101	is_a	FlyBase:FBrf0246460	mediolateral antennal lobe tract projection neuron 2
catmaid_fafb	4632128	is_a	FlyBase:FBrf0246460	mediolateral antennal lobe tract projection neuron 2
catmaid_fafb	4632208	is_a	FlyBase:FBrf0246460	mediolateral antennal lobe tract projection neuron 2
catmaid_fafb	4662243	is_a	FlyBase:FBrf0246460	mediolateral antennal lobe tract projection neuron 2
catmaid_fafb	4927529	is_a	FlyBase:FBrf0246460	mediolateral antennal lobe tract projection neuron 2
catmaid_fafb	4949516	is_a	FlyBase:FBrf0246460	mediolateral antennal lobe tract projection neuron 2
catmaid_fafb	5485737	is_a	FlyBase:FBrf0246460	mediolateral antennal lobe tract projection neuron 2
catmaid_fafb	6622015	is_a	FlyBase:FBrf0246460	mediolateral antennal lobe tract projection neuron 2
catmaid_fafb	6696675	is_a	FlyBase:FBrf0246460	mediolateral antennal lobe tract projection neuron 2
catmaid_fafb	6698696	is_a	FlyBase:FBrf0246460	mediolateral antennal lobe tract projection neuron 2
catmaid_fafb	6699444	is_a	FlyBase:FBrf0246460	mediolateral antennal lobe tract projection neuron 2
catmaid_fafb	6700447	is_a	FlyBase:FBrf0246460	mediolateral antennal lobe tract projection neuron 2
catmaid_fafb	6701307	is_a	FlyBase:FBrf0246460	mediolateral antennal lobe tract projection neuron 2
catmaid_fafb	6701319	is_a	FlyBase:FBrf0246460	mediolateral antennal lobe tract projection neuron 2
catmaid_fafb	6702019	is_a	FlyBase:FBrf0246460	mediolateral antennal lobe tract projection neuron 2
catmaid_fafb	6967069	is_a	FlyBase:FBrf0246460	mediolateral antennal lobe tract projection neuron 2
catmaid_fafb	2766186	is_a	FlyBase:FBrf0246460	mediolateral antennal lobe tract projection neuron 3
catmaid_fafb	3003322	is_a	FlyBase:FBrf0246460	mediolateral antennal lobe tract projection neuron 3
catmaid_fafb	4926877	is_a	FlyBase:FBrf0246460	mediolateral antennal lobe tract projection neuron 3
catmaid_fafb	4041464	is_a	FlyBase:FBrf0246460	transverse antennal lobe tract 1 projection neuron 1
