subject_id	object	relation	pub	subject_name
VFB_fw040796	adult clavicle subesophageal neuron	is_a	FlyBase:FBrf0260565	FlyWire:720575940655014049
VFB_fw041395	adult clavicle subesophageal neuron	is_a	FlyBase:FBrf0260565	FlyWire:720575940632648868
