subject_external_id	subject_name	object	pub	comment	subject_external_db	relation
513784136	FB1G	fan-shaped neuron F1	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1224595608	FB2F_a	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
453765256	FB2F_a	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
5813022502	FB2F_a	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
670651346	FB2F_a	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
640804169	FB2F_a	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
730169579	FB2F_a	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
454089465	FB6Y	fan-shaped neuron F6	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
454939928	FB6Y	fan-shaped neuron F6	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
640470684	FB2F_b	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
578397434	FB2F_b	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
546852112	FB2F_b	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
700498286	FB2F_b	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1224258904	FB2F_b	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
640298617	FB2F_b	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
486842208	FB5C	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
5812983636	FB5C	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
734801540	FB2D	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
639779973	FB2D	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1075827302	FB2D	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1194246820	FB2D	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1168733095	FB2D	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1224595289	FB2D	fan-shaped neuron F2	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
485430434	aSP-g1	adult fruitless aSP-g1 neuron			neuprint_JRC_Hemibrain_1point1	is_a
485775679	aSP-g1	adult fruitless aSP-g1 neuron			neuprint_JRC_Hemibrain_1point1	is_a
887148641	aSP-g1	adult fruitless aSP-g1 neuron			neuprint_JRC_Hemibrain_1point1	is_a
610916994	aSP-g1	adult fruitless aSP-g1 neuron			neuprint_JRC_Hemibrain_1point1	is_a
949534412	aSP-g1	adult fruitless aSP-g1 neuron			neuprint_JRC_Hemibrain_1point1	is_a
550655668	oviDNa	oviposition descending neuron a	FlyBase:FBrf0245074		neuprint_JRC_Hemibrain_1point1	is_a
487523851	FB5B	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
548571023	FB5B	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1070797450	FB5B	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
549744594	FB5B	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
581121058	FB5B	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
977335062	FB5B	fan-shaped neuron F5	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
386825636	LHPD3a3_a	adult lateral horn PD3a3 neuron	FlyBase:FBrf0242628		neuprint_JRC_Hemibrain_1point1	is_a
1670969304	M_lvPNm28	adult multiglomerular antennal lobe projection neuron lvPN	FlyBase:FBrf0246460		neuprint_JRC_Hemibrain_1point1	is_a
1011068028	FB6R	fan-shaped neuron F6	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
576208238	FB6R	fan-shaped neuron F6	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
5813088458	FB6R	fan-shaped neuron F6	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
1974846717	MZ_lvPN	adult multiglomerular antennal lobe projection neuron lvPN	FlyBase:FBrf0246460		neuprint_JRC_Hemibrain_1point1	is_a
949045811	FB8B	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
977995787	FB8B	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
668716892	FB8B	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
885262169	FB8B	fan-shaped neuron F8	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
518899665	LHPV4m1	adult lateral horn PV4m1 neuron	doi:10.1101/2020.08.29.273276		neuprint_JRC_Hemibrain_1point1	is_a
669852092	LHAV4e4	adult lateral horn AV4e4 neuron			neuprint_JRC_Hemibrain_1point1	is_a
638136190	LHAV4e4	adult lateral horn AV4e4 neuron			neuprint_JRC_Hemibrain_1point1	is_a
5813041796	FB4X	fan-shaped neuron F4	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
548907426	FB4X	fan-shaped neuron F4	FlyBase:FBrf0246888		neuprint_JRC_Hemibrain_1point1	is_a
