subject_id	object	relation	pub	subject_name	comment
VFB_jrmc2mj9	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN19A007_L (MaleCNS:800494)	male-cns:v1.0 260624
VFB_jrmc2shg	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN13A006_L (MaleCNS:800642)	male-cns:v1.0 260624
VFB_jrmc2lee	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN14A001_R (MaleCNS:800858)	male-cns:v1.0 260624
VFB_jrmc2l58	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN13B025_R (MaleCNS:801331)	male-cns:v1.0 260624
VFB_jrmc2shy	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN13A009_L (MaleCNS:801609)	male-cns:v1.0 260624
VFB_jrmc2nup	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN21A019_L (MaleCNS:801723)	male-cns:v1.0 260624
VFB_jrmc2n70	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN20A.22A006_L (MaleCNS:801729)	male-cns:v1.0 260624
VFB_jrmc2ntx	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN21A015_L (MaleCNS:801757)	male-cns:v1.0 260624
VFB_jrmc2n71	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN20A.22A006_L (MaleCNS:801854)	male-cns:v1.0 260624
VFB_jrmc2mm0	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN19A029_L (MaleCNS:802043)	male-cns:v1.0 260624
VFB_jrmc2mm6	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN19A030_L (MaleCNS:802213)	male-cns:v1.0 260624
VFB_jrmc2w6d	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN03A070_L (MaleCNS:802395)	male-cns:v1.0 260624
VFB_jrmc2v1i	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN01A032_R (MaleCNS:802417)	male-cns:v1.0 260624
VFB_jrmc2vaf	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN01B006_L (MaleCNS:803079)	male-cns:v1.0 260624
VFB_jrmc2vb1	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN01B010_L (MaleCNS:804187)	male-cns:v1.0 260624
VFB_jrmc2vd4	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN01B027_a_L (MaleCNS:804285)	male-cns:v1.0 260624
VFB_jrmc2l5i	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN13B026_R (MaleCNS:804458)	male-cns:v1.0 260624
VFB_jrmc2vxh	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN03A026_c_L (MaleCNS:805795)	male-cns:v1.0 260624
VFB_jrmc2w4q	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN03A064_L (MaleCNS:805905)	male-cns:v1.0 260624
VFB_jrmc2lq5	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN14A104_R (MaleCNS:805989)	male-cns:v1.0 260624
VFB_jrmc2vd8	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN01B027_b_L (MaleCNS:806287)	male-cns:v1.0 260624
VFB_jrmc2nkf	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN20A.22A061,IN20A.22A066_L (MaleCNS:807058)	male-cns:v1.0 260624
VFB_jrmc2m4c	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN16B108_L (MaleCNS:807259)	male-cns:v1.0 260624
VFB_jrmc3kov	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	None (MaleCNS:808622)	male-cns:v1.0 260624
VFB_jrmc2vcs	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN01B025_L (MaleCNS:808804)	male-cns:v1.0 260624
VFB_jrmc2mr1	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN19A073_L (MaleCNS:808833)	male-cns:v1.0 260624
VFB_jrmc2l7z	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN13B044_R (MaleCNS:809506)	male-cns:v1.0 260624
VFB_jrmc2vgp	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN01B059_a_L (MaleCNS:810062)	male-cns:v1.0 260624
VFB_jrmc2vdn	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN01B031_a_L (MaleCNS:810308)	male-cns:v1.0 260624
VFB_jrmc2vey	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN01B042_L (MaleCNS:810718)	male-cns:v1.0 260624
VFB_jrmc2lda	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN13B090_R (MaleCNS:811705)	male-cns:v1.0 260624
VFB_jrmc2vei	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN01B039_L (MaleCNS:813232)	male-cns:v1.0 260624
VFB_jrmc2l02	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN13A059_L (MaleCNS:813292)	male-cns:v1.0 260624
VFB_jrmc2l15	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN13A067_L (MaleCNS:815876)	male-cns:v1.0 260624
VFB_jrmc2mv4	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN19A108_L (MaleCNS:818838)	male-cns:v1.0 260624
VFB_jrmc2mv5	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN19A108_L (MaleCNS:820279)	male-cns:v1.0 260624
VFB_jrmc2mv6	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN19A108_L (MaleCNS:821388)	male-cns:v1.0 260624
VFB_jrmc2mnt	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN19A046_L (MaleCNS:824236)	male-cns:v1.0 260624
VFB_jrmc2vd5	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN01B027_a_L (MaleCNS:902527)	male-cns:v1.0 260624
VFB_jrmc2ml7	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN19A021_L (MaleCNS:902676)	male-cns:v1.0 260624
VFB_jrmc2njx	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN20A.22A059_L (MaleCNS:903394)	male-cns:v1.0 260624
VFB_jrmc2w5z	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN03A068_L (MaleCNS:903536)	male-cns:v1.0 260624
VFB_jrmc2vcf	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN01B023_b_L (MaleCNS:903888)	male-cns:v1.0 260624
VFB_jrmc2p7m	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN04B088_L (MaleCNS:904107)	male-cns:v1.0 260624
VFB_jrmc2lcb	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN13B080_R (MaleCNS:904124)	male-cns:v1.0 260624
VFB_jrmc2n7b	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN20A.22A007_L (MaleCNS:904673)	male-cns:v1.0 260624
VFB_jrmc2vcd	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN01B023_a_L (MaleCNS:905530)	male-cns:v1.0 260624
VFB_jrmc2sl5	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN13A031_L (MaleCNS:906562)	male-cns:v1.0 260624
VFB_jrmc2nkb	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN20A.22A060_L (MaleCNS:908763)	male-cns:v1.0 260624
VFB_jrmc2wa1	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN03A092_L (MaleCNS:909172)	male-cns:v1.0 260624
VFB_jrmc2lqp	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN14A108_R (MaleCNS:914659)	male-cns:v1.0 260624
VFB_jrmc2mnu	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN19A046_L (MaleCNS:934920)	male-cns:v1.0 260624
VFB_jrmc2vca	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN01B022_L (MaleCNS:936507)	male-cns:v1.0 260624
VFB_jrmc2w0c	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN03A041_L (MaleCNS:956608)	male-cns:v1.0 260624
VFB_jrmc2vd9	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN01B027_b_L (MaleCNS:1051323883)	male-cns:v1.0 260624
VFB_jrmc2wa3	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN03A093_R (MaleCNS:808692)	male-cns:v1.0 260624
VFB_jrmc2nhk	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN20A.22A050_R (MaleCNS:812849)	male-cns:v1.0 260624
VFB_jrmc2war	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN03A096_R (MaleCNS:815671)	male-cns:v1.0 260624
VFB_jrmc2was	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN03A096_L (MaleCNS:818003)	male-cns:v1.0 260624
VFB_jrmc2mxf	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN19B003_R (MaleCNS:800159)	male-cns:v1.0 260624
VFB_jrmc2vxd	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN03A026_b_L (MaleCNS:800416)	male-cns:v1.0 260624
VFB_jrmc2l2f	right side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN13B005_R (MaleCNS:800422)	male-cns:v1.0 260624
VFB_jrmc2vvc	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN03A006_L (MaleCNS:800646)	male-cns:v1.0 260624
VFB_jrmc2vwx	left side of organism	has_soma_location	doi:10.1101/2025.10.09.680999	IN03A021_L (MaleCNS:800681)	male-cns:v1.0 260624
