filename	synonyms	is_a	part_of	label
a'1(R)	a'1(R)	mushroom body alpha' lobe slice 1	adult brain	a'1(R) on JRC_FlyEM_Hemibrain
a'2(R)	a'2(R)	mushroom body alpha' lobe slice 2	adult brain	a'2(R) on JRC_FlyEM_Hemibrain
b'1(R)	b'1(R)	mushroom body beta' lobe slice 1	adult brain	b'1(R) on JRC_FlyEM_Hemibrain
b'2(R)	b'2(R)	mushroom body beta' lobe slice 2	adult brain	b'2(R) on JRC_FlyEM_Hemibrain
a'3(R)	a'3(R)	mushroom body alpha' lobe slice 3	adult brain	a'3(R) on JRC_FlyEM_Hemibrain
NO	NO	nodulus	adult brain	NO on JRC_FlyEM_Hemibrain
NO(L)	NO(L)	nodulus	adult brain	NO(L) on JRC_FlyEM_Hemibrain
NO(R)	NO(R)	nodulus	adult brain	NO(R) on JRC_FlyEM_Hemibrain
a1(R)	a1(R)	mushroom body alpha lobe slice 1	adult brain	a1(R) on JRC_FlyEM_Hemibrain
a2(R)	a2(R)	mushroom body alpha lobe slice 2	adult brain	a2(R) on JRC_FlyEM_Hemibrain
a3(R)	a3(R)	mushroom body alpha lobe slice 3	adult brain	a3(R) on JRC_FlyEM_Hemibrain
AL-D(L)	AL-D(L)	antennal lobe glomerulus D	adult brain	AL-D(L) on JRC_FlyEM_Hemibrain
AL-D(R)	AL-D(R)	antennal lobe glomerulus D	adult brain	AL-D(R) on JRC_FlyEM_Hemibrain
AL-DA1(R)	AL-DA1(R)	antennal lobe glomerulus DA1	adult brain	AL-DA1(R) on JRC_FlyEM_Hemibrain
AL-DA2(L)	AL-DA2(L)	antennal lobe glomerulus DA2	adult brain	AL-DA2(L) on JRC_FlyEM_Hemibrain
AL-DA2(R)	AL-DA2(R)	antennal lobe glomerulus DA2	adult brain	AL-DA2(R) on JRC_FlyEM_Hemibrain
AL-DA3(L)	AL-DA3(L)	antennal lobe glomerulus DA3	adult brain	AL-DA3(L) on JRC_FlyEM_Hemibrain
AL-DA3(R)	AL-DA3(R)	antennal lobe glomerulus DA3	adult brain	AL-DA3(R) on JRC_FlyEM_Hemibrain
AL-DA4l(R)	AL-DA4l(R)	antennal lobe glomerulus DA4l	adult brain	AL-DA4l(R) on JRC_FlyEM_Hemibrain
