subject_id	subject_name	DataSet	relation	object	Curator
VFB_0010028x	FB2IN-13 (L1EM:17280216)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010025l	FBN-18 (L1EM:10209260)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010027a	CN-19 (L1EM:14083681)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010028y	FAN-5 (L1EM:17300165)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010024t	FBN-19 (L1EM:9064208)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010028b	CN-33 (L1EM:16699958)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010023c	FB2IN-15 (L1EM:5091874)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010022g	FFN-2 (L1EM:2667061)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010027b	FFN-15 (L1EM:14127447)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010023i	FFN-34 (L1EM:5679304)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010025a	FB2IN-10 (L1EM:9252296)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010028j	FAN-9 (L1EM:16987409)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010027g	FB2IN-9 (L1EM:15343835)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010028k	FFN-38 (L1EM:17015609)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010022r	FFN-8 (L1EM:4201020)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010028g	FFN-41 (L1EM:16933362)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010023m	FBN-19 (L1EM:5934511)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010027h	FFN-26 (L1EM:15478720)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010022s	FB2IN-10 (L1EM:4201555)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010028l	FFN-32 (L1EM:17107661)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010023k	FAN-6 (L1EM:5738449)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010027o	FFN-10 (L1EM:15674269)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010026k	FFN-11 (L1EM:12356747)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010027i	CN-13 (L1EM:15480928)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010025m	FFN-24 (L1EM:10281116)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010023l	FBN-27 (L1EM:5870071)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010025y	FFN-20 (L1EM:11234536)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010027d	FAN-9 (L1EM:14260575)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010023w	FBN-25 (L1EM:7574701)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010026a	FB2IN-20 (L1EM:11476614)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010026n	FFN-17 (L1EM:12479019)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010025d	FB2IN-4 (L1EM:9457719)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010022m	FBN-27 (L1EM:4144377)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010028c	CN-25 (L1EM:16823703)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010025v	FBN-12 (L1EM:11013351)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010025w	FBN-6 (L1EM:11018254)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010024r	FBN-11 (L1EM:9057043)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010022v	FAN-8 (L1EM:4408397)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010025g	FBN-9 (L1EM:9527522)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010023d	FBN-14 (L1EM:5321459)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010026l	FFN-10 (L1EM:12389097)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010026j	FFN-29 (L1EM:12325227)	Eschbach2020	part_of	larval nervous system	cp390
VFB_0010024c	CN-7 (L1EM:8075484)	Eschbach2020	part_of	larval nervous system	cp390
