subject_id	object	pub	relation	comment	subject_name
VFB_jrchjzja	adult lateral horn PV5m1 neuron		is_a	hemibrain:v1.2.1 260818	LHPV5m1_R (FlyEM-HB:1005119041)
VFB_jrchjyxo	adult lateral horn AV4f1 neuron		is_a	hemibrain:v1.2.1 260818	LHAV4f1_R (FlyEM-HB:1130605683)
VFB_jrchjyxp	adult lateral horn AV4f1 neuron		is_a	hemibrain:v1.2.1 260818	LHAV4f1_R (FlyEM-HB:1259528984)
VFB_jrchk7al	aristal sensory neuron VP3	doi:10.1016/j.cub.2020.06.028	is_a	hemibrain:v1.2.1 260818	TRN_VP3_R (FlyEM-HB:2100670439)
VFB_jrchk7ak	aristal sensory neuron VP3	doi:10.1016/j.cub.2020.06.028	is_a	hemibrain:v1.2.1 260818	TRN_VP3_R (FlyEM-HB:2132037566)
VFB_jrchk7aj	aristal sensory neuron VP3	doi:10.1016/j.cub.2020.06.028	is_a	hemibrain:v1.2.1 260818	TRN_VP3_R (FlyEM-HB:2131696932)
VFB_jrchk7am	aristal sensory neuron VP3	doi:10.1016/j.cub.2020.06.028	is_a	hemibrain:v1.2.1 260818	TRN_VP3_R (FlyEM-HB:2256509698)
VFB_jrchjz7e	adult lateral horn PD3a4 neuron		is_a	hemibrain:v1.2.1 260818	LHPD3a4_c_R (FlyEM-HB:386825720)
VFB_jrchjz74	adult lateral horn PD3a3 neuron		is_a	hemibrain:v1.2.1 260818	LHPD3a3_b_R (FlyEM-HB:386825792)
VFB_jrchjz7c	adult lateral horn PD3a4 neuron		is_a	hemibrain:v1.2.1 260818	LHPD3a4_b_R (FlyEM-HB:356131764)
VFB_jrchjz79	adult lateral horn PD3a4 neuron		is_a	hemibrain:v1.2.1 260818	LHPD3a4_b_R (FlyEM-HB:448225646)
VFB_jrchjz7d	adult lateral horn PD3a4 neuron		is_a	hemibrain:v1.2.1 260818	LHPD3a4_c_R (FlyEM-HB:480918798)
VFB_jrchjz7b	adult lateral horn PD3a4 neuron		is_a	hemibrain:v1.2.1 260818	LHPD3a4_b_R (FlyEM-HB:510926056)
VFB_jrchjz76	adult lateral horn PD3a3 neuron		is_a	hemibrain:v1.2.1 260818	LHPD3a3_c_R (FlyEM-HB:480577749)
VFB_jrchjz7f	adult lateral horn PD3a4 neuron		is_a	hemibrain:v1.2.1 260818	LHPD3a4_c_R (FlyEM-HB:511267109)
VFB_jrchjz7g	adult lateral horn PD3a4 neuron		is_a	hemibrain:v1.2.1 260818	LHPD3a4_c_R (FlyEM-HB:511267220)
VFB_jrchjz78	adult lateral horn PD3a4 neuron		is_a	hemibrain:v1.2.1 260818	LHPD3a4_a_R (FlyEM-HB:511271342)
VFB_jrchjz75	adult lateral horn PD3a3 neuron		is_a	hemibrain:v1.2.1 260818	LHPD3a3_b_R (FlyEM-HB:511616870)
VFB_jrchjz77	adult lateral horn PD3a3 neuron		is_a	hemibrain:v1.2.1 260818	LHPD3a3_c_R (FlyEM-HB:572650358)
VFB_jrchjzj9	adult lateral horn PV5m1 neuron		is_a	hemibrain:v1.2.1 260818	LHPV5m1_R (FlyEM-HB:5812982844)
VFB_jrchjz7a	adult lateral horn PD3a4 neuron		is_a	hemibrain:v1.2.1 260818	LHPD3a4_b_R (FlyEM-HB:5813035164)
VFB_jrchjzjb	adult lateral horn PV5m1 neuron		is_a	hemibrain:v1.2.1 260818	LHPV5m1_R (FlyEM-HB:973047668)
