filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-3085339829043462242	JRC_SS96091_Brain_20220624_41_A2_20x	P{VT056359-p65.AD}	P{VT002021-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS96091|JRC_SS96091	FlyLightSplit:SS96091|FlyLightSplitSlideCode:20220624_41_A2|jrc_slide_code_api:20220624_41_A2|neuronbridge:SS96091	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20220624_41_A2', age: 'Day 1-5'
20x-Brain-3129970539892834402	JRC_SS96091_Brain_20221021_43_G4_20x	P{VT056359-p65.AD}	P{VT002021-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS96091|JRC_SS96091	FlyLightSplit:SS96091|FlyLightSplitSlideCode:20221021_43_G4|jrc_slide_code_api:20221021_43_G4|neuronbridge:SS96091	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20221021_43_G4', age: 'Day 1-5'
20x-Brain-3189415226726416543	JRC_SS96091_Brain_20230406_32_H1_20x	P{VT056359-p65.AD}	P{VT002021-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS96091|JRC_SS96091	FlyLightSplit:SS96091|FlyLightSplitSlideCode:20230406_32_H1|jrc_slide_code_api:20230406_32_H1|neuronbridge:SS96091	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20230406_32_H1', age: 'Adult'
20x-Brain-3130977681592549474	JRC_SS96091_Brain_20221021_44_G6_20x	P{VT056359-p65.AD}	P{VT002021-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS96091|JRC_SS96091	FlyLightSplit:SS96091|FlyLightSplitSlideCode:20221021_44_G6|jrc_slide_code_api:20221021_44_G6|neuronbridge:SS96091	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20221021_44_G6', age: 'Day 1-5'
20x-VNC-3085339829043462242	JRC_SS96091_VNC_20220624_41_A2_20x	P{VT056359-p65.AD}	P{VT002021-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS96091|JRC_SS96091	FlyLightSplit:SS96091|FlyLightSplitSlideCode:20220624_41_A2|jrc_slide_code_api:20220624_41_A2|neuronbridge:SS96091	tile(s): 'ventral_nerve_cord', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20220624_41_A2', age: 'Day 1-5'
20x-VNC-3129970539892834402	JRC_SS96091_VNC_20221021_43_G4_20x	P{VT056359-p65.AD}	P{VT002021-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS96091|JRC_SS96091	FlyLightSplit:SS96091|FlyLightSplitSlideCode:20221021_43_G4|jrc_slide_code_api:20221021_43_G4|neuronbridge:SS96091	tile(s): 'ventral_nerve_cord', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20221021_43_G4', age: 'Day 1-5'
20x-VNC-3189415226726416543	JRC_SS96091_VNC_20230406_32_H1_20x	P{VT056359-p65.AD}	P{VT002021-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS96091|JRC_SS96091	FlyLightSplit:SS96091|FlyLightSplitSlideCode:20230406_32_H1|jrc_slide_code_api:20230406_32_H1|neuronbridge:SS96091	tile(s): 'ventral_nerve_cord', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20230406_32_H1', age: 'Adult'
20x-VNC-3130977681592549474	JRC_SS96091_VNC_20221021_44_G6_20x	P{VT056359-p65.AD}	P{VT002021-GAL4.DBD}	male organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS96091|JRC_SS96091	FlyLightSplit:SS96091|FlyLightSplitSlideCode:20221021_44_G6|jrc_slide_code_api:20221021_44_G6|neuronbridge:SS96091	tile(s): 'ventral_nerve_cord', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20221021_44_G6', age: 'Day 1-5'
