filename	label	AD	DBD	part_of
Janelia-2237375082517233701-Brain-20x_nrs_jacs_jacsData_filestore_wolfft_Alignment_778_018_2239560032477778018_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS04778_Brain_2020__1	P{R47G08-p65.AD}	P{VT012791-GAL4.DBD}	female organism|adult brain
Janelia-2237378331437695074-Brain-20x_nrs_jacs_jacsData_filestore_wolfft_Alignment_424_868_2586730564610424868_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS00190_Brain_2020__1	P{R38G07-p65.AD}	P{R30E10-GAL4.DBD}	female organism|adult brain
Janelia-2244284421903482978-Brain-20x_nrs_jacs_jacsData_filestore_wolfft_Alignment_153_636_2586726271392153636_align_REG_JRC2018_FEMALE_20x_HR_8bitc_J18U_SG	JRC_SS25983_Brain_2020__1	P{R47G08-p65.AD}	P{R26F04-GAL4.DBD}	female organism|adult brain
Janelia-2482724465448845410-Brain-20x_nrs_jacs_jacsData_filestore_wolfft_Alignment_160_418_2482730931782160418_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS47384_Brain_2020__1	P{VT048946-p65.AD}	P{VT008882-GAL4.DBD}	female organism|adult brain
Janelia-2482724465771806818-Brain-20x_nrs_jacs_jacsData_filestore_wolfft_Alignment_820_772_2482730614952820772_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS47392_Brain_2020__1	P{VT003229-p65.AD}	P{VT008882-GAL4.DBD}	female organism|adult brain
Janelia-2483027150324629602-Brain-20x_nrs_jacs_jacsData_filestore_wolfft_Alignment_114_721_2483033174272114721_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS47449_Brain_2020__1	P{R38D03-p65.AD}	P{VT024603-GAL4.DBD}	female organism|adult brain
Janelia-2483027150765031522-Brain-20x_nrs_jacs_jacsData_filestore_wolfft_Alignment_614_626_2483032863310614626_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS47436_Brain_2020__1	P{R12G04-p65.AD}	P{VT046049-GAL4.DBD}	female organism|adult brain
Janelia-2483057097999122530-Brain-20x_nrs_jacs_jacsData_filestore_wolfft_Alignment_987_617_2483062680881987617_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS47398_Brain_2020__1	P{VT020742-p65.AD}	P{VT017270-GAL4.DBD}	female organism|adult brain
Janelia-2483057098376609890-Brain-20x_nrs_jacs_jacsData_filestore_wolfft_Alignment_951_778_2483062245722951778_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS47467_Brain_2020__1	P{R48H02-p65.AD}	P{VT038448-GAL4.DBD}	female organism|adult brain
Janelia-2488158089967042658-Brain-20x_nrs_jacs_jacsData_filestore_wolfft_Alignment_551_393_2488164629201551393_align_AlignedFlyBrain_8bitc_J18U_SG	JRC_SS47356_Brain_2020__1	P{VT038448-p65.AD}	P{VT045508-GAL4.DBD}	female organism|adult brain
