filename	label	AD	DBD	part_of	Template
63x-Brain-2264660344293031973	JRC_OL0047B_Brain_2017_20131122_32_H5	P{R19G02-p65.AD}	P{R12E04-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-1958771141761826914	JRC_OL0047B_Brain_2017_20131122_32_I1	P{R19G02-p65.AD}	P{R12E04-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-1958771132358197346	JRC_OL0047B_Brain_2017_20131122_32_H6	P{R19G02-p65.AD}	P{R12E04-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2210492790591193186	JRC_SS03752_Brain_2017_20150828_19_E6	P{R38G02-p65.AD}	P{R24A07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2210492739483598946	JRC_SS03752_Brain_2017_20150828_19_E5	P{R38G02-p65.AD}	P{R24A07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2184353346817622114	JRC_SS03752_Brain_2017_20150805_31_E4	P{R38G02-p65.AD}	P{R24A07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2184353338349322338	JRC_SS03752_Brain_2017_20150805_31_E3	P{R38G02-p65.AD}	P{R24A07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2002548901436981346	JRC_SS00810_Brain_2017_20140421_31_D1	P{R28D05-p65.AD}	P{R55H05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-1973267196901589090	JRC_SS00810_Brain_2017_20140124_19_D5	P{R28D05-p65.AD}	P{R55H05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-1973267193533562978	JRC_SS00810_Brain_2017_20140124_19_D1	P{R28D05-p65.AD}	P{R55H05-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-1978638004108918882	JRC_OL0047B_Brain_2017_20131126_32_A7	P{R19G02-p65.AD}	P{R12E04-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-1965223366025543687	JRC_OL0047B_Brain_2017_20131210_32_E1	P{R19G02-p65.AD}	P{R12E04-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-1978637843060228194	JRC_OL0047B_Brain_2017_20131125_32_A1	P{R19G02-p65.AD}	P{R12E04-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-1958771150561476706	JRC_OL0047B_Brain_2017_20131122_32_I2	P{R19G02-p65.AD}	P{R12E04-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
63x-Brain-2229027399285080162	JRC_OL0047B_Brain_2017_20131122_32_H8	P{R19G02-p65.AD}	P{R12E04-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c
20x-VNC-1965223366025543687	JRC_OL0047B_VNC_2017_20131210_32_E1	P{R19G02-p65.AD}	P{R12E04-GAL4.DBD}	female organism|adult ventral nervous system	JRC2018UnisexVNC_c
20x-VNC-2002548901436981346	JRC_SS00810_VNC_2017_20140421_31_D1	P{R28D05-p65.AD}	P{R55H05-GAL4.DBD}	female organism|adult ventral nervous system	JRC2018UnisexVNC_c
20x-VNC-2184353338349322338	JRC_SS03752_VNC_2017_20150805_31_E3	P{R38G02-p65.AD}	P{R24A07-GAL4.DBD}	female organism|adult ventral nervous system	JRC2018UnisexVNC_c
