filename	synonyms	is_a	part_of	label	Template
FBl4	FBl4	fan-shaped body layer 4	male organism|adult brain	FBl4 on JRC2018Unisex	JRC2018Unisex_c
FBl5	FBl5	fan-shaped body layer 5	male organism|adult brain	FBl5 on JRC2018Unisex	JRC2018Unisex_c
FBl6	FBl6	fan-shaped body layer 6	male organism|adult brain	FBl6 on JRC2018Unisex	JRC2018Unisex_c
FBl7	FBl7	fan-shaped body layer 7	male organism|adult brain	FBl7 on JRC2018Unisex	JRC2018Unisex_c
FBl8	FBl8	fan-shaped body layer 8	male organism|adult brain	FBl8 on JRC2018Unisex	JRC2018Unisex_c
FBl9	FBl9	fan-shaped body layer 9	male organism|adult brain	FBl9 on JRC2018Unisex	JRC2018Unisex_c
FLA(L)	FLA(L)	flange	male organism|adult brain|left side of organism	FLA(L) on JRC2018Unisex	JRC2018Unisex_c
FLA(R)	FLA(R)	flange	male organism|adult brain|right side of organism	FLA(R) on JRC2018Unisex	JRC2018Unisex_c
GA(L)	GA(L)	gall	male organism|adult brain|left side of organism	GA(L) on JRC2018Unisex	JRC2018Unisex_c
GA(R)	GA(R)	gall	male organism|adult brain|right side of organism	GA(R) on JRC2018Unisex	JRC2018Unisex_c
GNG	GNG	gnathal ganglion	male organism|adult brain	GNG on JRC2018Unisex	JRC2018Unisex_c
GOR(L)	GOR(L)	gorget	male organism|adult brain|left side of organism	GOR(L) on JRC2018Unisex	JRC2018Unisex_c
GOR(R)	GOR(R)	gorget	male organism|adult brain|right side of organism	GOR(R) on JRC2018Unisex	JRC2018Unisex_c
HTct(UTct-T3)(L)	HTct(UTct-T3)(L)	haltere neuropil	male organism|adult ventral nerve cord|left side of organism	HTct(UTct-T3)(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
HTct(UTct-T3)(R)	HTct(UTct-T3)(R)	haltere neuropil	male organism|adult ventral nerve cord|right side of organism	HTct(UTct-T3)(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
IB	IB	inferior bridge	male organism|adult brain	IB on JRC2018Unisex	JRC2018Unisex_c
ICL(L)	ICL(L)	inferior clamp	male organism|adult brain|left side of organism	ICL(L) on JRC2018Unisex	JRC2018Unisex_c
ICL(R)	ICL(R)	inferior clamp	male organism|adult brain|right side of organism	ICL(R) on JRC2018Unisex	JRC2018Unisex_c
INP	INP	inferior neuropils	male organism|adult brain	INP on JRC2018Unisex	JRC2018Unisex_c
IPS(L)	IPS(L)	inferior posterior slope	male organism|adult brain|left side of organism	IPS(L) on JRC2018Unisex	JRC2018Unisex_c
IPS(R)	IPS(R)	inferior posterior slope	male organism|adult brain|right side of organism	IPS(R) on JRC2018Unisex	JRC2018Unisex_c
IntTct	IntTct	intermediate tectulum	male organism|adult ventral nerve cord	IntTct on JRC2018UnisexVNC	JRC2018UnisexVNC_c
LA(L)	LA(L)	lamina	male organism|adult brain|left side of organism	LA(L) on JRC2018Unisex	JRC2018Unisex_c
LA(R)	LA(R)	lamina	male organism|adult brain|right side of organism	LA(R) on JRC2018Unisex	JRC2018Unisex_c
LAL(-GA)(L)	LAL(-GA)(L)	adult lateral accessory lobe	male organism|adult brain|left side of organism	LAL(-GA)(L) on JRC2018Unisex	JRC2018Unisex_c
LAL(-GA)(R)	LAL(-GA)(R)	adult lateral accessory lobe	male organism|adult brain|right side of organism	LAL(-GA)(R) on JRC2018Unisex	JRC2018Unisex_c
LAL(L)	LAL(L)	adult lateral accessory lobe	male organism|adult brain|left side of organism	LAL(L) on JRC2018Unisex	JRC2018Unisex_c
LAL(R)	LAL(R)	adult lateral accessory lobe	male organism|adult brain|right side of organism	LAL(R) on JRC2018Unisex	JRC2018Unisex_c
LH(L)	LH(L)	adult lateral horn	male organism|adult brain|left side of organism	LH(L) on JRC2018Unisex	JRC2018Unisex_c
LH(R)	LH(R)	adult lateral horn	male organism|adult brain|right side of organism	LH(R) on JRC2018Unisex	JRC2018Unisex_c
LO(L)	LO(L)	lobula	male organism|adult brain|left side of organism	LO(L) on JRC2018Unisex	JRC2018Unisex_c
LO(R)	LO(R)	lobula	male organism|adult brain|right side of organism	LO(R) on JRC2018Unisex	JRC2018Unisex_c
LOP(L)	LOP(L)	lobula plate	male organism|adult brain|left side of organism	LOP(L) on JRC2018Unisex	JRC2018Unisex_c
LOP(R)	LOP(R)	lobula plate	male organism|adult brain|right side of organism	LOP(R) on JRC2018Unisex	JRC2018Unisex_c
LOP_L_layer_1	LOP_L_layer_1	lobula plate layer 1	male organism|adult brain|left side of organism	LOP_L_layer_1 on JRC2018Unisex	JRC2018Unisex_c
LOP_L_layer_2	LOP_L_layer_2	lobula plate layer 2	male organism|adult brain|left side of organism	LOP_L_layer_2 on JRC2018Unisex	JRC2018Unisex_c
LOP_L_layer_3	LOP_L_layer_3	lobula plate layer 3	male organism|adult brain|left side of organism	LOP_L_layer_3 on JRC2018Unisex	JRC2018Unisex_c
LOP_L_layer_4	LOP_L_layer_4	lobula plate layer 4	male organism|adult brain|left side of organism	LOP_L_layer_4 on JRC2018Unisex	JRC2018Unisex_c
LOP_R_layer_1	LOP_R_layer_1	lobula plate layer 1	male organism|adult brain|right side of organism	LOP_R_layer_1 on JRC2018Unisex	JRC2018Unisex_c
LOP_R_layer_2	LOP_R_layer_2	lobula plate layer 2	male organism|adult brain|right side of organism	LOP_R_layer_2 on JRC2018Unisex	JRC2018Unisex_c
LOP_R_layer_3	LOP_R_layer_3	lobula plate layer 3	male organism|adult brain|right side of organism	LOP_R_layer_3 on JRC2018Unisex	JRC2018Unisex_c
LOP_R_layer_4	LOP_R_layer_4	lobula plate layer 4	male organism|adult brain|right side of organism	LOP_R_layer_4 on JRC2018Unisex	JRC2018Unisex_c
LO_L_layer_1	LO_L_layer_1	lobula layer 1	male organism|adult brain|left side of organism	LO_L_layer_1 on JRC2018Unisex	JRC2018Unisex_c
LO_L_layer_2	LO_L_layer_2	lobula layer 2	male organism|adult brain|left side of organism	LO_L_layer_2 on JRC2018Unisex	JRC2018Unisex_c
LO_L_layer_3	LO_L_layer_3	lobula layer 3	male organism|adult brain|left side of organism	LO_L_layer_3 on JRC2018Unisex	JRC2018Unisex_c
LO_L_layer_4	LO_L_layer_4	lobula layer 4	male organism|adult brain|left side of organism	LO_L_layer_4 on JRC2018Unisex	JRC2018Unisex_c
LO_L_layer_5	LO_L_layer_5	lobula layer 5A	male organism|adult brain|left side of organism	LO_L_layer_5 on JRC2018Unisex	JRC2018Unisex_c
LO_L_layer_6	LO_L_layer_6	lobula layer 5B	male organism|adult brain|left side of organism	LO_L_layer_6 on JRC2018Unisex	JRC2018Unisex_c
LO_L_layer_7	LO_L_layer_7	lobula layer 6	male organism|adult brain|left side of organism	LO_L_layer_7 on JRC2018Unisex	JRC2018Unisex_c
LO_R_layer_1	LO_R_layer_1	lobula layer 1	male organism|adult brain|right side of organism	LO_R_layer_1 on JRC2018Unisex	JRC2018Unisex_c
LO_R_layer_2	LO_R_layer_2	lobula layer 2	male organism|adult brain|right side of organism	LO_R_layer_2 on JRC2018Unisex	JRC2018Unisex_c
LO_R_layer_3	LO_R_layer_3	lobula layer 3	male organism|adult brain|right side of organism	LO_R_layer_3 on JRC2018Unisex	JRC2018Unisex_c
LO_R_layer_4	LO_R_layer_4	lobula layer 4	male organism|adult brain|right side of organism	LO_R_layer_4 on JRC2018Unisex	JRC2018Unisex_c
LO_R_layer_5	LO_R_layer_5	lobula layer 5A	male organism|adult brain|right side of organism	LO_R_layer_5 on JRC2018Unisex	JRC2018Unisex_c
LO_R_layer_6	LO_R_layer_6	lobula layer 5B	male organism|adult brain|right side of organism	LO_R_layer_6 on JRC2018Unisex	JRC2018Unisex_c
LO_R_layer_7	LO_R_layer_7	lobula layer 6	male organism|adult brain|right side of organism	LO_R_layer_7 on JRC2018Unisex	JRC2018Unisex_c
LTct	LTct	lower tectulum	male organism|adult ventral nerve cord	LTct on JRC2018UnisexVNC	JRC2018UnisexVNC_c
LX(L)	LX(L)	lateral complex	male organism|adult brain|left side of organism	LX(L) on JRC2018Unisex	JRC2018Unisex_c
LX(R)	LX(R)	lateral complex	male organism|adult brain|right side of organism	LX(R) on JRC2018Unisex	JRC2018Unisex_c
LegNp(T1)(L)	LegNp(T1)(L)	adult T1 leg neuropil	male organism|adult ventral nerve cord|left side of organism	LegNp(T1)(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
LegNp(T1)(R)	LegNp(T1)(R)	adult T1 leg neuropil	male organism|adult ventral nerve cord|right side of organism	LegNp(T1)(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
LegNp(T2)(L)	LegNp(T2)(L)	adult T2 leg neuropil	male organism|adult ventral nerve cord|left side of organism	LegNp(T2)(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
LegNp(T2)(R)	LegNp(T2)(R)	adult T2 leg neuropil	male organism|adult ventral nerve cord|right side of organism	LegNp(T2)(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
LegNp(T3)(L)	LegNp(T3)(L)	adult T3 leg neuropil	male organism|adult ventral nerve cord|left side of organism	LegNp(T3)(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
LegNp(T3)(R)	LegNp(T3)(R)	adult T3 leg neuropil	male organism|adult ventral nerve cord|right side of organism	LegNp(T3)(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
MB(L)	MB(L)	adult mushroom body	male organism|adult brain|left side of organism	MB(L) on JRC2018Unisex	JRC2018Unisex_c
MB(R)	MB(R)	adult mushroom body	male organism|adult brain|right side of organism	MB(R) on JRC2018Unisex	JRC2018Unisex_c
ME(L)	ME(L)	medulla	male organism|adult brain|left side of organism	ME(L) on JRC2018Unisex	JRC2018Unisex_c
ME(R)	ME(R)	medulla	male organism|adult brain|right side of organism	ME(R) on JRC2018Unisex	JRC2018Unisex_c
ME_L_layer_01	ME_L_layer_01	medulla layer M1	male organism|adult brain|left side of organism	ME_L_layer_01 on JRC2018Unisex	JRC2018Unisex_c
ME_L_layer_02	ME_L_layer_02	medulla layer M2	male organism|adult brain|left side of organism	ME_L_layer_02 on JRC2018Unisex	JRC2018Unisex_c
ME_L_layer_03	ME_L_layer_03	medulla layer M3	male organism|adult brain|left side of organism	ME_L_layer_03 on JRC2018Unisex	JRC2018Unisex_c
ME_L_layer_04	ME_L_layer_04	medulla layer M4	male organism|adult brain|left side of organism	ME_L_layer_04 on JRC2018Unisex	JRC2018Unisex_c
ME_L_layer_05	ME_L_layer_05	medulla layer M5	male organism|adult brain|left side of organism	ME_L_layer_05 on JRC2018Unisex	JRC2018Unisex_c
ME_L_layer_06	ME_L_layer_06	medulla layer M6	male organism|adult brain|left side of organism	ME_L_layer_06 on JRC2018Unisex	JRC2018Unisex_c
ME_L_layer_07	ME_L_layer_07	medulla serpentine layer	male organism|adult brain|left side of organism	ME_L_layer_07 on JRC2018Unisex	JRC2018Unisex_c
ME_L_layer_08	ME_L_layer_08	medulla layer M8	male organism|adult brain|left side of organism	ME_L_layer_08 on JRC2018Unisex	JRC2018Unisex_c
ME_L_layer_09	ME_L_layer_09	medulla layer M9	male organism|adult brain|left side of organism	ME_L_layer_09 on JRC2018Unisex	JRC2018Unisex_c
ME_L_layer_10	ME_L_layer_10	medulla layer M10	male organism|adult brain|left side of organism	ME_L_layer_10 on JRC2018Unisex	JRC2018Unisex_c
ME_R_layer_01	ME_R_layer_01	medulla layer M1	male organism|adult brain|right side of organism	ME_R_layer_01 on JRC2018Unisex	JRC2018Unisex_c
ME_R_layer_02	ME_R_layer_02	medulla layer M2	male organism|adult brain|right side of organism	ME_R_layer_02 on JRC2018Unisex	JRC2018Unisex_c
ME_R_layer_03	ME_R_layer_03	medulla layer M3	male organism|adult brain|right side of organism	ME_R_layer_03 on JRC2018Unisex	JRC2018Unisex_c
ME_R_layer_04	ME_R_layer_04	medulla layer M4	male organism|adult brain|right side of organism	ME_R_layer_04 on JRC2018Unisex	JRC2018Unisex_c
ME_R_layer_05	ME_R_layer_05	medulla layer M5	male organism|adult brain|right side of organism	ME_R_layer_05 on JRC2018Unisex	JRC2018Unisex_c
ME_R_layer_06	ME_R_layer_06	medulla layer M6	male organism|adult brain|right side of organism	ME_R_layer_06 on JRC2018Unisex	JRC2018Unisex_c
ME_R_layer_07	ME_R_layer_07	medulla serpentine layer	male organism|adult brain|right side of organism	ME_R_layer_07 on JRC2018Unisex	JRC2018Unisex_c
ME_R_layer_08	ME_R_layer_08	medulla layer M8	male organism|adult brain|right side of organism	ME_R_layer_08 on JRC2018Unisex	JRC2018Unisex_c
ME_R_layer_09	ME_R_layer_09	medulla layer M9	male organism|adult brain|right side of organism	ME_R_layer_09 on JRC2018Unisex	JRC2018Unisex_c
ME_R_layer_10	ME_R_layer_10	medulla layer M10	male organism|adult brain|right side of organism	ME_R_layer_10 on JRC2018Unisex	JRC2018Unisex_c
MesoAN(L)	MesoAN(L)	adult mesothoracic accessory nerve	male organism|adult ventral nerve cord|left side of organism	MesoAN(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
MesoAN(R)	MesoAN(R)	adult mesothoracic accessory nerve	male organism|adult ventral nerve cord|right side of organism	MesoAN(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
MesoLN(L)	MesoLN(L)	adult mesothoracic leg nerve	male organism|adult ventral nerve cord|left side of organism	MesoLN(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
MesoLN(R)	MesoLN(R)	adult mesothoracic leg nerve	male organism|adult ventral nerve cord|right side of organism	MesoLN(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
MetaLN(L)	MetaLN(L)	adult metathoracic leg nerve	male organism|adult ventral nerve cord|left side of organism	MetaLN(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
MetaLN(R)	MetaLN(R)	adult metathoracic leg nerve	male organism|adult ventral nerve cord|right side of organism	MetaLN(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
NO	NO	nodulus	male organism|adult brain	NO on JRC2018Unisex	JRC2018Unisex_c
NO1(L)	NO1(L)	nodulus 1	male organism|adult brain|left side of organism	NO1(L) on JRC2018Unisex	JRC2018Unisex_c
NO1(R)	NO1(R)	nodulus 1	male organism|adult brain|right side of organism	NO1(R) on JRC2018Unisex	JRC2018Unisex_c
NO2(L)	NO2(L)	nodulus 2	male organism|adult brain|left side of organism	NO2(L) on JRC2018Unisex	JRC2018Unisex_c
NO2(R)	NO2(R)	nodulus 2	male organism|adult brain|right side of organism	NO2(R) on JRC2018Unisex	JRC2018Unisex_c
NO3(L)	NO3(L)	nodulus 3	male organism|adult brain|left side of organism	NO3(L) on JRC2018Unisex	JRC2018Unisex_c
NO3(R)	NO3(R)	nodulus 3	male organism|adult brain|right side of organism	NO3(R) on JRC2018Unisex	JRC2018Unisex_c
NTct(UTct-T1)(L)	NTct(UTct-T1)(L)	neck neuropil	male organism|adult ventral nerve cord|left side of organism	NTct(UTct-T1)(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
NTct(UTct-T1)(R)	NTct(UTct-T1)(R)	neck neuropil	male organism|adult ventral nerve cord|right side of organism	NTct(UTct-T1)(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
Optic(L)	Optic(L)	adult optic lobe	male organism|adult brain|left side of organism	Optic(L) on JRC2018Unisex	JRC2018Unisex_c
Optic(R)	Optic(R)	adult optic lobe	male organism|adult brain|right side of organism	Optic(R) on JRC2018Unisex	JRC2018Unisex_c
Ov(L)	Ov(L)	adult accessory mesothoracic neuropil	male organism|adult ventral nerve cord|left side of organism	Ov(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
Ov(R)	Ov(R)	adult accessory mesothoracic neuropil	male organism|adult ventral nerve cord|right side of organism	Ov(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
PB	PB	protocerebral bridge	male organism|adult brain	PB on JRC2018Unisex	JRC2018Unisex_c
PB(L1)	PB(L1)	protocerebral bridge glomerulus 1	male organism|adult brain|left side of organism	PB(L1) on JRC2018Unisex	JRC2018Unisex_c
PB(L2)	PB(L2)	protocerebral bridge glomerulus 2	male organism|adult brain|left side of organism	PB(L2) on JRC2018Unisex	JRC2018Unisex_c
PB(L3)	PB(L3)	protocerebral bridge glomerulus 3	male organism|adult brain|left side of organism	PB(L3) on JRC2018Unisex	JRC2018Unisex_c
PB(L4)	PB(L4)	protocerebral bridge glomerulus 4	male organism|adult brain|left side of organism	PB(L4) on JRC2018Unisex	JRC2018Unisex_c
PB(L5)	PB(L5)	protocerebral bridge glomerulus 5	male organism|adult brain|left side of organism	PB(L5) on JRC2018Unisex	JRC2018Unisex_c
PB(L6)	PB(L6)	protocerebral bridge glomerulus 6	male organism|adult brain|left side of organism	PB(L6) on JRC2018Unisex	JRC2018Unisex_c
PB(L7)	PB(L7)	protocerebral bridge glomerulus 7	male organism|adult brain|left side of organism	PB(L7) on JRC2018Unisex	JRC2018Unisex_c
PB(L8)	PB(L8)	protocerebral bridge glomerulus 8	male organism|adult brain|left side of organism	PB(L8) on JRC2018Unisex	JRC2018Unisex_c
PB(L9)	PB(L9)	protocerebral bridge glomerulus 9	male organism|adult brain|left side of organism	PB(L9) on JRC2018Unisex	JRC2018Unisex_c
PB(R1)	PB(R1)	protocerebral bridge glomerulus 1	male organism|adult brain|right side of organism	PB(R1) on JRC2018Unisex	JRC2018Unisex_c
PB(R2)	PB(R2)	protocerebral bridge glomerulus 2	male organism|adult brain|right side of organism	PB(R2) on JRC2018Unisex	JRC2018Unisex_c
PB(R3)	PB(R3)	protocerebral bridge glomerulus 3	male organism|adult brain|right side of organism	PB(R3) on JRC2018Unisex	JRC2018Unisex_c
PB(R4)	PB(R4)	protocerebral bridge glomerulus 4	male organism|adult brain|right side of organism	PB(R4) on JRC2018Unisex	JRC2018Unisex_c
PB(R5)	PB(R5)	protocerebral bridge glomerulus 5	male organism|adult brain|right side of organism	PB(R5) on JRC2018Unisex	JRC2018Unisex_c
PB(R6)	PB(R6)	protocerebral bridge glomerulus 6	male organism|adult brain|right side of organism	PB(R6) on JRC2018Unisex	JRC2018Unisex_c
PB(R7)	PB(R7)	protocerebral bridge glomerulus 7	male organism|adult brain|right side of organism	PB(R7) on JRC2018Unisex	JRC2018Unisex_c
PB(R8)	PB(R8)	protocerebral bridge glomerulus 8	male organism|adult brain|right side of organism	PB(R8) on JRC2018Unisex	JRC2018Unisex_c
PB(R9)	PB(R9)	protocerebral bridge glomerulus 9	male organism|adult brain|right side of organism	PB(R9) on JRC2018Unisex	JRC2018Unisex_c
PDMN(L)	PDMN(L)	adult posterior dorsal mesothoracic nerve	male organism|adult ventral nerve cord|left side of organism	PDMN(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
PDMN(R)	PDMN(R)	adult posterior dorsal mesothoracic nerve	male organism|adult ventral nerve cord|right side of organism	PDMN(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
PED(L)	PED(L)	mushroom body pedunculus	male organism|adult brain|left side of organism	PED(L) on JRC2018Unisex	JRC2018Unisex_c
PED(R)	PED(R)	mushroom body pedunculus	male organism|adult brain|right side of organism	PED(R) on JRC2018Unisex	JRC2018Unisex_c
PENP	PENP	adult periesophageal neuropils	male organism|adult brain	PENP on JRC2018Unisex	JRC2018Unisex_c
PLP(L)	PLP(L)	posterior lateral protocerebrum	male organism|adult brain|left side of organism	PLP(L) on JRC2018Unisex	JRC2018Unisex_c
PLP(R)	PLP(R)	posterior lateral protocerebrum	male organism|adult brain|right side of organism	PLP(R) on JRC2018Unisex	JRC2018Unisex_c
PRW	PRW	prow	male organism|adult brain	PRW on JRC2018Unisex	JRC2018Unisex_c
PVLP(L)	PVLP(L)	posterior ventrolateral protocerebrum	male organism|adult brain|left side of organism	PVLP(L) on JRC2018Unisex	JRC2018Unisex_c
PVLP(R)	PVLP(R)	posterior ventrolateral protocerebrum	male organism|adult brain|right side of organism	PVLP(R) on JRC2018Unisex	JRC2018Unisex_c
PrN(L)	PrN(L)	adult prosternal nerve	male organism|adult ventral nerve cord|left side of organism	PrN(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
PrN(R)	PrN(R)	adult prosternal nerve	male organism|adult ventral nerve cord|right side of organism	PrN(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
ProAN(L)	ProAN(L)	adult prothoracic accessory nerve	male organism|adult ventral nerve cord|left side of organism	ProAN(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
ProAN(R)	ProAN(R)	adult prothoracic accessory nerve	male organism|adult ventral nerve cord|right side of organism	ProAN(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
ProCN(L)	ProCN(L)	adult prothoracic chordotonal nerve	male organism|adult ventral nerve cord|left side of organism	ProCN(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
ProCN(R)	ProCN(R)	adult prothoracic chordotonal nerve	male organism|adult ventral nerve cord|right side of organism	ProCN(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
ProLN(L)	ProLN(L)	adult prothoracic leg nerve	male organism|adult ventral nerve cord|left side of organism	ProLN(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
ProLN(R)	ProLN(R)	adult prothoracic leg nerve	male organism|adult ventral nerve cord|right side of organism	ProLN(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
ROB(L)	ROB(L)	adult round body	male organism|adult brain|left side of organism	ROB(L) on JRC2018Unisex	JRC2018Unisex_c
ROB(R)	ROB(R)	adult round body	male organism|adult brain|right side of organism	ROB(R) on JRC2018Unisex	JRC2018Unisex_c
RUB(L)	RUB(L)	rubus	male organism|adult brain|left side of organism	RUB(L) on JRC2018Unisex	JRC2018Unisex_c
RUB(R)	RUB(R)	rubus	male organism|adult brain|right side of organism	RUB(R) on JRC2018Unisex	JRC2018Unisex_c
SAD	SAD	saddle	male organism|adult brain	SAD on JRC2018Unisex	JRC2018Unisex_c
SAD(-AMMC)	SAD(-AMMC)	saddle	male organism|adult brain	SAD(-AMMC) on JRC2018Unisex	JRC2018Unisex_c
SCL(L)	SCL(L)	superior clamp	male organism|adult brain|left side of organism	SCL(L) on JRC2018Unisex	JRC2018Unisex_c
SCL(R)	SCL(R)	superior clamp	male organism|adult brain|right side of organism	SCL(R) on JRC2018Unisex	JRC2018Unisex_c
SIP(L)	SIP(L)	superior intermediate protocerebrum	male organism|adult brain|left side of organism	SIP(L) on JRC2018Unisex	JRC2018Unisex_c
SIP(R)	SIP(R)	superior intermediate protocerebrum	male organism|adult brain|right side of organism	SIP(R) on JRC2018Unisex	JRC2018Unisex_c
SLP(L)	SLP(L)	superior lateral protocerebrum	male organism|adult brain|left side of organism	SLP(L) on JRC2018Unisex	JRC2018Unisex_c
SLP(R)	SLP(R)	superior lateral protocerebrum	male organism|adult brain|right side of organism	SLP(R) on JRC2018Unisex	JRC2018Unisex_c
SMP(L)	SMP(L)	superior medial protocerebrum	male organism|adult brain|left side of organism	SMP(L) on JRC2018Unisex	JRC2018Unisex_c
SMP(R)	SMP(R)	superior medial protocerebrum	male organism|adult brain|right side of organism	SMP(R) on JRC2018Unisex	JRC2018Unisex_c
SNP(L)	SNP(L)	superior neuropils	male organism|adult brain|left side of organism	SNP(L) on JRC2018Unisex	JRC2018Unisex_c
SNP(R)	SNP(R)	superior neuropils	male organism|adult brain|right side of organism	SNP(R) on JRC2018Unisex	JRC2018Unisex_c
SPS(L)	SPS(L)	superior posterior slope	male organism|adult brain|left side of organism	SPS(L) on JRC2018Unisex	JRC2018Unisex_c
SPS(R)	SPS(R)	superior posterior slope	male organism|adult brain|right side of organism	SPS(R) on JRC2018Unisex	JRC2018Unisex_c
VES(L)	VES(L)	vest	male organism|adult brain|left side of organism	VES(L) on JRC2018Unisex	JRC2018Unisex_c
VES(R)	VES(R)	vest	male organism|adult brain|right side of organism	VES(R) on JRC2018Unisex	JRC2018Unisex_c
VLNP(L)	VLNP(L)	ventrolateral neuropils	male organism|adult brain|left side of organism	VLNP(L) on JRC2018Unisex	JRC2018Unisex_c
VLNP(R)	VLNP(R)	ventrolateral neuropils	male organism|adult brain|right side of organism	VLNP(R) on JRC2018Unisex	JRC2018Unisex_c
VMNP	VMNP	ventromedial neuropils	male organism|adult brain	VMNP on JRC2018Unisex	JRC2018Unisex_c
VNC	VNC	adult ventral nerve cord	male organism|adult brain	VNC on JRC2018Unisex	JRC2018Unisex_c
VProN(L)	VProN(L)	adult ventral prothoracic nerve	male organism|adult ventral nerve cord|left side of organism	VProN(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
VProN(R)	VProN(R)	adult ventral prothoracic nerve	male organism|adult ventral nerve cord|right side of organism	VProN(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
WED(L)	WED(L)	wedge	male organism|adult brain|left side of organism	WED(L) on JRC2018Unisex	JRC2018Unisex_c
WED(R)	WED(R)	wedge	male organism|adult brain|right side of organism	WED(R) on JRC2018Unisex	JRC2018Unisex_c
WTct(UTct-T2)(L)	WTct(UTct-T2)(L)	wing neuropil	male organism|adult ventral nerve cord|left side of organism	WTct(UTct-T2)(L) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
WTct(UTct-T2)(R)	WTct(UTct-T2)(R)	wing neuropil	male organism|adult ventral nerve cord|right side of organism	WTct(UTct-T2)(R) on JRC2018UnisexVNC	JRC2018UnisexVNC_c
a'1(L)	a'1(L)	mushroom body alpha' lobe slice 1	male organism|adult brain|left side of organism	a'1(L) on JRC2018Unisex	JRC2018Unisex_c
a'1(R)	a'1(R)	mushroom body alpha' lobe slice 1	male organism|adult brain|right side of organism	a'1(R) on JRC2018Unisex	JRC2018Unisex_c
a'2(L)	a'2(L)	mushroom body alpha' lobe slice 2	male organism|adult brain|left side of organism	a'2(L) on JRC2018Unisex	JRC2018Unisex_c
a'2(R)	a'2(R)	mushroom body alpha' lobe slice 2	male organism|adult brain|right side of organism	a'2(R) on JRC2018Unisex	JRC2018Unisex_c
a'3(L)	a'3(L)	mushroom body alpha' lobe slice 3	male organism|adult brain|left side of organism	a'3(L) on JRC2018Unisex	JRC2018Unisex_c
a'3(R)	a'3(R)	mushroom body alpha' lobe slice 3	male organism|adult brain|right side of organism	a'3(R) on JRC2018Unisex	JRC2018Unisex_c
a'L(L)	a'L(L)	adult mushroom body alpha'-lobe	male organism|adult brain|left side of organism	a'L(L) on JRC2018Unisex	JRC2018Unisex_c
a'L(R)	a'L(R)	adult mushroom body alpha'-lobe	male organism|adult brain|right side of organism	a'L(R) on JRC2018Unisex	JRC2018Unisex_c
a1(L)	a1(L)	mushroom body alpha lobe slice 1	male organism|adult brain|left side of organism	a1(L) on JRC2018Unisex	JRC2018Unisex_c
a1(R)	a1(R)	mushroom body alpha lobe slice 1	male organism|adult brain|right side of organism	a1(R) on JRC2018Unisex	JRC2018Unisex_c
a2(L)	a2(L)	mushroom body alpha lobe slice 2	male organism|adult brain|left side of organism	a2(L) on JRC2018Unisex	JRC2018Unisex_c
a2(R)	a2(R)	mushroom body alpha lobe slice 2	male organism|adult brain|right side of organism	a2(R) on JRC2018Unisex	JRC2018Unisex_c
a3(L)	a3(L)	mushroom body alpha lobe slice 3	male organism|adult brain|left side of organism	a3(L) on JRC2018Unisex	JRC2018Unisex_c
a3(R)	a3(R)	mushroom body alpha lobe slice 3	male organism|adult brain|right side of organism	a3(R) on JRC2018Unisex	JRC2018Unisex_c
aL(L)	aL(L)	adult mushroom body alpha-lobe	male organism|adult brain|left side of organism	aL(L) on JRC2018Unisex	JRC2018Unisex_c
aL(R)	aL(R)	adult mushroom body alpha-lobe	male organism|adult brain|right side of organism	aL(R) on JRC2018Unisex	JRC2018Unisex_c
b'1(L)	b'1(L)	mushroom body beta' lobe slice 1	male organism|adult brain|left side of organism	b'1(L) on JRC2018Unisex	JRC2018Unisex_c
