filename	synonyms	is_a	part_of	label	Template
AL-DM1(R)	AL-DM1(R)	antennal lobe glomerulus DM1	male organism|adult brain|right side of organism	AL-DM1(R) on JRC2018Unisex	JRC2018Unisex_c
AL-DM2(L)	AL-DM2(L)	antennal lobe glomerulus DM2	male organism|adult brain|left side of organism	AL-DM2(L) on JRC2018Unisex	JRC2018Unisex_c
AL-DM2(R)	AL-DM2(R)	antennal lobe glomerulus DM2	male organism|adult brain|right side of organism	AL-DM2(R) on JRC2018Unisex	JRC2018Unisex_c
AL-DM3(L)	AL-DM3(L)	antennal lobe glomerulus DM3	male organism|adult brain|left side of organism	AL-DM3(L) on JRC2018Unisex	JRC2018Unisex_c
AL-DM3(R)	AL-DM3(R)	antennal lobe glomerulus DM3	male organism|adult brain|right side of organism	AL-DM3(R) on JRC2018Unisex	JRC2018Unisex_c
AL-DM4(L)	AL-DM4(L)	antennal lobe glomerulus DM4	male organism|adult brain|left side of organism	AL-DM4(L) on JRC2018Unisex	JRC2018Unisex_c
AL-DM4(R)	AL-DM4(R)	antennal lobe glomerulus DM4	male organism|adult brain|right side of organism	AL-DM4(R) on JRC2018Unisex	JRC2018Unisex_c
AL-DM5(L)	AL-DM5(L)	antennal lobe glomerulus DM5	male organism|adult brain|left side of organism	AL-DM5(L) on JRC2018Unisex	JRC2018Unisex_c
AL-DM5(R)	AL-DM5(R)	antennal lobe glomerulus DM5	male organism|adult brain|right side of organism	AL-DM5(R) on JRC2018Unisex	JRC2018Unisex_c
AL-DM6(L)	AL-DM6(L)	antennal lobe glomerulus DM6	male organism|adult brain|left side of organism	AL-DM6(L) on JRC2018Unisex	JRC2018Unisex_c
AL-DM6(R)	AL-DM6(R)	antennal lobe glomerulus DM6	male organism|adult brain|right side of organism	AL-DM6(R) on JRC2018Unisex	JRC2018Unisex_c
AL-DP1l(L)	AL-DP1l(L)	antennal lobe glomerulus DP1l	male organism|adult brain|left side of organism	AL-DP1l(L) on JRC2018Unisex	JRC2018Unisex_c
AL-DP1l(R)	AL-DP1l(R)	antennal lobe glomerulus DP1l	male organism|adult brain|right side of organism	AL-DP1l(R) on JRC2018Unisex	JRC2018Unisex_c
AL-DP1m(L)	AL-DP1m(L)	antennal lobe glomerulus DP1m	male organism|adult brain|left side of organism	AL-DP1m(L) on JRC2018Unisex	JRC2018Unisex_c
AL-DP1m(R)	AL-DP1m(R)	antennal lobe glomerulus DP1m	male organism|adult brain|right side of organism	AL-DP1m(R) on JRC2018Unisex	JRC2018Unisex_c
AL-V(L)	AL-V(L)	antennal lobe glomerulus V	male organism|adult brain|left side of organism	AL-V(L) on JRC2018Unisex	JRC2018Unisex_c
AL-V(R)	AL-V(R)	antennal lobe glomerulus V	male organism|adult brain|right side of organism	AL-V(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VA1d(L)	AL-VA1d(L)	antennal lobe glomerulus VA1d	male organism|adult brain|left side of organism	AL-VA1d(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VA1d(R)	AL-VA1d(R)	antennal lobe glomerulus VA1d	male organism|adult brain|right side of organism	AL-VA1d(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VA1v(L)	AL-VA1v(L)	antennal lobe glomerulus VA1v	male organism|adult brain|left side of organism	AL-VA1v(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VA1v(R)	AL-VA1v(R)	antennal lobe glomerulus VA1v	male organism|adult brain|right side of organism	AL-VA1v(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VA2(L)	AL-VA2(L)	antennal lobe glomerulus VA2	male organism|adult brain|left side of organism	AL-VA2(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VA2(R)	AL-VA2(R)	antennal lobe glomerulus VA2	male organism|adult brain|right side of organism	AL-VA2(R) on JRC2018Unisex	JRC2018Unisex_c
AL-VA3(L)	AL-VA3(L)	antennal lobe glomerulus VA3	male organism|adult brain|left side of organism	AL-VA3(L) on JRC2018Unisex	JRC2018Unisex_c
AL-VA3(R)	AL-VA3(R)	antennal lobe glomerulus VA3	male organism|adult brain|right side of organism	AL-VA3(R) on JRC2018Unisex	JRC2018Unisex_c
