filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-1996273631528747106	JRC_MB622B_Brain_20140407_32_D1_20x	P{R64F07-p65.AD}	P{R64F07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01710|GMR_SS01710|JRC_SS01710	FlyLightSplit:MB622B|FlyLightSplitSlideCode:20140407_32_D1|jrc_slide_code_api:20140407_32_D1|neuronbridge:MB622B	tile(s): 'brain', effector genotype: 'pJFRC200-10XUAS-IVS-myr::smGFP-HA in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140407_32_D1', age: 'Day 1-5'
20x-Brain-1996273632011092066	JRC_MB622B_Brain_20140407_32_D2_20x	P{R64F07-p65.AD}	P{R64F07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01710|GMR_SS01710|JRC_SS01710	FlyLightSplit:MB622B|FlyLightSplitSlideCode:20140407_32_D2|jrc_slide_code_api:20140407_32_D2|neuronbridge:MB622B	tile(s): 'brain', effector genotype: 'pJFRC200-10XUAS-IVS-myr::smGFP-HA in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140407_32_D2', age: 'Day 1-5'
20x-Brain-1996273632669597794	JRC_MB622B_Brain_20140407_32_D3_20x	P{R64F07-p65.AD}	P{R64F07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01710|GMR_SS01710|JRC_SS01710	FlyLightSplit:MB622B|FlyLightSplitSlideCode:20140407_32_D3|jrc_slide_code_api:20140407_32_D3|neuronbridge:MB622B	tile(s): 'brain', effector genotype: 'pJFRC200-10XUAS-IVS-myr::smGFP-HA in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140407_32_D3', age: 'Day 1-5'
20x-Brain-1996273633265188962	JRC_MB622B_Brain_20140407_32_D4_20x	P{R64F07-p65.AD}	P{R64F07-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS01710|GMR_SS01710|JRC_SS01710	FlyLightSplit:MB622B|FlyLightSplitSlideCode:20140407_32_D4|jrc_slide_code_api:20140407_32_D4|neuronbridge:MB622B	tile(s): 'brain', effector genotype: 'pJFRC200-10XUAS-IVS-myr::smGFP-HA in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140407_32_D4', age: 'Day 1-5'
20x-VNC-1996273631528747106	JRC_MB622B_VNC_20140407_32_D1_20x	P{R64F07-p65.AD}	P{R64F07-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS01710|GMR_SS01710|JRC_SS01710	FlyLightSplit:MB622B|FlyLightSplitSlideCode:20140407_32_D1|jrc_slide_code_api:20140407_32_D1|neuronbridge:MB622B	tile(s): 'ventral_nerve_cord', effector genotype: 'pJFRC200-10XUAS-IVS-myr::smGFP-HA in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140407_32_D1', age: 'Day 1-5'
20x-VNC-1996273632011092066	JRC_MB622B_VNC_20140407_32_D2_20x	P{R64F07-p65.AD}	P{R64F07-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS01710|GMR_SS01710|JRC_SS01710	FlyLightSplit:MB622B|FlyLightSplitSlideCode:20140407_32_D2|jrc_slide_code_api:20140407_32_D2|neuronbridge:MB622B	tile(s): 'ventral_nerve_cord', effector genotype: 'pJFRC200-10XUAS-IVS-myr::smGFP-HA in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140407_32_D2', age: 'Day 1-5'
20x-VNC-1996273632669597794	JRC_MB622B_VNC_20140407_32_D3_20x	P{R64F07-p65.AD}	P{R64F07-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS01710|GMR_SS01710|JRC_SS01710	FlyLightSplit:MB622B|FlyLightSplitSlideCode:20140407_32_D3|jrc_slide_code_api:20140407_32_D3|neuronbridge:MB622B	tile(s): 'ventral_nerve_cord', effector genotype: 'pJFRC200-10XUAS-IVS-myr::smGFP-HA in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140407_32_D3', age: 'Day 1-5'
20x-VNC-1996273633265188962	JRC_MB622B_VNC_20140407_32_D4_20x	P{R64F07-p65.AD}	P{R64F07-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS01710|GMR_SS01710|JRC_SS01710	FlyLightSplit:MB622B|FlyLightSplitSlideCode:20140407_32_D4|jrc_slide_code_api:20140407_32_D4|neuronbridge:MB622B	tile(s): 'ventral_nerve_cord', effector genotype: 'pJFRC200-10XUAS-IVS-myr::smGFP-HA in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20140407_32_D4', age: 'Day 1-5'
