filename	is_a	part_of	dbxrefs	label
541821	neuron	adult nervous system	male-cns_v0_9:541821	Tm2_L (MaleCNS:541821)
50665	neuron	adult nervous system	male-cns_v0_9:50665	Tm2_R (MaleCNS:50665)
48743	neuron	adult nervous system	male-cns_v0_9:48743	Tm2_R (MaleCNS:48743)
58589	neuron	adult nervous system	male-cns_v0_9:58589	Tm2_R (MaleCNS:58589)
59538	neuron	adult nervous system	male-cns_v0_9:59538	Tm2_R (MaleCNS:59538)
53525	neuron	adult nervous system	male-cns_v0_9:53525	Tm2_R (MaleCNS:53525)
58404	neuron	adult nervous system	male-cns_v0_9:58404	Tm2_R (MaleCNS:58404)
513142	neuron	adult nervous system	male-cns_v0_9:513142	Tm2_L (MaleCNS:513142)
37469	neuron	adult nervous system	male-cns_v0_9:37469	Tm2_R (MaleCNS:37469)
525661	neuron	adult nervous system	male-cns_v0_9:525661	Tm2_R (MaleCNS:525661)
59116	neuron	adult nervous system	male-cns_v0_9:59116	Tm2_R (MaleCNS:59116)
53925	neuron	adult nervous system	male-cns_v0_9:53925	Tm2_L (MaleCNS:53925)
61050	neuron	adult nervous system	male-cns_v0_9:61050	Tm2_R (MaleCNS:61050)
66765	neuron	adult nervous system	male-cns_v0_9:66765	Tm2_R (MaleCNS:66765)
139859	neuron	adult nervous system	male-cns_v0_9:139859	Tm2_L (MaleCNS:139859)
69922	neuron	adult nervous system	male-cns_v0_9:69922	Tm2_R (MaleCNS:69922)
32992	neuron	adult nervous system	male-cns_v0_9:32992	Tm2_L (MaleCNS:32992)
20245	neuron	adult nervous system	male-cns_v0_9:20245	Tm2_L (MaleCNS:20245)
61256	neuron	adult nervous system	male-cns_v0_9:61256	Tm2_R (MaleCNS:61256)
512602	neuron	adult nervous system	male-cns_v0_9:512602	Tm2_L (MaleCNS:512602)
516506	neuron	adult nervous system	male-cns_v0_9:516506	Tm2_L (MaleCNS:516506)
518808	neuron	adult nervous system	male-cns_v0_9:518808	Tm2_L (MaleCNS:518808)
50769	neuron	adult nervous system	male-cns_v0_9:50769	Tm2_R (MaleCNS:50769)
94340	neuron	adult nervous system	male-cns_v0_9:94340	Tm2_R (MaleCNS:94340)
62636	neuron	adult nervous system	male-cns_v0_9:62636	Tm2_L (MaleCNS:62636)
59402	neuron	adult nervous system	male-cns_v0_9:59402	Tm2_R (MaleCNS:59402)
58644	neuron	adult nervous system	male-cns_v0_9:58644	Tm2_R (MaleCNS:58644)
53782	neuron	adult nervous system	male-cns_v0_9:53782	Tm2_R (MaleCNS:53782)
84430	neuron	adult nervous system	male-cns_v0_9:84430	Tm2_R (MaleCNS:84430)
88168	neuron	adult nervous system	male-cns_v0_9:88168	Tm2_L (MaleCNS:88168)
61733	neuron	adult nervous system	male-cns_v0_9:61733	Tm2_L (MaleCNS:61733)
75021	neuron	adult nervous system	male-cns_v0_9:75021	Tm2_R (MaleCNS:75021)
76804	neuron	adult nervous system	male-cns_v0_9:76804	Tm2_L (MaleCNS:76804)
48654	neuron	adult nervous system	male-cns_v0_9:48654	Tm2_R (MaleCNS:48654)
58132	neuron	adult nervous system	male-cns_v0_9:58132	Tm2_L (MaleCNS:58132)
97501	neuron	adult nervous system	male-cns_v0_9:97501	Tm2_L (MaleCNS:97501)
533513	neuron	adult nervous system	male-cns_v0_9:533513	Tm2_L (MaleCNS:533513)
62991	neuron	adult nervous system	male-cns_v0_9:62991	Tm2_R (MaleCNS:62991)
