filename	is_a	part_of	dbxrefs	label
84183	neuron	adult nervous system	male-cns_v0_9:84183	TmY20_L (MaleCNS:84183)
88391	neuron	adult nervous system	male-cns_v0_9:88391	TmY20_L (MaleCNS:88391)
60791	neuron	adult nervous system	male-cns_v0_9:60791	TmY20_L (MaleCNS:60791)
520802	neuron	adult nervous system	male-cns_v0_9:520802	TmY20_L (MaleCNS:520802)
54633	neuron	adult nervous system	male-cns_v0_9:54633	TmY20_L (MaleCNS:54633)
78720	neuron	adult nervous system	male-cns_v0_9:78720	TmY20_L (MaleCNS:78720)
78933	neuron	adult nervous system	male-cns_v0_9:78933	TmY20_L (MaleCNS:78933)
164784	neuron	adult nervous system	male-cns_v0_9:164784	TmY20_L (MaleCNS:164784)
80598	neuron	adult nervous system	male-cns_v0_9:80598	TmY20_R (MaleCNS:80598)
539639	neuron	adult nervous system	male-cns_v0_9:539639	TmY20_L (MaleCNS:539639)
99411	neuron	adult nervous system	male-cns_v0_9:99411	TmY20_L (MaleCNS:99411)
114912	neuron	adult nervous system	male-cns_v0_9:114912	TmY20_L (MaleCNS:114912)
56665	neuron	adult nervous system	male-cns_v0_9:56665	TmY20_L (MaleCNS:56665)
60942	neuron	adult nervous system	male-cns_v0_9:60942	TmY20_R (MaleCNS:60942)
544892	neuron	adult nervous system	male-cns_v0_9:544892	TmY20_L (MaleCNS:544892)
63548	neuron	adult nervous system	male-cns_v0_9:63548	TmY20_R (MaleCNS:63548)
96038	neuron	adult nervous system	male-cns_v0_9:96038	TmY20_L (MaleCNS:96038)
85437	neuron	adult nervous system	male-cns_v0_9:85437	TmY20_R (MaleCNS:85437)
67100	neuron	adult nervous system	male-cns_v0_9:67100	TmY20_R (MaleCNS:67100)
113235	neuron	adult nervous system	male-cns_v0_9:113235	TmY20_R (MaleCNS:113235)
55744	neuron	adult nervous system	male-cns_v0_9:55744	TmY20_R (MaleCNS:55744)
41110	neuron	adult nervous system	male-cns_v0_9:41110	TmY20_R (MaleCNS:41110)
70330	neuron	adult nervous system	male-cns_v0_9:70330	TmY20_R (MaleCNS:70330)
91346	neuron	adult nervous system	male-cns_v0_9:91346	TmY20_L (MaleCNS:91346)
99431	neuron	adult nervous system	male-cns_v0_9:99431	TmY20_L (MaleCNS:99431)
529566	neuron	adult nervous system	male-cns_v0_9:529566	TmY20_L (MaleCNS:529566)
16891	neuron	adult nervous system	male-cns_v0_9:16891	TmY20_L (MaleCNS:16891)
78644	neuron	adult nervous system	male-cns_v0_9:78644	TmY20_R (MaleCNS:78644)
522880	neuron	adult nervous system	male-cns_v0_9:522880	TmY20_L (MaleCNS:522880)
62204	neuron	adult nervous system	male-cns_v0_9:62204	TmY20_L (MaleCNS:62204)
69861	neuron	adult nervous system	male-cns_v0_9:69861	TmY20_R (MaleCNS:69861)
69277	neuron	adult nervous system	male-cns_v0_9:69277	TmY20_L (MaleCNS:69277)
107681	neuron	adult nervous system	male-cns_v0_9:107681	TmY20_R (MaleCNS:107681)
102831	neuron	adult nervous system	male-cns_v0_9:102831	TmY20_L (MaleCNS:102831)
58557	neuron	adult nervous system	male-cns_v0_9:58557	TmY20_L (MaleCNS:58557)
83238	neuron	adult nervous system	male-cns_v0_9:83238	TmY20_L (MaleCNS:83238)
85305	neuron	adult nervous system	male-cns_v0_9:85305	TmY20_L (MaleCNS:85305)
71037	neuron	adult nervous system	male-cns_v0_9:71037	TmY20_R (MaleCNS:71037)
98987	neuron	adult nervous system	male-cns_v0_9:98987	TmY20_R (MaleCNS:98987)
524265	neuron	adult nervous system	male-cns_v0_9:524265	TmY20_L (MaleCNS:524265)
73672	neuron	adult nervous system	male-cns_v0_9:73672	TmY20_R (MaleCNS:73672)
161778	neuron	adult nervous system	male-cns_v0_9:161778	TmY20_L (MaleCNS:161778)
85037	neuron	adult nervous system	male-cns_v0_9:85037	TmY20_L (MaleCNS:85037)
78130	neuron	adult nervous system	male-cns_v0_9:78130	TmY20_R (MaleCNS:78130)
77764	neuron	adult nervous system	male-cns_v0_9:77764	TmY20_L (MaleCNS:77764)
79079	neuron	adult nervous system	male-cns_v0_9:79079	TmY20_R (MaleCNS:79079)
525711	neuron	adult nervous system	male-cns_v0_9:525711	TmY20_L (MaleCNS:525711)
97038	neuron	adult nervous system	male-cns_v0_9:97038	TmY20_L (MaleCNS:97038)
71621	neuron	adult nervous system	male-cns_v0_9:71621	TmY20_R (MaleCNS:71621)
110185	neuron	adult nervous system	male-cns_v0_9:110185	TmY20_L (MaleCNS:110185)
44828	neuron	adult nervous system	male-cns_v0_9:44828	TmY20_R (MaleCNS:44828)
537052	neuron	adult nervous system	male-cns_v0_9:537052	TmY20_L (MaleCNS:537052)
88558	neuron	adult nervous system	male-cns_v0_9:88558	TmY20_L (MaleCNS:88558)
64898	neuron	adult nervous system	male-cns_v0_9:64898	TmY20_L (MaleCNS:64898)
67746	neuron	adult nervous system	male-cns_v0_9:67746	TmY20_L (MaleCNS:67746)
56227	neuron	adult nervous system	male-cns_v0_9:56227	TmY20_L (MaleCNS:56227)
61839	neuron	adult nervous system	male-cns_v0_9:61839	TmY20_R (MaleCNS:61839)
85455	neuron	adult nervous system	male-cns_v0_9:85455	TmY20_R (MaleCNS:85455)
57754	neuron	adult nervous system	male-cns_v0_9:57754	TmY20_R (MaleCNS:57754)
73851	neuron	adult nervous system	male-cns_v0_9:73851	TmY20_L (MaleCNS:73851)
64665	neuron	adult nervous system	male-cns_v0_9:64665	TmY20_L (MaleCNS:64665)
64622	neuron	adult nervous system	male-cns_v0_9:64622	TmY20_R (MaleCNS:64622)
96248	neuron	adult nervous system	male-cns_v0_9:96248	TmY20_L (MaleCNS:96248)
94033	neuron	adult nervous system	male-cns_v0_9:94033	TmY20_L (MaleCNS:94033)
49775	neuron	adult nervous system	male-cns_v0_9:49775	TmY20_R (MaleCNS:49775)
546223	neuron	adult nervous system	male-cns_v0_9:546223	TmY20_L (MaleCNS:546223)
542498	neuron	adult nervous system	male-cns_v0_9:542498	TmY20_L (MaleCNS:542498)
542820	neuron	adult nervous system	male-cns_v0_9:542820	TmY20_L (MaleCNS:542820)
58191	neuron	adult nervous system	male-cns_v0_9:58191	TmY20_R (MaleCNS:58191)
80254	neuron	adult nervous system	male-cns_v0_9:80254	TmY20_L (MaleCNS:80254)
66995	neuron	adult nervous system	male-cns_v0_9:66995	TmY20_R (MaleCNS:66995)
79180	neuron	adult nervous system	male-cns_v0_9:79180	TmY20_R (MaleCNS:79180)
56744	neuron	adult nervous system	male-cns_v0_9:56744	TmY20_L (MaleCNS:56744)
535396	neuron	adult nervous system	male-cns_v0_9:535396	TmY20_L (MaleCNS:535396)
74232	neuron	adult nervous system	male-cns_v0_9:74232	TmY20_L (MaleCNS:74232)
531854	neuron	adult nervous system	male-cns_v0_9:531854	TmY20_L (MaleCNS:531854)
55773	neuron	adult nervous system	male-cns_v0_9:55773	TmY20_R (MaleCNS:55773)
62867	neuron	adult nervous system	male-cns_v0_9:62867	TmY20_R (MaleCNS:62867)
108652	neuron	adult nervous system	male-cns_v0_9:108652	TmY20_L (MaleCNS:108652)
56402	neuron	adult nervous system	male-cns_v0_9:56402	TmY20_L (MaleCNS:56402)
81479	neuron	adult nervous system	male-cns_v0_9:81479	TmY20_R (MaleCNS:81479)
91028	neuron	adult nervous system	male-cns_v0_9:91028	TmY20_R (MaleCNS:91028)
58938	neuron	adult nervous system	male-cns_v0_9:58938	TmY20_L (MaleCNS:58938)
95930	neuron	adult nervous system	male-cns_v0_9:95930	TmY20_L (MaleCNS:95930)
134986	neuron	adult nervous system	male-cns_v0_9:134986	TmY20_L (MaleCNS:134986)
71265	neuron	adult nervous system	male-cns_v0_9:71265	TmY20_R (MaleCNS:71265)
54304	neuron	adult nervous system	male-cns_v0_9:54304	TmY20_L (MaleCNS:54304)
60731	neuron	adult nervous system	male-cns_v0_9:60731	TmY20_R (MaleCNS:60731)
54747	neuron	adult nervous system	male-cns_v0_9:54747	TmY20_R (MaleCNS:54747)
69771	neuron	adult nervous system	male-cns_v0_9:69771	TmY20_R (MaleCNS:69771)
96167	neuron	adult nervous system	male-cns_v0_9:96167	TmY20_R (MaleCNS:96167)
88900	neuron	adult nervous system	male-cns_v0_9:88900	TmY20_L (MaleCNS:88900)
75032	neuron	adult nervous system	male-cns_v0_9:75032	TmY20_R (MaleCNS:75032)
38345	neuron	adult nervous system	male-cns_v0_9:38345	TmY20_L (MaleCNS:38345)
115489	neuron	adult nervous system	male-cns_v0_9:115489	TmY20_L (MaleCNS:115489)
73343	neuron	adult nervous system	male-cns_v0_9:73343	TmY20_R (MaleCNS:73343)
516149	neuron	adult nervous system	male-cns_v0_9:516149	TmY20_L (MaleCNS:516149)
79620	neuron	adult nervous system	male-cns_v0_9:79620	TmY20_R (MaleCNS:79620)
106780	neuron	adult nervous system	male-cns_v0_9:106780	TmY20_L (MaleCNS:106780)
150648	neuron	adult nervous system	male-cns_v0_9:150648	TmY20_L (MaleCNS:150648)
60431	neuron	adult nervous system	male-cns_v0_9:60431	TmY20_R (MaleCNS:60431)
73063	neuron	adult nervous system	male-cns_v0_9:73063	TmY20_R (MaleCNS:73063)
540393	neuron	adult nervous system	male-cns_v0_9:540393	TmY20_R (MaleCNS:540393)
49098	neuron	adult nervous system	male-cns_v0_9:49098	TmY20_R (MaleCNS:49098)
68093	neuron	adult nervous system	male-cns_v0_9:68093	TmY20_R (MaleCNS:68093)
85584	neuron	adult nervous system	male-cns_v0_9:85584	TmY20_R (MaleCNS:85584)
73332	neuron	adult nervous system	male-cns_v0_9:73332	TmY20_R (MaleCNS:73332)
78425	neuron	adult nervous system	male-cns_v0_9:78425	TmY20_R (MaleCNS:78425)
65456	neuron	adult nervous system	male-cns_v0_9:65456	TmY20_R (MaleCNS:65456)
47864	neuron	adult nervous system	male-cns_v0_9:47864	TmY20_R (MaleCNS:47864)
97285	neuron	adult nervous system	male-cns_v0_9:97285	TmY20_L (MaleCNS:97285)
80926	neuron	adult nervous system	male-cns_v0_9:80926	TmY20_L (MaleCNS:80926)
50375	neuron	adult nervous system	male-cns_v0_9:50375	TmY20_L (MaleCNS:50375)
58468	neuron	adult nervous system	male-cns_v0_9:58468	TmY20_R (MaleCNS:58468)
80921	neuron	adult nervous system	male-cns_v0_9:80921	TmY20_R (MaleCNS:80921)
132332	neuron	adult nervous system	male-cns_v0_9:132332	TmY20_L (MaleCNS:132332)
107753	neuron	adult nervous system	male-cns_v0_9:107753	TmY20_L (MaleCNS:107753)
56504	neuron	adult nervous system	male-cns_v0_9:56504	TmY20_L (MaleCNS:56504)
92919	neuron	adult nervous system	male-cns_v0_9:92919	TmY20_R (MaleCNS:92919)
57882	neuron	adult nervous system	male-cns_v0_9:57882	TmY20_R (MaleCNS:57882)
83025	neuron	adult nervous system	male-cns_v0_9:83025	TmY20_R (MaleCNS:83025)
69073	neuron	adult nervous system	male-cns_v0_9:69073	TmY20_L (MaleCNS:69073)
93206	neuron	adult nervous system	male-cns_v0_9:93206	TmY20_R (MaleCNS:93206)
67992	neuron	adult nervous system	male-cns_v0_9:67992	TmY20_R (MaleCNS:67992)
92191	neuron	adult nervous system	male-cns_v0_9:92191	TmY20_R (MaleCNS:92191)
57741	neuron	adult nervous system	male-cns_v0_9:57741	TmY20_R (MaleCNS:57741)
69701	neuron	adult nervous system	male-cns_v0_9:69701	TmY20_L (MaleCNS:69701)
67551	neuron	adult nervous system	male-cns_v0_9:67551	TmY20_L (MaleCNS:67551)
63970	neuron	adult nervous system	male-cns_v0_9:63970	TmY20_R (MaleCNS:63970)
84096	neuron	adult nervous system	male-cns_v0_9:84096	TmY20_R (MaleCNS:84096)
26264	neuron	adult nervous system	male-cns_v0_9:26264	TmY20_L (MaleCNS:26264)
58083	neuron	adult nervous system	male-cns_v0_9:58083	TmY20_L (MaleCNS:58083)
142131	neuron	adult nervous system	male-cns_v0_9:142131	TmY20_L (MaleCNS:142131)
94369	neuron	adult nervous system	male-cns_v0_9:94369	TmY20_R (MaleCNS:94369)
63783	neuron	adult nervous system	male-cns_v0_9:63783	TmY20_R (MaleCNS:63783)
64965	neuron	adult nervous system	male-cns_v0_9:64965	TmY20_R (MaleCNS:64965)
143257	neuron	adult nervous system	male-cns_v0_9:143257	TmY20_L (MaleCNS:143257)
146219	neuron	adult nervous system	male-cns_v0_9:146219	TmY20_L (MaleCNS:146219)
49329	neuron	adult nervous system	male-cns_v0_9:49329	TmY20_R (MaleCNS:49329)
60482	neuron	adult nervous system	male-cns_v0_9:60482	TmY20_R (MaleCNS:60482)
65230	neuron	adult nervous system	male-cns_v0_9:65230	TmY20_R (MaleCNS:65230)
70071	neuron	adult nervous system	male-cns_v0_9:70071	TmY20_R (MaleCNS:70071)
99308	neuron	adult nervous system	male-cns_v0_9:99308	TmY20_R (MaleCNS:99308)
84683	neuron	adult nervous system	male-cns_v0_9:84683	TmY20_L (MaleCNS:84683)
75977	neuron	adult nervous system	male-cns_v0_9:75977	TmY20_L (MaleCNS:75977)
105932	neuron	adult nervous system	male-cns_v0_9:105932	TmY20_L (MaleCNS:105932)
536241	neuron	adult nervous system	male-cns_v0_9:536241	TmY20_L (MaleCNS:536241)
534651	neuron	adult nervous system	male-cns_v0_9:534651	TmY20_L (MaleCNS:534651)
75607	neuron	adult nervous system	male-cns_v0_9:75607	TmY20_L (MaleCNS:75607)
60345	neuron	adult nervous system	male-cns_v0_9:60345	TmY20_R (MaleCNS:60345)
64344	neuron	adult nervous system	male-cns_v0_9:64344	TmY20_R (MaleCNS:64344)
65808	neuron	adult nervous system	male-cns_v0_9:65808	TmY20_R (MaleCNS:65808)
70412	neuron	adult nervous system	male-cns_v0_9:70412	TmY20_R (MaleCNS:70412)
51830	neuron	adult nervous system	male-cns_v0_9:51830	TmY20_L (MaleCNS:51830)
542222	neuron	adult nervous system	male-cns_v0_9:542222	TmY20_L (MaleCNS:542222)
95303	neuron	adult nervous system	male-cns_v0_9:95303	TmY20_R (MaleCNS:95303)
79914	neuron	adult nervous system	male-cns_v0_9:79914	TmY20_R (MaleCNS:79914)
55550	neuron	adult nervous system	male-cns_v0_9:55550	TmY20_R (MaleCNS:55550)
27862	neuron	adult nervous system	male-cns_v0_9:27862	TmY20_L (MaleCNS:27862)
17641	neuron	adult nervous system	male-cns_v0_9:17641	TmY20_L (MaleCNS:17641)
58129	neuron	adult nervous system	male-cns_v0_9:58129	TmY20_L (MaleCNS:58129)
116556	neuron	adult nervous system	male-cns_v0_9:116556	TmY20_L (MaleCNS:116556)
73083	neuron	adult nervous system	male-cns_v0_9:73083	TmY20_L (MaleCNS:73083)
524334	neuron	adult nervous system	male-cns_v0_9:524334	TmY20_L (MaleCNS:524334)
59557	neuron	adult nervous system	male-cns_v0_9:59557	TmY20_R (MaleCNS:59557)
106994	neuron	adult nervous system	male-cns_v0_9:106994	TmY20_L (MaleCNS:106994)
134946	neuron	adult nervous system	male-cns_v0_9:134946	TmY20_L (MaleCNS:134946)
95214	neuron	adult nervous system	male-cns_v0_9:95214	TmY20_R (MaleCNS:95214)
75635	neuron	adult nervous system	male-cns_v0_9:75635	TmY20_R (MaleCNS:75635)
87351	neuron	adult nervous system	male-cns_v0_9:87351	TmY20_R (MaleCNS:87351)
74513	neuron	adult nervous system	male-cns_v0_9:74513	TmY20_R (MaleCNS:74513)
46593	neuron	adult nervous system	male-cns_v0_9:46593	TmY20_L (MaleCNS:46593)
71314	neuron	adult nervous system	male-cns_v0_9:71314	TmY20_L (MaleCNS:71314)
80837	neuron	adult nervous system	male-cns_v0_9:80837	TmY20_R (MaleCNS:80837)
88647	neuron	adult nervous system	male-cns_v0_9:88647	TmY20_L (MaleCNS:88647)
59966	neuron	adult nervous system	male-cns_v0_9:59966	TmY20_R (MaleCNS:59966)
83343	neuron	adult nervous system	male-cns_v0_9:83343	TmY20_R (MaleCNS:83343)
89176	neuron	adult nervous system	male-cns_v0_9:89176	TmY20_R (MaleCNS:89176)
62601	neuron	adult nervous system	male-cns_v0_9:62601	TmY20_R (MaleCNS:62601)
531165	neuron	adult nervous system	male-cns_v0_9:531165	TmY20_L (MaleCNS:531165)
59294	neuron	adult nervous system	male-cns_v0_9:59294	TmY20_R (MaleCNS:59294)
12369	neuron	adult nervous system	male-cns_v0_9:12369	TmY20_L (MaleCNS:12369)
62214	neuron	adult nervous system	male-cns_v0_9:62214	TmY20_L (MaleCNS:62214)
52127	neuron	adult nervous system	male-cns_v0_9:52127	TmY20_R (MaleCNS:52127)
61111	neuron	adult nervous system	male-cns_v0_9:61111	TmY20_L (MaleCNS:61111)
546716	neuron	adult nervous system	male-cns_v0_9:546716	TmY20_L (MaleCNS:546716)
60796	neuron	adult nervous system	male-cns_v0_9:60796	TmY20_L (MaleCNS:60796)
55219	neuron	adult nervous system	male-cns_v0_9:55219	TmY20_L (MaleCNS:55219)
543378	neuron	adult nervous system	male-cns_v0_9:543378	TmY20_L (MaleCNS:543378)
525714	neuron	adult nervous system	male-cns_v0_9:525714	TmY20_L (MaleCNS:525714)
57168	neuron	adult nervous system	male-cns_v0_9:57168	TmY20_R (MaleCNS:57168)
61082	neuron	adult nervous system	male-cns_v0_9:61082	TmY20_R (MaleCNS:61082)
81242	neuron	adult nervous system	male-cns_v0_9:81242	TmY20_R (MaleCNS:81242)
105066	neuron	adult nervous system	male-cns_v0_9:105066	TmY20_R (MaleCNS:105066)
115680	neuron	adult nervous system	male-cns_v0_9:115680	TmY20_R (MaleCNS:115680)
27972	neuron	adult nervous system	male-cns_v0_9:27972	TmY20_L (MaleCNS:27972)
94146	neuron	adult nervous system	male-cns_v0_9:94146	TmY20_L (MaleCNS:94146)
101373	neuron	adult nervous system	male-cns_v0_9:101373	TmY20_R (MaleCNS:101373)
75322	neuron	adult nervous system	male-cns_v0_9:75322	TmY20_R (MaleCNS:75322)
153748	neuron	adult nervous system	male-cns_v0_9:153748	TmY20_L (MaleCNS:153748)
44810	neuron	adult nervous system	male-cns_v0_9:44810	TmY20_R (MaleCNS:44810)
95682	neuron	adult nervous system	male-cns_v0_9:95682	TmY20_L (MaleCNS:95682)
138372	neuron	adult nervous system	male-cns_v0_9:138372	TmY20_L (MaleCNS:138372)
64392	neuron	adult nervous system	male-cns_v0_9:64392	TmY20_R (MaleCNS:64392)
54632	neuron	adult nervous system	male-cns_v0_9:54632	TmY20_R (MaleCNS:54632)
51978	neuron	adult nervous system	male-cns_v0_9:51978	TmY20_R (MaleCNS:51978)
49132	neuron	adult nervous system	male-cns_v0_9:49132	TmY20_R (MaleCNS:49132)
82528	neuron	adult nervous system	male-cns_v0_9:82528	TmY20_R (MaleCNS:82528)
53735	neuron	adult nervous system	male-cns_v0_9:53735	TmY20_L (MaleCNS:53735)
39576	neuron	adult nervous system	male-cns_v0_9:39576	TmY20_R (MaleCNS:39576)
33287	neuron	adult nervous system	male-cns_v0_9:33287	TmY20_L (MaleCNS:33287)
133817	neuron	adult nervous system	male-cns_v0_9:133817	TmY20_L (MaleCNS:133817)
533214	neuron	adult nervous system	male-cns_v0_9:533214	TmY20_L (MaleCNS:533214)
61690	neuron	adult nervous system	male-cns_v0_9:61690	TmY20_R (MaleCNS:61690)
22377	neuron	adult nervous system	male-cns_v0_9:22377	TmY20_L (MaleCNS:22377)
74848	neuron	adult nervous system	male-cns_v0_9:74848	TmY20_L (MaleCNS:74848)
106038	neuron	adult nervous system	male-cns_v0_9:106038	TmY20_L (MaleCNS:106038)
97061	neuron	adult nervous system	male-cns_v0_9:97061	TmY20_L (MaleCNS:97061)
67517	neuron	adult nervous system	male-cns_v0_9:67517	TmY20_R (MaleCNS:67517)
74980	neuron	adult nervous system	male-cns_v0_9:74980	TmY20_L (MaleCNS:74980)
64265	neuron	adult nervous system	male-cns_v0_9:64265	TmY20_R (MaleCNS:64265)
67626	neuron	adult nervous system	male-cns_v0_9:67626	TmY20_L (MaleCNS:67626)
63474	neuron	adult nervous system	male-cns_v0_9:63474	TmY20_L (MaleCNS:63474)
79085	neuron	adult nervous system	male-cns_v0_9:79085	TmY20_R (MaleCNS:79085)
517811	neuron	adult nervous system	male-cns_v0_9:517811	TmY20_L (MaleCNS:517811)
118559	neuron	adult nervous system	male-cns_v0_9:118559	TmY20_L (MaleCNS:118559)
84611	neuron	adult nervous system	male-cns_v0_9:84611	TmY20_L (MaleCNS:84611)
67247	neuron	adult nervous system	male-cns_v0_9:67247	TmY20_R (MaleCNS:67247)
68069	neuron	adult nervous system	male-cns_v0_9:68069	TmY20_R (MaleCNS:68069)
94788	neuron	adult nervous system	male-cns_v0_9:94788	TmY20_R (MaleCNS:94788)
535525	neuron	adult nervous system	male-cns_v0_9:535525	TmY20_L (MaleCNS:535525)
529956	neuron	adult nervous system	male-cns_v0_9:529956	TmY21_L (MaleCNS:529956)
59383	neuron	adult nervous system	male-cns_v0_9:59383	TmY21_R (MaleCNS:59383)
25640	neuron	adult nervous system	male-cns_v0_9:25640	TmY21_L (MaleCNS:25640)
56562	neuron	adult nervous system	male-cns_v0_9:56562	TmY21_R (MaleCNS:56562)
54955	neuron	adult nervous system	male-cns_v0_9:54955	TmY21_L (MaleCNS:54955)
44101	neuron	adult nervous system	male-cns_v0_9:44101	TmY21_L (MaleCNS:44101)
139909	neuron	adult nervous system	male-cns_v0_9:139909	TmY21_L (MaleCNS:139909)
50912	neuron	adult nervous system	male-cns_v0_9:50912	TmY21_L (MaleCNS:50912)
45285	neuron	adult nervous system	male-cns_v0_9:45285	TmY21_R (MaleCNS:45285)
