filename	label	part_of	Template	synonyms	dbxrefs	AD	DBD	comment
SS54280_78H12_102E08_A	JRC_SS54280_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS54280|JRC_SS54280	FlyLightLarvalCNS:SS54280	P{R78H12-p65.AD}	P{VT048852-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS54280_78H12_102E08_B	JRC_SS54280_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS54280|JRC_SS54280	FlyLightLarvalCNS:SS54280	P{R78H12-p65.AD}	P{VT048852-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS54388_59C08_53C02_A	JRC_SS54388_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS54388|JRC_SS54388	FlyLightLarvalCNS:SS54388	P{R59C08-p65.AD}	P{R53C02-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS54388_59C08_53C02_B	JRC_SS54388_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS54388|JRC_SS54388	FlyLightLarvalCNS:SS54388	P{R59C08-p65.AD}	P{R53C02-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS54390_59C08_80A11_A	JRC_SS54390_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS54390|JRC_SS54390	FlyLightLarvalCNS:SS54390	P{R59C08-p65.AD}	P{R80A11-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS54390_59C08_80A11_B	JRC_SS54390_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS54390|JRC_SS54390	FlyLightLarvalCNS:SS54390	P{R59C08-p65.AD}	P{R80A11-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS54390_59C08_80A11_C	JRC_SS54390_L3CNS_C	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS54390|JRC_SS54390	FlyLightLarvalCNS:SS54390	P{R59C08-p65.AD}	P{R80A11-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS54391_59C08_94F11_A	JRC_SS54391_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS54391|JRC_SS54391	FlyLightLarvalCNS:SS54391	P{R59C08-p65.AD}	P{R94F11-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS54391_59C08_94F11_B	JRC_SS54391_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS54391|JRC_SS54391	FlyLightLarvalCNS:SS54391	P{R59C08-p65.AD}	P{R94F11-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS54397_13G10_10B07_A	JRC_SS54397_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS54397|JRC_SS54397	FlyLightLarvalCNS:SS54397	P{R13G10-p65.AD}	P{R10B07-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS54397_13G10_10B07_B	JRC_SS54397_L3CNS_B	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS54397|JRC_SS54397	FlyLightLarvalCNS:SS54397	P{R13G10-p65.AD}	P{R10B07-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
SS54410_50C12_70B03_A	JRC_SS54410_L3CNS_A	embryonic/larval central nervous system	L1_larval_CNS_ssTEM_4_Cardona4Janelia_c	SS54410|JRC_SS54410	FlyLightLarvalCNS:SS54410	P{R50C12-p65.AD}	P{R70B03-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release.
