filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-1921658343143768162	JRC_SS00686_Brain_20130822_32_I1_20x	P{R17C06-p65.AD}	P{R25B02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00686|GMR_SS00686|JRC_SS00686	FlyLightRaw:SS00686|FlyLightRawSlideCode:20130822_32_I1|jrc_slide_code_api:20130822_32_I1	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130822_32_I1', age: 'Day 1-5'
20x-Brain-1921658346834755682	JRC_SS00686_Brain_20130822_32_I2_20x	P{R17C06-p65.AD}	P{R25B02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00686|GMR_SS00686|JRC_SS00686	FlyLightRaw:SS00686|FlyLightRawSlideCode:20130822_32_I2|jrc_slide_code_api:20130822_32_I2	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130822_32_I2', age: 'Day 1-5'
20x-Brain-1921658349233897570	JRC_SS00686_Brain_20130822_32_I4_20x	P{R17C06-p65.AD}	P{R25B02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00686|GMR_SS00686|JRC_SS00686	FlyLightRaw:SS00686|FlyLightRawSlideCode:20130822_32_I4|jrc_slide_code_api:20130822_32_I4	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130822_32_I4', age: 'Day 1-5'
63x-Brain-1921658343143768162	JRC_SS00686_Brain_20130822_32_I1_63x	P{R17C06-p65.AD}	P{R25B02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS00686|GMR_SS00686|JRC_SS00686	FlyLightRaw:SS00686|FlyLightRawSlideCode:20130822_32_I1|jrc_slide_code_api:20130822_32_I1	tile(s): 'left_dorsal, left_optic_lobe, right_dorsal, right_optic_lobe, ventral', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 63x/1.4 Oil DIC M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130822_32_I1', age: 'Day 1-5'
20x-VNC-1921658343143768162	JRC_SS00686_VNC_20130822_32_I1_20x	P{R17C06-p65.AD}	P{R25B02-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS00686|GMR_SS00686|JRC_SS00686	FlyLightRaw:SS00686|FlyLightRawSlideCode:20130822_32_I1|jrc_slide_code_api:20130822_32_I1	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130822_32_I1', age: 'Day 1-5'
20x-VNC-1921658346834755682	JRC_SS00686_VNC_20130822_32_I2_20x	P{R17C06-p65.AD}	P{R25B02-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS00686|GMR_SS00686|JRC_SS00686	FlyLightRaw:SS00686|FlyLightRawSlideCode:20130822_32_I2|jrc_slide_code_api:20130822_32_I2	tile(s): 'ventral_nerve_cord', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20130822_32_I2', age: 'Day 1-5'
