filename	label	is_a	part_of	dbxrefs
3021394	DPMl12 ant s 7 Right	neuron	embryonic/larval nervous system	catmaid_l1em:3021394
3054794	DPLal1-3 s 1 Left	neuron	embryonic/larval nervous system	catmaid_l1em:3054794
3384681	BLP34 a s 1 Right	neuron	embryonic/larval nervous system	catmaid_l1em:3384681
3755622	DPMpm1 s left	neuron	embryonic/larval nervous system	catmaid_l1em:3755622
4126720	BLP34 a s 4 Right	neuron	embryonic/larval nervous system	catmaid_l1em:4126720
4126726	BLP34 a s 7 Right	neuron	embryonic/larval nervous system	catmaid_l1em:4126726
4127963	BLP34 b s 5 Right	neuron	embryonic/larval nervous system	catmaid_l1em:4127963
4127975	BLP34 b s 6 Right	neuron	embryonic/larval nervous system	catmaid_l1em:4127975
4127978	BLP34 b s 4 Right	neuron	embryonic/larval nervous system	catmaid_l1em:4127978
4127984	BLP34 b s 3 Right	neuron	embryonic/larval nervous system	catmaid_l1em:4127984
4127987	BLP34 b s 2 Right	neuron	embryonic/larval nervous system	catmaid_l1em:4127987
4127993	BLP34 b s 1 Right	neuron	embryonic/larval nervous system	catmaid_l1em:4127993
4204737	DALcm12 v s 4 Right	neuron	embryonic/larval nervous system	catmaid_l1em:4204737
4211235	DALcm12 v s 3 Right	neuron	embryonic/larval nervous system	catmaid_l1em:4211235
4224044	BLAd OL s 3 Right	neuron	embryonic/larval nervous system	catmaid_l1em:4224044
4332495	BLAd OL s 2 Right	neuron	embryonic/larval nervous system	catmaid_l1em:4332495
4662552	BLAd OL s 5 Right	neuron	embryonic/larval nervous system	catmaid_l1em:4662552
4662725	BLAd OL s 4 Right	neuron	embryonic/larval nervous system	catmaid_l1em:4662725
4663219	BLAd OL s 4 Left	neuron	embryonic/larval nervous system	catmaid_l1em:4663219
4663662	BLAd OL s 5 Left	neuron	embryonic/larval nervous system	catmaid_l1em:4663662
4663668	BLAd OL s 3 Left	neuron	embryonic/larval nervous system	catmaid_l1em:4663668
4990529	neuron  s 4990530	neuron	embryonic/larval nervous system	catmaid_l1em:4990529
5166338	BAmv12 ven s 1 Right	neuron	embryonic/larval nervous system	catmaid_l1em:5166338
5517913	BAla12 s 1 Right	neuron	embryonic/larval nervous system	catmaid_l1em:5517913
5593689	BAmas12 dor s 2 Right	neuron	embryonic/larval nervous system	catmaid_l1em:5593689
5594467	BAmas12 dor s 1 Right	neuron	embryonic/larval nervous system	catmaid_l1em:5594467
5731448	BAmv12 int s 4 Right	neuron	embryonic/larval nervous system	catmaid_l1em:5731448
5757817	BLVp2 s 7 Right ; telegoro-like	neuron	embryonic/larval nervous system	catmaid_l1em:5757817
5759393	BLVp2 s 3 Left	neuron	embryonic/larval nervous system	catmaid_l1em:5759393
5770448	BLVp2 s 5 Left	neuron	embryonic/larval nervous system	catmaid_l1em:5770448
5818143	DALcm12 v s 6 Right	neuron	embryonic/larval nervous system	catmaid_l1em:5818143
5904499	DALcl12 d s 11 Left	neuron	embryonic/larval nervous system	catmaid_l1em:5904499
5999941	DPMpm2 s loSM 1 Right	neuron	embryonic/larval nervous system	catmaid_l1em:5999941
6046598	DPMpm2 s loSM 3 Right	neuron	embryonic/larval nervous system	catmaid_l1em:6046598
6047538	DPMpm2 s loSM 2 Right	neuron	embryonic/larval nervous system	catmaid_l1em:6047538
6152239	CM4 s MEFcom 1 Right	neuron	embryonic/larval nervous system	catmaid_l1em:6152239
6156597	DALd s 6 Right	neuron	embryonic/larval nervous system	catmaid_l1em:6156597
6192490	DALcl12 d s 4 Right	neuron	embryonic/larval nervous system	catmaid_l1em:6192490
7005152	CPd s 3 Left	neuron	embryonic/larval nervous system	catmaid_l1em:7005152
7005160	CPd s 2 Left	neuron	embryonic/larval nervous system	catmaid_l1em:7005160
7005168	CPd s 1 Left	neuron	embryonic/larval nervous system	catmaid_l1em:7005168
7005176	CPd s 4 Left	neuron	embryonic/larval nervous system	catmaid_l1em:7005176
7371869	BAmd1 d s 2 Right	neuron	embryonic/larval nervous system	catmaid_l1em:7371869
7372611	BAmd1 d s 1 Right	neuron	embryonic/larval nervous system	catmaid_l1em:7372611
7373095	BAmd1 d s 3 Right	neuron	embryonic/larval nervous system	catmaid_l1em:7373095
7693659	CPb s 4 Right CP2/3d obPl 13	neuron	embryonic/larval nervous system	catmaid_l1em:7693659
8066171	BLVa34 a s 1 Right	neuron	embryonic/larval nervous system	catmaid_l1em:8066171
8138520	DPLc post med s 4 Right	neuron	embryonic/larval nervous system	catmaid_l1em:8138520
8208038	BLVa34 a s 4 Left	neuron	embryonic/larval nervous system	catmaid_l1em:8208038
8368854	BLP34 b s 6 Left	neuron	embryonic/larval nervous system	catmaid_l1em:8368854
8426335	BAlp4 s 2 Left 	neuron	embryonic/larval nervous system	catmaid_l1em:8426335
8555954	BLP34 a s 8 Right	neuron	embryonic/larval nervous system	catmaid_l1em:8555954
8573240	DPMm1 ppFB s 6 Right	neuron	embryonic/larval nervous system	catmaid_l1em:8573240
8574334	DPMm1 upp comm s 2 Right	neuron	embryonic/larval nervous system	catmaid_l1em:8574334
8575183	DPMm1 s 4	neuron	embryonic/larval nervous system	catmaid_l1em:8575183
8706074	BLAd OL s 1 Right	neuron	embryonic/larval nervous system	catmaid_l1em:8706074
8805521	BLAl s 1 Right	neuron	embryonic/larval nervous system	catmaid_l1em:8805521
8814452	BAmv12 int s 6 Left	neuron	embryonic/larval nervous system	catmaid_l1em:8814452
8893368	BLP34 a s 2 Right	neuron	embryonic/larval nervous system	catmaid_l1em:8893368
8943031	BLVa34 a s 2 Right	neuron	embryonic/larval nervous system	catmaid_l1em:8943031
8943298	BLVa34 a s 3 Right	neuron	embryonic/larval nervous system	catmaid_l1em:8943298
9235768	DPLc post med s 3 Left	neuron	embryonic/larval nervous system	catmaid_l1em:9235768
9236353	DPLc post med s 1 Left	neuron	embryonic/larval nervous system	catmaid_l1em:9236353
9289231	DPLm1 s 1 Right	neuron	embryonic/larval nervous system	catmaid_l1em:9289231
9318513	CP23 v s 6 Left	neuron	embryonic/larval nervous system	catmaid_l1em:9318513
9345728	DALcl12 d s 6 Right	neuron	embryonic/larval nervous system	catmaid_l1em:9345728
9347019	DALcl12 d s 9 Right	neuron	embryonic/larval nervous system	catmaid_l1em:9347019
9689371	CM13 lat s 2 Right	neuron	embryonic/larval nervous system	catmaid_l1em:9689371
9696888	CM4 s MEFcom 6 Left	neuron	embryonic/larval nervous system	catmaid_l1em:9696888
