filename	synonyms	label	is_a	part_of
flylight_gen1_gal4-Alignments-GMR_10B11_AE_01-GMR_10B11_AE_01-20090224_GMR_10B11_AE_01_02-fA01v_20090224114347156-20x-VNC-2627720521248145447-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10B11_AE_01
flylight_gen1_gal4-Alignments-GMR_10C02_AE_01-GMR_10C02_AE_01-20090224_GMR_10C02_AE_01_01-fA01v_20090224114923328-20x-VNC-2625297544262975527-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10C02_AE_01
flylight_gen1_gal4-Alignments-GMR_10C03_AE_01-GMR_10C03_AE_01-20090224_GMR_10C03_AE_01_02-fA01v_20090225102346375-20x-VNC-2630290527156699175-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10C03_AE_01
flylight_gen1_gal4-Alignments-GMR_10C04_AE_01-GMR_10C04_AE_01-20090224_GMR_10C04_AE_01_02-fA01v_20090225102709671-20x-VNC-2625298344074805282-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10C04_AE_01
flylight_gen1_gal4-Alignments-GMR_10C05_AE_01-GMR_10C05_AE_01-20080213_GMR_10C05_AE_01_04-fA01v_20080218231504000-20x-VNC-2627420169147777058-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10C05_AE_01
flylight_gen1_gal4-Alignments-GMR_10C06_AE_01-GMR_10C06_AE_01-20090425_GMR_10C06_AE_01_01-fA01v_20090427095046734-20x-VNC-2624389308517187617-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10C06_AE_01
flylight_gen1_gal4-Alignments-GMR_10C08_AE_01-GMR_10C08_AE_01-20071220_GMR_10C08_AE_01_07-fA01v_20080104230447625-20x-VNC-2623156525547388968-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10C08_AE_01
flylight_gen1_gal4-Alignments-GMR_10C10_AE_01-GMR_10C10_AE_01-20080213_GMR_10C10_AE_01_04-fA01v_20080218235042187-20x-VNC-2626281383441465382-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10C10_AE_01
flylight_gen1_gal4-Alignments-GMR_10C11_AE_01-GMR_10C11_AE_01-20080430_GMR_10C11_AE_01_02-fA01v_20080502030641031-20x-VNC-2626331024476340260-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10C11_AE_01
flylight_gen1_gal4-Alignments-GMR_10C12_AE_01-GMR_10C12_AE_01-20080430_GMR_10C12_AE_01_05-fA01v_20080502032001078-20x-VNC-2626286190675886117-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10C12_AE_01
flylight_gen1_gal4-Alignments-GMR_10D01_AE_01-GMR_10D01_AE_01-20080311_GMR_10D01_AE_01_02-fA01v_20080312030206671-20x-VNC-2623295063903436837-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10D01_AE_01
flylight_gen1_gal4-Alignments-GMR_10D02_AE_01-GMR_10D02_AE_01-20080214_GMR_10D02_AE_01_05-fA01v_20080219000556671-20x-VNC-2623575975195050024-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10D02_AE_01
flylight_gen1_gal4-Alignments-GMR_10D04_AE_01-GMR_10D04_AE_01-20090224_GMR_10D04_AE_01_02-fA01v_20090225103056609-20x-VNC-2624983039968542756-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10D04_AE_01
flylight_gen1_gal4-Alignments-GMR_10D05_AE_01-GMR_10D05_AE_01-20080219_GMR_10D05_AE_01_04-fA01v_20080228023659921-20x-VNC-2625760450893053989-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10D05_AE_01
flylight_gen1_gal4-Alignments-GMR_10D06_AE_01-GMR_10D06_AE_01-20080219_GMR_10D06_AE_01_05-fA01v_20080228022440796-20x-VNC-2625798498154446884-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10D06_AE_01
flylight_gen1_gal4-Alignments-GMR_10D07_AE_01-GMR_10D07_AE_01-20071220_GMR_10D07_AE_01_07-fA01v_20080104230858515-20x-VNC-2626567227951808551-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10D07_AE_01
flylight_gen1_gal4-Alignments-GMR_10D08_AE_01-GMR_10D08_AE_01-20080219_GMR_10D08_AE_01_02-fA01v_20080228024619281-20x-VNC-2626680444485107750-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10D08_AE_01
flylight_gen1_gal4-Alignments-GMR_10D09_AE_01-GMR_10D09_AE_01-20090224_GMR_10D09_AE_01_01-fA01v_20090225103308765-20x-VNC-2627137897198780456-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10D09_AE_01
flylight_gen1_gal4-Alignments-GMR_10D10_AE_01-GMR_10D10_AE_01-20071219_GMR_10D10_AE_01_02-fA01v_20080104224257718-20x-VNC-2622637637348884518-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10D10_AE_01
flylight_gen1_gal4-Alignments-GMR_10E01_AE_01-GMR_10E01_AE_01-20080314_GMR_10E01_AE_01_05-fA01v_20080315005536937-20x-VNC-2625825825018085474-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10E01_AE_01
flylight_gen1_gal4-Alignments-GMR_10E02_AE_01-GMR_10E02_AE_01-20080220_GMR_10E02_AE_01_06-fA01v_20080228030358750-20x-VNC-2625540920019255333-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10E02_AE_01
flylight_gen1_gal4-Alignments-GMR_10E03_AE_01-GMR_10E03_AE_01-20091013_GMR_10E03_AE_01_01-fA01v_20091014113157312-20x-VNC-2626651636579172390-REG_UNISEX_VNC_8bitc_J18VU_SG	GMR_10E03_AE_01
