filename	synonyms	label	driver	part_of
flylight_gen1_lexa-Alignments-GMR_10B02_LJ_21-GMR_10B02_LJ_21-20110110_GMR_10B02_LJ_21_02-fA01b_20110112101637187-20x-Brain-2616135005016948774-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10B02_LJ_21_02-fA01b	JRC_R10B02_lexA_Brain_20110110	P{GMR10B02-lexA}	adult brain
flylight_gen1_lexa-Alignments-GMR_10B03_LJ_21-GMR_10B03_LJ_21-20101202_GMR_10B03_LJ_21_03-fA01b_20101206102046281-20x-Brain-2616046592314048549-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10B03_LJ_21_03-fA01b	JRC_R10B03_lexA_Brain_20101202	P{GMR10B03-lexA}	adult brain
flylight_gen1_lexa-Alignments-GMR_10B07_LJ_21-GMR_10B07_LJ_21-20130627_GMR_10B07_LJ_21_02-fA01b_20131204025830096-20x-Brain-2616491323892432936-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10B07_LJ_21_02-fA01b	JRC_R10B07_lexA_Brain_20130627	P{GMR10B07-lexA}	adult brain
flylight_gen1_lexa-Alignments-GMR_10B10_LJ_21-GMR_10B10_LJ_21-20111110_GMR_10B10_LJ_21_00-fA01b_20111111101439578-20x-Brain-2616424566213312552-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10B10_LJ_21_00-fA01b	JRC_R10B10_lexA_Brain_20111110	P{GMR10B10-lexA}	adult brain
flylight_gen1_lexa-Alignments-GMR_10B11_LJ_21-GMR_10B11_LJ_21-20110607_GMR_10B11_LJ_21_00-fA01b_20110608112017781-20x-Brain-2616230522132627494-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10B11_LJ_21_00-fA01b	JRC_R10B11_lexA_Brain_20110607	P{GMR10B11-lexA}	adult brain
flylight_gen1_lexa-Alignments-GMR_10C01_LJ_21-GMR_10C01_LJ_21-20110514_GMR_10C01_LJ_21_00-fA01b_20110516113928312-20x-Brain-2616059776064290856-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10C01_LJ_21_00-fA01b	JRC_R10C01_lexA_Brain_20110514	P{GMR10C01-lexA}	adult brain
flylight_gen1_lexa-Alignments-GMR_10C05_LJ_21-GMR_10C05_LJ_21-20110121_GMR_10C05_LJ_21_00-fA01b_20110124095357171-20x-Brain-2616101888726138919-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10C05_LJ_21_00-fA01b	JRC_R10C05_lexA_Brain_20110121	P{GMR10C05-lexA}	adult brain
flylight_gen1_lexa-Alignments-GMR_10C06_LJ_21-GMR_10C06_LJ_21-20110607_GMR_10C06_LJ_21_02-fA01b_20110608112350609-20x-Brain-2616230017562050597-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10C06_LJ_21_02-fA01b	JRC_R10C06_lexA_Brain_20110607	P{GMR10C06-lexA}	adult brain
flylight_gen1_lexa-Alignments-GMR_10D10_LJ_21-GMR_10D10_LJ_21-20140325_GMR_10D10_LJ_21_05-fA01b_20140504212645574-20x-Brain-2616614617626968101-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10D10_LJ_21_05-fA01b	JRC_R10D10_lexA_Brain_20140325	P{GMR10D10-lexA}	adult brain
flylight_gen1_lexa-Alignments-GMR_10E02_LJ_21-GMR_10E02_LJ_21-20131212_GMR_10E02_LJ_21_02-fA01b_20131217145407736-20x-Brain-2616565269979463720-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10E02_LJ_21_02-fA01b	JRC_R10E02_lexA_Brain_20131212	P{GMR10E02-lexA}	adult brain
flylight_gen1_lexa-Alignments-GMR_10E06_LJ_21-GMR_10E06_LJ_21-20110610_GMR_10E06_LJ_21_00-fA01b_20110613120157328-20x-Brain-2616226287609446440-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10E06_LJ_21_00-fA01b	JRC_R10E06_lexA_Brain_20110610	P{GMR10E06-lexA}	adult brain
flylight_gen1_lexa-Alignments-GMR_10E07_LJ_21-GMR_10E07_LJ_21-20101203_GMR_10E07_LJ_21_00-fA01b_20101203151256992-20x-Brain-2616125186109341733-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10E07_LJ_21_00-fA01b	JRC_R10E07_lexA_Brain_20101203	P{GMR10E07-lexA}	adult brain
flylight_gen1_lexa-Alignments-GMR_10E08_LJ_21-GMR_10E08_LJ_21-20110110_GMR_10E08_LJ_21_00-fA01b_20110112101828781-20x-Brain-2616077527122182183-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10E08_LJ_21_00-fA01b	JRC_R10E08_lexA_Brain_20110110	P{GMR10E08-lexA}	adult brain
flylight_gen1_lexa-Alignments-GMR_10F07_LJ_21-GMR_10F07_LJ_21-20130716_GMR_10F07_LJ_21_03-fA01b_20131211110315232-20x-Brain-2616530271603785768-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10F07_LJ_21_03-fA01b	JRC_R10F07_lexA_Brain_20130716	P{GMR10F07-lexA}	adult brain
flylight_gen1_lexa-Alignments-GMR_10F08_LJ_21-GMR_10F08_LJ_21-20120113_GMR_10F08_LJ_21_00-fA01b_20120117095142218-20x-Brain-2616443504045326376-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10F08_LJ_21_00-fA01b	JRC_R10F08_lexA_Brain_20120113	P{GMR10F08-lexA}	adult brain
flylight_gen1_lexa-Alignments-GMR_10F10_LJ_21-GMR_10F10_LJ_21-20110701_GMR_10F10_LJ_21_00-fA01b_20110705101157671-20x-Brain-2616204943844966438-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10F10_LJ_21_00-fA01b	JRC_R10F10_lexA_Brain_20110701	P{GMR10F10-lexA}	adult brain
flylight_gen1_lexa-Alignments-GMR_10G02_LJ_21-GMR_10G02_LJ_21-20101203_GMR_10G02_LJ_21_00-fA01b_20101206102706687-20x-Brain-2616108678800998440-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10G02_LJ_21_00-fA01b	JRC_R10G02_lexA_Brain_20101203	P{GMR10G02-lexA}	adult brain
flylight_gen1_lexa-Alignments-GMR_10G12_LJ_21-GMR_10G12_LJ_21-20110701_GMR_10G12_LJ_21_00-fA01b_20110705101326859-20x-Brain-2616198647527768104-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10G12_LJ_21_00-fA01b	JRC_R10G12_lexA_Brain_20110701	P{GMR10G12-lexA}	adult brain
