filename	label	is_a	part_of	dbxrefs
4680995	LH bilateral axon 3_left	neuron	embryonic/larval nervous system	catmaid_l1em:4680995
5462159	PDM-DN_right	neuron	embryonic/larval nervous system	catmaid_l1em:5462159
5769582	LH-LN2_left	neuron	embryonic/larval nervous system	catmaid_l1em:5769582
6446394	PDM-DN_left	neuron	embryonic/larval nervous system	catmaid_l1em:6446394
8065771	MJ: LNM_downstream4_right	neuron	embryonic/larval nervous system	catmaid_l1em:8065771
9753418	LH-LN2_right	neuron	embryonic/larval nervous system	catmaid_l1em:9753418
12813847	LH Processor_right	neuron	embryonic/larval nervous system	catmaid_l1em:12813847
17038587	MJ: LNM_downstream4_left	neuron	embryonic/larval nervous system	catmaid_l1em:17038587
17361757	LH Processor_left	neuron	embryonic/larval nervous system	catmaid_l1em:17361757
17806341	LH bilateral axon 3_right	neuron	embryonic/larval nervous system	catmaid_l1em:17806341
