filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-2305058317770162321	JRC_SS32207_Brain_20160802_31_E1_20x	P{VT033006-p65.AD}	P{R26E12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS32207|JRC_SS32207	FlyLightSplit:SS32207|FlyLightSplitSlideCode:20160802_31_E1|jrc_slide_code_api:20160802_31_E1|neuronbridge:SS32207	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160802_31_E1', age: 'Day 1-5'
20x-Brain-2305058317916962961	JRC_SS32207_Brain_20160802_31_E2_20x	P{VT033006-p65.AD}	P{R26E12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS32207|JRC_SS32207	FlyLightSplit:SS32207|FlyLightSplitSlideCode:20160802_31_E2|jrc_slide_code_api:20160802_31_E2|neuronbridge:SS32207	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160802_31_E2', age: 'Day 1-5'
20x-Brain-2305058318059569297	JRC_SS32207_Brain_20160802_31_E3_20x	P{VT033006-p65.AD}	P{R26E12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS32207|JRC_SS32207	FlyLightSplit:SS32207|FlyLightSplitSlideCode:20160802_31_E3|jrc_slide_code_api:20160802_31_E3|neuronbridge:SS32207	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160802_31_E3', age: 'Day 1-5'
20x-Brain-2305058318181204113	JRC_SS32207_Brain_20160802_31_E4_20x	P{VT033006-p65.AD}	P{R26E12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS32207|JRC_SS32207	FlyLightSplit:SS32207|FlyLightSplitSlideCode:20160802_31_E4|jrc_slide_code_api:20160802_31_E4|neuronbridge:SS32207	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160802_31_E4', age: 'Day 1-5'
20x-Brain-2305059109642174609	JRC_SS32275_Brain_20160719_32_I1_20x	P{R78E05-p65.AD}	P{R87F12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS32275|JRC_SS32275	FlyLightSplit:SS32275|FlyLightSplitSlideCode:20160719_32_I1|jrc_slide_code_api:20160719_32_I1|neuronbridge:SS32275	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160719_32_I1', age: 'Day 1-5'
20x-Brain-2305059109839306897	JRC_SS32275_Brain_20160719_32_I2_20x	P{R78E05-p65.AD}	P{R87F12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS32275|JRC_SS32275	FlyLightSplit:SS32275|FlyLightSplitSlideCode:20160719_32_I2|jrc_slide_code_api:20160719_32_I2|neuronbridge:SS32275	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160719_32_I2', age: 'Day 1-5'
20x-Brain-2305059110250348689	JRC_SS32275_Brain_20160719_32_I4_20x	P{R78E05-p65.AD}	P{R87F12-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS32275|JRC_SS32275	FlyLightSplit:SS32275|FlyLightSplitSlideCode:20160719_32_I4|jrc_slide_code_api:20160719_32_I4|neuronbridge:SS32275	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160719_32_I4', age: 'Day 1-5'
20x-Brain-2305062065640833169	JRC_SS32264_Brain_20160719_32_C1_20x	P{R49C08-p65.AD}	P{R10G01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS32264|JRC_SS32264	FlyLightSplit:SS32264|FlyLightSplitSlideCode:20160719_32_C1|jrc_slide_code_api:20160719_32_C1|neuronbridge:SS32264	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160719_32_C1', age: 'Day 1-5'
20x-Brain-2305062065804411025	JRC_SS32264_Brain_20160719_32_C2_20x	P{R49C08-p65.AD}	P{R10G01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS32264|JRC_SS32264	FlyLightSplit:SS32264|FlyLightSplitSlideCode:20160719_32_C2|jrc_slide_code_api:20160719_32_C2|neuronbridge:SS32264	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160719_32_C2', age: 'Day 1-5'
20x-Brain-2305062065967988881	JRC_SS32264_Brain_20160719_32_C3_20x	P{R49C08-p65.AD}	P{R10G01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS32264|JRC_SS32264	FlyLightSplit:SS32264|FlyLightSplitSlideCode:20160719_32_C3|jrc_slide_code_api:20160719_32_C3|neuronbridge:SS32264	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160719_32_C3', age: 'Day 1-5'
20x-Brain-2305062066131566737	JRC_SS32264_Brain_20160719_32_C4_20x	P{R49C08-p65.AD}	P{R10G01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS32264|JRC_SS32264	FlyLightSplit:SS32264|FlyLightSplitSlideCode:20160719_32_C4|jrc_slide_code_api:20160719_32_C4|neuronbridge:SS32264	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160719_32_C4', age: 'Day 1-5'
20x-Brain-2305062066253201553	JRC_SS32264_Brain_20160719_32_C5_20x	P{R49C08-p65.AD}	P{R10G01-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS32264|JRC_SS32264	FlyLightSplit:SS32264|FlyLightSplitSlideCode:20160719_32_C5|jrc_slide_code_api:20160719_32_C5|neuronbridge:SS32264	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160719_32_C5', age: 'Day 1-5'
20x-Brain-2305062066383224977	JRC_SS32266_Brain_20160719_32_D1_20x	P{R50C03-p65.AD}	P{R41F02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS32266|JRC_SS32266	FlyLightSplit:SS32266|FlyLightSplitSlideCode:20160719_32_D1|jrc_slide_code_api:20160719_32_D1|neuronbridge:SS32266	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160719_32_D1', age: 'Day 1-5'
20x-Brain-2305062066546802833	JRC_SS32266_Brain_20160719_32_D2_20x	P{R50C03-p65.AD}	P{R41F02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS32266|JRC_SS32266	FlyLightSplit:SS32266|FlyLightSplitSlideCode:20160719_32_D2|jrc_slide_code_api:20160719_32_D2|neuronbridge:SS32266	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160719_32_D2', age: 'Day 1-5'
20x-Brain-2305062066710380689	JRC_SS32266_Brain_20160719_32_D3_20x	P{R50C03-p65.AD}	P{R41F02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS32266|JRC_SS32266	FlyLightSplit:SS32266|FlyLightSplitSlideCode:20160719_32_D3|jrc_slide_code_api:20160719_32_D3|neuronbridge:SS32266	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160719_32_D3', age: 'Day 1-5'
20x-Brain-2305062066832015505	JRC_SS32266_Brain_20160719_32_D4_20x	P{R50C03-p65.AD}	P{R41F02-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS32266|JRC_SS32266	FlyLightSplit:SS32266|FlyLightSplitSlideCode:20160719_32_D4|jrc_slide_code_api:20160719_32_D4|neuronbridge:SS32266	tile(s): 'brain', effector genotype: 'w;;pJFRC225-5XUAS-IVS-myr::smFLAG in VK00005, pJFRC51-3XUAS-IVS-Syt::smHA in su(Hw)attP1', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20160719_32_D4', age: 'Day 1-5'
