filename	synonyms	label	driver	part_of
flylight_gen1_lexa-Alignments-GMR_10B02_LJ_21-GMR_10B02_LJ_21-20110110_GMR_10B02_LJ_21_02-fA01b_20110112101637187-20x-Brain-2616135005016948774-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10B02_LJ_21_02-fA01b	JRC_R$3_lexA_Brain_20110110	P{GMR20110110-lexA}	adult brain
flylight_gen1_lexa-Alignments-GMR_10B03_LJ_21-GMR_10B03_LJ_21-20101202_GMR_10B03_LJ_21_03-fA01b_20101206102046281-20x-Brain-2616046592314048549-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10B03_LJ_21_03-fA01b	JRC_R$3_lexA_Brain_20101202	P{GMR20101202-lexA}	adult brain
flylight_gen1_lexa-Alignments-GMR_10B07_LJ_21-GMR_10B07_LJ_21-20130627_GMR_10B07_LJ_21_02-fA01b_20131204025830096-20x-Brain-2616491323892432936-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10B07_LJ_21_02-fA01b	JRC_R$3_lexA_Brain_20130627	P{GMR20130627-lexA}	adult brain
flylight_gen1_lexa-Alignments-GMR_10B10_LJ_21-GMR_10B10_LJ_21-20111110_GMR_10B10_LJ_21_00-fA01b_20111111101439578-20x-Brain-2616424566213312552-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10B10_LJ_21_00-fA01b	JRC_R$3_lexA_Brain_20111110	P{GMR20111110-lexA}	adult brain
flylight_gen1_lexa-Alignments-GMR_10B11_LJ_21-GMR_10B11_LJ_21-20110607_GMR_10B11_LJ_21_00-fA01b_20110608112017781-20x-Brain-2616230522132627494-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10B11_LJ_21_00-fA01b	JRC_R$3_lexA_Brain_20110607	P{GMR20110607-lexA}	adult brain
flylight_gen1_lexa-Alignments-GMR_10C01_LJ_21-GMR_10C01_LJ_21-20110514_GMR_10C01_LJ_21_00-fA01b_20110516113928312-20x-Brain-2616059776064290856-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10C01_LJ_21_00-fA01b	JRC_R$3_lexA_Brain_20110514	P{GMR20110514-lexA}	adult brain
flylight_gen1_lexa-Alignments-GMR_10C05_LJ_21-GMR_10C05_LJ_21-20110121_GMR_10C05_LJ_21_00-fA01b_20110124095357171-20x-Brain-2616101888726138919-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10C05_LJ_21_00-fA01b	JRC_R$3_lexA_Brain_20110121	P{GMR20110121-lexA}	adult brain
flylight_gen1_lexa-Alignments-GMR_10C06_LJ_21-GMR_10C06_LJ_21-20110607_GMR_10C06_LJ_21_02-fA01b_20110608112350609-20x-Brain-2616230017562050597-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10C06_LJ_21_02-fA01b	JRC_R$3_lexA_Brain_20110607	P{GMR20110607-lexA}	adult brain
flylight_gen1_lexa-Alignments-GMR_10D10_LJ_21-GMR_10D10_LJ_21-20140325_GMR_10D10_LJ_21_05-fA01b_20140504212645574-20x-Brain-2616614617626968101-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10D10_LJ_21_05-fA01b	JRC_R$3_lexA_Brain_20140325	P{GMR20140325-lexA}	adult brain
flylight_gen1_lexa-Alignments-GMR_10E02_LJ_21-GMR_10E02_LJ_21-20131212_GMR_10E02_LJ_21_02-fA01b_20131217145407736-20x-Brain-2616565269979463720-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10E02_LJ_21_02-fA01b	JRC_R$3_lexA_Brain_20131212	P{GMR20131212-lexA}	adult brain
flylight_gen1_lexa-Alignments-GMR_10E06_LJ_21-GMR_10E06_LJ_21-20110610_GMR_10E06_LJ_21_00-fA01b_20110613120157328-20x-Brain-2616226287609446440-REG_UNISEX_ColorMIP_HR_8bitc_J18U_SG	GMR_10E06_LJ_21_00-fA01b	JRC_R$3_lexA_Brain_20110610	P{GMR20110610-lexA}	adult brain
