filename	label	AD	DBD	part_of
Janelia-2302947006252843082-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_346_914_2521780649581346914_align_AlignedFlyBrain_8bitc_J18U_SG	Janelia-2302947006252843082-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_346_914_2521780649581346914_align_AlignedFlyBrain_8bitc_J18U_SG	PBac{ple-p65.AD}	P{R73F07-GAL4.DBD}	female organism|adult brain
Janelia-2302947006336729162-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_137_570_2521781255612137570_align_AlignedFlyBrain_8bitc_J18U_SG	Janelia-2302947006336729162-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_137_570_2521781255612137570_align_AlignedFlyBrain_8bitc_J18U_SG	PBac{ple-p65.AD}	P{R73F07-GAL4.DBD}	female organism|adult brain
Janelia-2302947006772936778-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_672_674_2521781255515672674_align_AlignedFlyBrain_8bitc_J18U_SG	Janelia-2302947006772936778-Brain-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_672_674_2521781255515672674_align_AlignedFlyBrain_8bitc_J18U_SG	PBac{ple-p65.AD}	P{R22B12-GAL4.DBD}	female organism|adult brain
Janelia-2302947006856822858-VNC-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_208_162_2587220768748208162_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	Janelia-2302947006856822858-VNC-20x_nrs_jacs_jacsData_filestore_asoy_Alignment_208_162_2587220768748208162_align_REG_JRC2018_VNC_FEMALE_8bitc_J18VU_SG	P{VT026773-p65.AD}	P{R72B05-GAL4.DBD}	female organism|thoracico-abdominal ganglion
