filename	label	AD	DBD	part_of	Template	synonyms	dbxrefs	comment
20x-Brain-3054535478503014498	JRC_SS57264_Brain_20220401_46_E5_20x	P{VT045282-p65.AD}	P{VT020829-GAL4.DBD}	female organism|adult brain	JRC2018Unisex_c	SS57264|JRC_SS57264	FlyLightSplit:SS57264|FlyLightSplitSlideCode:20220401_46_E5|jrc_slide_code_api:20220401_46_E5|neuronbridge:SS57264	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20220401_46_E5', age: 'Day 1-5'
20x-Brain-2778035548139290722	JRC_SS57264_Brain_20200228_42_F2_20x	P{VT045282-p65.AD}	P{VT020829-GAL4.DBD}	male organism|adult brain	JRC2018Unisex_c	SS57264|JRC_SS57264	FlyLightSplit:SS57264|FlyLightSplitSlideCode:20200228_42_F2|jrc_slide_code_api:20200228_42_F2|neuronbridge:SS57264	tile(s): 'brain', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200228_42_F2', age: 'Day 1-5'
20x-VNC-3054535478503014498	JRC_SS57264_VNC_20220401_46_E5_20x	P{VT045282-p65.AD}	P{VT020829-GAL4.DBD}	female organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS57264|JRC_SS57264	FlyLightSplit:SS57264|FlyLightSplitSlideCode:20220401_46_E5|jrc_slide_code_api:20220401_46_E5|neuronbridge:SS57264	tile(s): 'ventral_nerve_cord', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20220401_46_E5', age: 'Day 1-5'
20x-VNC-2778035548139290722	JRC_SS57264_VNC_20200228_42_F2_20x	P{VT045282-p65.AD}	P{VT020829-GAL4.DBD}	male organism|adult ventral nerve cord	JRC2018UnisexVNC_c	SS57264|JRC_SS57264	FlyLightSplit:SS57264|FlyLightSplitSlideCode:20200228_42_F2|jrc_slide_code_api:20200228_42_F2|neuronbridge:SS57264	tile(s): 'ventral_nerve_cord', effector genotype: '20XUAS-CsChrimson-mVenus trafficked in attP18', objective: 'Plan-Apochromat 20x/0.8 M27', mounting protocol: 'DPX PBS Mounting', slide_code: '20200228_42_F2', age: 'Day 1-5'
