filename	label	is_a	part_of	dbxrefs	comment
5813022469	AOTU007_R - 5813022469	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:5813022469	tracing status-Roughly traced, cropped-False
986098785	AOTU008_a_R - 986098785	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:986098785	tracing status-Roughly traced, cropped-False
861237679	AOTU008_a_R - 861237679	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:861237679	tracing status-Roughly traced, cropped-False
1009004209	AOTU008_a_R - 1009004209	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1009004209	tracing status-Roughly traced, cropped-False
861583277	AOTU008_a_R - 861583277	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:861583277	tracing status-Roughly traced, cropped-False
862270125	AOTU008_a_R - 862270125	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:862270125	tracing status-Roughly traced, cropped-False
1008663864	AOTU008_a_R - 1008663864	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1008663864	tracing status-Roughly traced, cropped-False
892609503	AOTU008_a_R - 892609503	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:892609503	tracing status-Roughly traced, cropped-False
892268533	AOTU008_a_R - 892268533	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:892268533	tracing status-Roughly traced, cropped-False
862265395	AOTU008_b_R - 862265395	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:862265395	tracing status-Traced, cropped-False
892286449	AOTU008_b_R - 892286449	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:892286449	tracing status-Roughly traced, cropped-False
892959869	AOTU008_b_R - 892959869	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:892959869	tracing status-Roughly traced, cropped-False
670547617	AOTU009_R - 670547617	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:670547617	tracing status-Roughly traced, cropped-False
1129302146	AOTU010_R - 1129302146	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1129302146	tracing status-Roughly traced, cropped-False
1438083750	AOTU011_R - 1438083750	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1438083750	tracing status-Roughly traced, cropped-False
956398176	AOTU011_R - 956398176	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:956398176	tracing status-Roughly traced, cropped-False
611694145	AOTU012_R - 611694145	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:611694145	tracing status-Roughly traced, cropped-False
5813094683	AOTU013_R - 5813094683	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:5813094683	tracing status-Roughly traced, cropped-False
860905614	AOTU014_R - 860905614	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:860905614	tracing status-Roughly traced, cropped-False
1509957347	AOTU015_R - 1509957347	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1509957347	tracing status-Roughly traced, cropped-False
1324762843	AOTU015_R - 1324762843	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1324762843	tracing status-Roughly traced, cropped-False
861578855	AOTU015_R - 861578855	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:861578855	tracing status-Roughly traced, cropped-False
673763861	AOTU016_R - 673763861	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:673763861	tracing status-Roughly traced, cropped-False
861260193	AOTU016_R - 861260193	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:861260193	tracing status-Roughly traced, cropped-False
831225810	AOTU016_R - 831225810	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:831225810	tracing status-Roughly traced, cropped-False
861246683	AOTU016_R - 861246683	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:861246683	tracing status-Roughly traced, cropped-False
862274410	AOTU016_R - 862274410	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:862274410	tracing status-Roughly traced, cropped-False
861233300	AOTU017_R - 861233300	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:861233300	tracing status-Roughly traced, cropped-False
861592758	AOTU017_R - 861592758	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:861592758	tracing status-Roughly traced, cropped-False
861229043	AOTU017_R - 861229043	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:861229043	tracing status-Roughly traced, cropped-False
861237903	AOTU017_R - 861237903	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:861237903	tracing status-Roughly traced, cropped-False
1509275719	AOTU018_R - 1509275719	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1509275719	tracing status-Roughly traced, cropped-False
799868224	AOTU019_R - 799868224	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:799868224	tracing status-Roughly traced, cropped-False
1605518663	AOTU019(ADM10)_L - 1605518663	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1605518663	tracing status-Roughly traced, cropped-False
1076173414	AOTU020_R - 1076173414	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1076173414	tracing status-Roughly traced, cropped-False
1050922195	AOTU020_R - 1050922195	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1050922195	tracing status-Roughly traced, cropped-False
769191110	AOTU021_R - 769191110	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:769191110	tracing status-Roughly traced, cropped-False
800212976	AOTU022_R - 800212976	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:800212976	tracing status-Roughly traced, cropped-False
861242327	AOTU023_R - 861242327	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:861242327	tracing status-Roughly traced, cropped-False
1191500957	AOTU023(ADM11)_L - 1191500957	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:1191500957	tracing status-Roughly traced, cropped-False
799521639	AOTU024_R - 799521639	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:799521639	tracing status-Roughly traced, cropped-False
892294329	AOTU025_R - 892294329	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:892294329	tracing status-Roughly traced, cropped-False
861937730	AOTU026_R - 861937730	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:861937730	tracing status-Roughly traced, cropped-False
830915321	AOTU027_R - 830915321	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:830915321	tracing status-Roughly traced, cropped-False
737824168	AOTU028_R - 737824168	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:737824168	tracing status-Roughly traced, cropped-False
737832306	AOTU029_R - 737832306	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:737832306	tracing status-Roughly traced, cropped-False
861583205	AOTU030_R - 861583205	neuron	female organism|adult brain	neuprint_JRC_Hemibrain_1point1:861583205	tracing status-Roughly traced, cropped-False
