filename	Label	is_a	part_of	develops_from
AOTUv1A_P01(CRE)_0_2018U	AOTUv1A_P01(CRE)_0_2018U	neuron	adult brain	neuroblast AOTUv1
AOTUv1A_P02(CRE)_0_2018U	AOTUv1A_P02(CRE)_0_2018U	neuron	adult brain	neuroblast AOTUv1
AOTUv1A_P03(CRE)_0_2018U	AOTUv1A_P03(CRE)_0_2018U	neuron	adult brain	neuroblast AOTUv1
AOTUv1A_P04(CRE)_0_2018U	AOTUv1A_P04(CRE)_0_2018U	neuron	adult brain	neuroblast AOTUv1
AOTUv1A_P05(LAL)_0_2018U	AOTUv1A_P05(LAL)_0_2018U	neuron	adult brain	neuroblast AOTUv1
AOTUv1A_P06(LAL)_0_2018U	AOTUv1A_P06(LAL)_0_2018U	neuron	adult brain	neuroblast AOTUv1
AOTUv1A_T01(LAL)_0_2018U	AOTUv1A_T01(LAL)_0_2018U	neuron	adult brain	neuroblast AOTUv1
AOTUv1B_P01(PS)_0_2018U	AOTUv1B_P01(PS)_0_2018U	neuron	adult brain	neuroblast AOTUv1
AOTUv1B_P02(PS)_0_2018U	AOTUv1B_P02(PS)_0_2018U	neuron	adult brain	neuroblast AOTUv1
AOTUv1B_P03(PS)_0_2018U	AOTUv1B_P03(PS)_0_2018U	neuron	adult brain	neuroblast AOTUv1
AOTUv1B_P04(SAD)_0_2018U	AOTUv1B_P04(SAD)_0_2018U	neuron	adult brain	neuroblast AOTUv1
AOTUv1B_S01(PS)_0_2018U	AOTUv1B_S01(PS)_0_2018U	neuron	adult brain	neuroblast AOTUv1
AOTUv1B_S02(PS)_0_2018U	AOTUv1B_S02(PS)_0_2018U	neuron	adult brain	neuroblast AOTUv1
AOTUv1B_S03(PS)_0_2018U	AOTUv1B_S03(PS)_0_2018U	neuron	adult brain	neuroblast AOTUv1
AOTUv1B_S04(PS)_0_2018U	AOTUv1B_S04(PS)_0_2018U	neuron	adult brain	neuroblast AOTUv1
AOTUv1B_S05(PS)_0_2018U	AOTUv1B_S05(PS)_0_2018U	neuron	adult brain	neuroblast AOTUv1
AOTUv1B_S06(PS)_0_2018U	AOTUv1B_S06(PS)_0_2018U	neuron	adult brain	neuroblast AOTUv1
AOTUv1B_S07(PS)_0_2018U	AOTUv1B_S07(PS)_0_2018U	neuron	adult brain	neuroblast AOTUv1
AOTUv1B_S08(PS)_0_2018U	AOTUv1B_S08(PS)_0_2018U	neuron	adult brain	neuroblast AOTUv1
AOTUv1B_S09(PS)_0_2018U	AOTUv1B_S09(PS)_0_2018U	neuron	adult brain	neuroblast AOTUv1
AOTUv1B_S10(PS)_0_2018U	AOTUv1B_S10(PS)_0_2018U	neuron	adult brain	neuroblast AOTUv1
AOTUv1B_S11(PS)_0_2018U	AOTUv1B_S11(PS)_0_2018U	neuron	adult brain	neuroblast AOTUv1
AOTUv1B_S12(PS)_0_2018U	AOTUv1B_S12(PS)_0_2018U	neuron	adult brain	neuroblast AOTUv1
AOTUv1B_S13(PS)_0_2018U	AOTUv1B_S13(PS)_0_2018U	neuron	adult brain	neuroblast AOTUv1
AOTUv3A_H01(LAL)_0_2018U	AOTUv3A_H01(LAL)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3A_H02(LAL)_0_2018U	AOTUv3A_H02(LAL)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3A_H03(LAL)_0_2018U	AOTUv3A_H03(LAL)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3A_H04(LAL)_0_2018U	AOTUv3A_H04(LAL)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3A_H05(LAL)_0_2018U	AOTUv3A_H05(LAL)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3A_H06(LAL)_0_2018U	AOTUv3A_H06(LAL)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3A_H07(LAL)_0_2018U	AOTUv3A_H07(LAL)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3A_H08(LAL)_0_2018U	AOTUv3A_H08(LAL)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3A_H09(LAL)_0_2018U	AOTUv3A_H09(LAL)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3A_H10(PS)_0_2018U	AOTUv3A_H10(PS)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3A_H11(PS)_0_2018U	AOTUv3A_H11(PS)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3A_H12(PS)_0_2018U	AOTUv3A_H12(PS)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3A_H13(PS)_0_2018U	AOTUv3A_H13(PS)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3A_H14(PS)_0_2018U	AOTUv3A_H14(PS)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3A_H15(PLP)_0_2018U	AOTUv3A_H15(PLP)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3A_H16(ICLc)_0_2018U	AOTUv3A_H16(ICLc)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3A_H17(ICLc)_0_2018U	AOTUv3A_H17(ICLc)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3A_H18(SPSc)_0_2018U	AOTUv3A_H18(SPSc)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3A_T01(PS)_0_2018U	AOTUv3A_T01(PS)_0_2018U	neuron	adult brain	neuroblast AOTUv3
AOTUv3A_T02(PS)_0_2018U	AOTUv3A_T02(PS)_0_2018U	neuron	adult brain	neuroblast AOTUv3
