filename	label	part_of	Template	synonyms	dbxrefs	AD	DBD	comment
SS44195_115C08_21D06_A	JRC_SS44195_L3CNS_A	larval central nervous system	L3 CNS template - Wood2018_c	SS44195|JRC_SS44195	FlyLightLarvalCNS:SS44195	P{VT048870-p65.AD}	P{R78F07-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
109B11_118G1_SS43846_A	JRC_SS43846_L3CNS_A	larval central nervous system	L3 CNS template - Wood2018_c	SS43846|JRC_SS43846	FlyLightLarvalCNS:SS43846	P{VT062247-p65.AD}	P{VT056765-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
109B11_118G1_SS43846_B	JRC_SS43846_L3CNS_B	larval central nervous system	L3 CNS template - Wood2018_c	SS43846|JRC_SS43846	FlyLightLarvalCNS:SS43846	P{VT062247-p65.AD}	P{VT056765-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
116A03_122H03_SS44158_A	JRC_SS44158_L3CNS_A	larval central nervous system	L3 CNS template - Wood2018_c	SS44158|JRC_SS44158	FlyLightLarvalCNS:SS44158	P{VT048870-p65.AD}	P{VT013600-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
116A03_122H03_SS44158_B	JRC_SS44158_L3CNS_B	larval central nervous system	L3 CNS template - Wood2018_c	SS44158|JRC_SS44158	FlyLightLarvalCNS:SS44158	P{VT048870-p65.AD}	P{VT013600-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
116H03_109_C12_SS43790_A	JRC_SS43790_L3CNS_A	larval central nervous system	L3 CNS template - Wood2018_c	SS43790|JRC_SS43790	FlyLightLarvalCNS:SS43790	P{VT012597-p65.AD}	P{VT001484-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
116H03_109_C12_SS43790_B	JRC_SS43790_L3CNS_B	larval central nervous system	L3 CNS template - Wood2018_c	SS43790|JRC_SS43790	FlyLightLarvalCNS:SS43790	P{VT012597-p65.AD}	P{VT001484-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
122A10_70C09_030917_A	JRC_SS43260_L3CNS_030917_A	larval central nervous system	L3 CNS template - Wood2018_c	SS43260|JRC_SS43260	FlyLightLarvalCNS:SS43260	P{VT024647-p65.AD}	P{R75B11-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
122A10_70C09_030917_B	JRC_SS43260_L3CNS_030917_B	larval central nervous system	L3 CNS template - Wood2018_c	SS43260|JRC_SS43260	FlyLightLarvalCNS:SS43260	P{VT024647-p65.AD}	P{R75B11-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
122A10_70C09_SS43260_A	JRC_SS43260_L3CNS_A_2	larval central nervous system	L3 CNS template - Wood2018_c	SS43260|JRC_SS43260	FlyLightLarvalCNS:SS43260	P{VT024647-p65.AD}	P{R75B11-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
122A10_70C09_SS43260_B	JRC_SS43260_L3CNS_B_2	larval central nervous system	L3 CNS template - Wood2018_c	SS43260|JRC_SS43260	FlyLightLarvalCNS:SS43260	P{VT024647-p65.AD}	P{R75B11-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
125G01_125A10_SS04117_A	JRC_SS04117_L3CNS_A	larval central nervous system	L3 CNS template - Wood2018_c	SS04117|JRC_SS04117	FlyLightLarvalCNS:SS04117	P{VT006393-p65.AD}	P{VT040359-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
125G01_125A10_SS04117_B	JRC_SS04117_L3CNS_B	larval central nervous system	L3 CNS template - Wood2018_c	SS04117|JRC_SS04117	FlyLightLarvalCNS:SS04117	P{VT006393-p65.AD}	P{VT040359-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
128F10_30E12_SS25266_A	JRC_SS25266_L3CNS_A	larval central nervous system	L3 CNS template - Wood2018_c	SS25266|JRC_SS25266	FlyLightLarvalCNS:SS25266	P{VT057469-p65.AD}	P{R30E10-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
128F10_30E12_SS25266_B	JRC_SS25266_L3CNS_B	larval central nervous system	L3 CNS template - Wood2018_c	SS25266|JRC_SS25266	FlyLightLarvalCNS:SS25266	P{VT057469-p65.AD}	P{R30E10-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
SS44195_115C08_21D06_B	JRC_SS44195_L3CNS_B_1	larval central nervous system	L3 CNS template - Wood2018_c	SS44195|JRC_SS44195	FlyLightLarvalCNS:SS44195	P{VT048870-p65.AD}	P{R78F07-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
105H05_15E05_SS24706_A	JRC_SS24706_L3CNS_A	larval central nervous system	L3 CNS template - Wood2018_c	SS24706|JRC_SS24706	FlyLightLarvalCNS:SS24706	P{VT040569-p65.AD}	P{R15E05-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
105H05_15E05_SS24706_B	JRC_SS24706_L3CNS_B	larval central nervous system	L3 CNS template - Wood2018_c	SS24706|JRC_SS24706	FlyLightLarvalCNS:SS24706	P{VT040569-p65.AD}	P{R15E05-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
120D06_75B11_SS43260_A	JRC_SS43260_L3CNS_A_1	larval central nervous system	L3 CNS template - Wood2018_c	SS43260|JRC_SS43260	FlyLightLarvalCNS:SS43260	P{VT024647-p65.AD}	P{R75B11-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
120D06_75B11_SS43260_B	JRC_SS43260_L3CNS_B_1	larval central nervous system	L3 CNS template - Wood2018_c	SS43260|JRC_SS43260	FlyLightLarvalCNS:SS43260	P{VT024647-p65.AD}	P{R75B11-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
SS53533_85F02_100H11_A	JRC_SS53533_L3CNS_A	larval central nervous system	L3 CNS template - Wood2018_c	SS53533|JRC_SS53533	FlyLightLarvalCNS:SS53533	P{R82F02-p65.AD}	P{VT017928-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
SS53533_85F02_100H11_B	JRC_SS53533_L3CNS_B	larval central nervous system	L3 CNS template - Wood2018_c	SS53533|JRC_SS53533	FlyLightLarvalCNS:SS53533	P{R82F02-p65.AD}	P{VT017928-GAL4.DBD}	This image was provided to VFB by the FlyLight project as part of the 'Omnibus' release. 
